t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,-1.9939061129624187,11.691221189587958,287.5745145372157,-9.691588731517566,-0.3015498201641295,-2.0673187227819145,-1.587741239735564,9.657867853686835,416.58783467965753,-7.874703864401845,-1.1713400181702958,3.1875889786176472
0.03,0.3227747867430834,11.402220883817344,262.0890952483339,-8.935601560394439,0.21018195810823925,-1.9835497914042979,0.5976884786665482,9.6475011604996,374.8670429000193,-7.364433454043775,-0.5297184580627203,2.610065163890613
0.06,-0.03149664186899946,10.50204259169377,267.55549493676523,-8.067391978867333,0.06304891127245497,-1.9945267797225301,0.15380619429532927,8.865157945159279,368.2637131759266,-6.580232244703837,-0.5682023223117528,2.403221049403119
0.09,-0.1333209840990611,9.836650562097807,271.86076054218074,-7.382289754275713,0.059615942283751465,-1.9852535373770062,0.015939119185615188,8.302200539360948,363.7058034743766,-5.952153391988061,-0.46933142589975413,2.2944601257045147
0.12,-0.10838376435820084,9.482762119703583,274.69920696287494,-6.907113316804798,0.12863318867074292,-1.9653000580722964,0.027116932796101598,8.05084986219758,360.7489517443193,-5.523263427721332,-0.31090796269737353,2.2277627507049225
0.15,-0.0264547857927876,9.452552216819594,276.0191469212744,-6.644340539880126,0.23734095423027066,-1.9391503816107447,0.10544610993979732,8.131273542512805,359.34310481116097,-5.3019457987696565,-0.12696685716665604,2.1819733866669804
0.18,0.08504037863013399,9.754787024453536,275.74450615437786,-6.597500043018729,0.3728291472330663,-1.9092167317901452,0.2192266177592071,8.560768533978068,359.52841640951647,-5.294237510698608,0.07039623623484675,2.1483066984590584
0.21,0.21843584779581193,10.404197589039333,273.7431179517394,-6.7759231959539745,0.5316255466575738,-1.877485147154738,0.3596310641518098,9.366140793982439,361.4165794290352,-5.510608633353687,0.2791508411646836,2.1232107164465597
0.24,0.37878152051656366,11.424526086330594,269.8127499581436,-7.196806592096365,0.7164270729656218,-1.8467059049615484,0.5314533532765077,10.5890885182322,365.19548778483784,-5.9687471046138505,0.5034128437543396,2.1055173613346034
0.27,0.5864290636436482,12.850010319156777,263.6679914062692,-7.886869368083901,0.9372621278494971,-1.8219995665378417,0.754394784939054,12.290383149696137,371.14078086228204,-6.695271898394616,0.7542295654437239,2.0953641101257343
0.3,0.8920586921602561,14.728186692952983,254.92275118924763,-8.885165029470556,1.2181448776992492,-1.8140971672803863,1.0767127442422977,14.556155719492482,379.62930424148095,-7.727903048715206,1.0557958135583632,2.09400465526013
0.33,1.4078151539960888,16.521588089615356,243.78401314255336,-9.751703938850804,1.6118949827232796,-1.7531977662640883,1.6081883962585113,17.5096773528953,390.48484424633125,-9.137259679709109,1.4634839714981225,2.0581563585042124
0.36,2.367528567572257,16.716972712344155,231.55160205442348,-9.263969453346663,2.2312026740676623,-1.4304770764955836,2.6072958419172805,21.22351799702343,402.62582538584866,-10.993419274310853,2.1029236792456376,1.9044248029022204
0.39,4.393291703946502,16.613738905060053,215.6531381862943,-8.629896814902384,3.3589038051219324,-1.069394780183623,4.790289950085344,25.43709963618517,418.4833334106657,-13.097748537554615,3.2799380992903955,1.9171638003117275
0.42,8.521853917439277,16.14850026929206,200.92449983402534,-8.042597279752998,5.606186244201524,-0.706074433596476,9.48674405892807,29.59771629296286,447.5476194459648,-15.059949471389807,5.713919360783204,2.6199168386943894
0.45,37.950078034374805,-35.001871891910376,704.5619403531614,-1.3175312576083191,12.805261503238594,5.910989438438418,0.0,0.0,0.0,0.0,0.0,0.0
0.48,13.568769247508923,-28.92615065088701,634.447995242996,-2.8729206350918823,4.121231542250106,2.384859541947189,0.0,0.0,0.0,0.0,0.0,0.0
0.51,2.523632031307345,-26.352690622481827,631.6526790664268,-3.4696106931322057,-0.5528979666583254,0.4338748576008822,0.0,0.0,0.0,0.0,0.0,0.0
0.54,-0.7242267485228722,-24.51938784284395,631.4631723734562,-3.6921232391014756,-2.4096053835020483,-0.4448444374431989,0.0,0.0,0.0,0.0,0.0,0.0
0.57,-0.9616588072118265,-22.984130305987748,631.5122856780465,-3.7062199375931333,-3.052601199920643,-0.7258940562583243,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-0.23547132486806674,-21.599472324210094,631.7589778741337,-3.615847756148787,-3.2491742747696026,-0.7361676016812246,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.7019921614110255,-20.329077718684484,632.074801300933,-3.4700825646188806,-3.314427772046736,-0.6488651392699155,0.0,0.0,0.0,0.0,0.0,0.0
0.66,1.6072810810487723,-19.170849982100776,632.3696718582221,-3.2882567870639896,-3.366690985377014,-0.5421810505569152,0.0,0.0,0.0,0.0,0.0,0.0
0.69,2.4246843458040943,-18.12840006430238,632.6031581158769,-3.0774944446838663,-3.4441272553295565,-0.4457663226221139,0.0,0.0,0.0,0.0,0.0,0.0
0.72,3.1629835824944936,-17.20312580132107,632.7629203393946,-2.8412436746592853,-3.554164639809932,-0.3672858854303484,0.0,0.0,0.0,0.0,0.0,0.0
0.75,3.8486275514755457,-16.39302432781683,632.8479962425603,-2.5827956665448206,-3.6941211819961297,-0.3056747231961968,0.0,0.0,0.0,0.0,0.0,0.0
0.78,4.508457094296016,-15.693145410479662,632.8602474992219,-2.3065663153655023,-3.8596475264699124,-0.25718465406811564,0.0,0.0,0.0,0.0,0.0,0.0
0.81,5.164143825004609,-15.096194980974051,632.8008633812896,-2.0185064534867982,-4.047979028095819,-0.21787058344419938,0.0,0.0,0.0,0.0,0.0,0.0
0.84,5.831152580116586,-14.59291936715309,632.6686995752817,-1.726253995682034,-4.259038406423221,-0.18445114487300315,0.0,0.0,0.0,0.0,0.0,0.0
0.87,6.519133709520136,-14.172155185892137,632.4597751205356,-1.4392922846123113,-4.495763421976511,-0.1545054465626357,0.0,0.0,0.0,0.0,0.0,0.0
0.9,7.232332864312863,-13.820570105721329,632.1668937515149,-1.169203650712848,-4.764324053076175,-0.12645440502197364,0.0,0.0,0.0,0.0,0.0,0.0
0.93,7.969364449798622,-13.522085458700587,631.7791518868697,-0.9300561259582718,-5.074531238581602,-0.09954218769119282,0.0,0.0,0.0,0.0,0.0,0.0
0.96,8.721973330632034,-13.257044890597617,631.2810225933312,-0.7388886946154987,-5.440598897486015,-0.07387592713374183,0.0,0.0,0.0,0.0,0.0,0.0
0.99,9.472485590232198,-13.001396564674478,630.6511537816499,-0.6161136570420289,-5.882348068128564,-0.05044038710383671,0.0,0.0,0.0,0.0,0.0,0.0
1.02,10.190231508716579,-12.726891740983211,629.8601912230473,-0.5853940802962051,-6.426663465315367,-0.030885425788550927,0.0,0.0,0.0,0.0,0.0,0.0
1.05,10.82952808116776,-12.405889423862497,628.8704593262784,-0.6717564755507719,-7.108210926841718,-0.01674789732727478,0.0,0.0,0.0,0.0,0.0,0.0
1.08,11.340507114314802,-12.03179042215912,627.6510958018688,-0.8951062833469817,-7.96581620812918,-0.00839005682841321,0.0,0.0,0.0,0.0,0.0,0.0
1.11,11.721940426835188,-11.68153215258867,626.3301113293941,-1.2542131354342352,-9.027753464723098,-0.006850234026234307,0.0,0.0,0.0,0.0,0.0,0.0
1.14,12.194767991073624,-11.677676832901257,627.4396133188587,-1.68793621131327,-10.288139003181554,-0.023417855187960534,0.0,0.0,0.0,0.0,0.0,0.0
1.17,12.562813899621954,-11.694650143848524,628.4934042107813,-2.259754246105634,-11.761310360030338,-0.04827406153871707,0.0,0.0,0.0,0.0,0.0,0.0
