t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_ALShoulder1,Tau_ALShoulder2,Tau_ALShoulder3,Tau_ALElbow,Tau_ARShoulder1,Tau_ARShoulder2,Tau_ARShoulder3,Tau_ARElbow,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,-0.25,0.1,0.0,0.0,0.25,-0.1,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0888910239674843,-1.202535984858848,0.2633651385513751,2.829032523491728,0.4827691195443671,-0.09108124789653571,0.15862569901070955,-2.3686164313423053,1.9990443771182882,0.07809584950550713,0.7138832661226095,0.08306334189740028,0.32329736040762214,3.377645395106981,-7.980787748393709,-0.03591539201761407,3.4069330614311184,0.08306357673006914,0.3232985082497919,3.56222499282606,-8.479121366231311,-0.03591546966208625,3.6776901728690063,-32.05852135158524,-8.56404520780193,0.8975739705785447,0.18416513745370203,2.699857242035792,-0.010716165680033626,1.3736376386487874,0.9340028860486637,-0.27315886368265735,-0.031069918452488125,-0.5720556579388936,-0.11709132586473903,-0.8015632488275828,6.540204559462156,-25.373730381154367,7.596440560488675,8.527618446650424,-0.1170717355010525,-0.8015424548642712,12.868991594491302,-36.42408729533068,7.596452788884044,13.309794324204582
0.03,0.19721999807842927,-0.001082282386372963,0.0002370286246962376,-0.24745387072885744,0.10043449220758993,-8.197312310688213e-05,0.0001427631291096386,0.24786824521179193,-0.09820086006059354,7.028626455495642e-05,0.0006424949395103486,7.475700770766025e-05,0.0002909676243668599,-0.3269601191444037,0.6228172910264457,-3.232385281585266e-05,-0.29693376024471196,7.475721905706223e-05,0.0002909686574248127,-0.32679399750645655,0.6223687907703919,-3.2323922695877625e-05,-0.2966900788444179,-0.09266673071902452,-0.03607607954576544,0.007900954156541254,0.08487097570475184,0.014483073586331012,-0.0027324374368960713,0.004758770970321287,-0.07105849294026916,0.05997133131354864,0.002342875485165214,0.021416497983678284,0.0024919002569220084,0.009698920812228664,0.10132936185320943,-0.23942363245181125,-0.001077461760528422,0.10220799184293355,0.0024919073019020743,0.009698955247493757,0.10686674978478179,-0.2543736409869393,-0.0010774640898625876,0.11033070518607019,-0.24790598784635876,-0.5009461511539381,0.09166183692387264,-0.026302924683408335,0.0716865689302355,0.0005271148774826373,0.026727767415000603,0.1165111945088686,0.04885572873188648,-0.004313330780955693,0.013875716175071329,-0.01259019963845276,-0.04806765062997442,-0.028817320377811484,0.13322114100208182,0.27027930551821555,-0.11309094409693898,-0.012549696225534035,-0.04812746457608341,0.20032281179734923,-0.2545069486848206,0.2703293447075339,0.05200371797900516,-28.157310654956877,-6.707193233815527,0.48941929912503834,-1.1616119267242684,2.190863958708747,0.03469146589484819,1.1426941140350486,1.8977240955165362,-1.5447352294666983,-0.061793677217725385,-1.0255690386426501,0.05188948113957365,-1.1290036045213103,5.801446273178265,-22.250627875322838,6.936721174960634,7.491028023799841,0.050171663140829804,-1.1289457861680838,11.175355023623604,-31.802641864309926,6.936214109047216,11.642718394702452
0.06,0.1942168807677968,-0.0026154163087844704,0.0005565529026239606,-0.24493141408992994,0.10093350232721707,-0.0001634718428240299,0.00030958124889277777,0.24584135049864184,-0.0963577499653284,0.00013669053140705271,0.0012974780235782612,0.000138182835740713,0.0005386743631667428,-0.32394617387714747,0.6157544810797932,0.00017860366933468866,-0.2939693023391112,0.00013821971151114384,0.0005386225967311503,-0.3234077044822955,0.6145085252869673,0.00017864856484502525,-0.2933333543426547,-0.10010391035441528,-0.05110446408038358,0.010650809264257433,0.08408188796424959,0.016633670654238077,-0.0027166239905715922,0.005560603992771305,-0.0675631571050031,0.06143700317550523,0.002213475561736543,0.021832769468930424,0.0021141942677684257,0.008256891293329433,0.10046484224187509,-0.23542699822174878,0.0070309174050180445,0.09881526352002538,0.0021154164151360533,0.008255131310211255,0.11287643413870227,-0.2620088494474839,0.007032416251363428,0.11189081672544034,0.02459450417911313,-0.3923753327640256,0.04321890455228328,-0.06350398290616432,0.026779941663546136,0.0019402635985737438,0.00688113752938202,0.12187729342529607,-0.026137276043850077,-0.004241257885794825,-0.013705155011868086,0.0036848935219495615,-0.07390424676623297,-0.11579208821336806,0.287184730855472,0.270987741189856,-0.13188391985363523,0.0030299654375482987,-0.07385590287901778,0.0831980424301264,-0.06944624852235393,0.27075986644467775,0.02401930690257359,-27.22249452622522,-5.645463453103804,0.3090043326323562,-1.0594147777509213,2.091033024049637,0.03194920491245046,1.1101196472798915,1.6087582081929181,-1.554702093807718,-0.0511869674107851,-1.0177651440643514,0.10636571172949985,-1.1625669217143488,5.779923358896779,-22.49391437052304,6.195209529379693,7.765277901652819,0.10118958596843486,-1.1620211755184047,10.464541322310257,-30.90391757695866,6.19328067491901,11.436946669037031
0.09,0.19123589851092554,-0.004501688030683601,0.0009149741946487385,-0.242466111035618,0.10145661439434141,-0.0002432243253024613,0.00048259239245236076,0.24392414534957452,-0.0945381634185027,0.00019927766616193365,0.0019401264681354925,0.0002049250679435204,0.0007198672798770161,-0.32103644148928323,0.6089501373909108,0.0006334201585561004,-0.29112353996137874,0.0002044091728590189,0.0007198062234463719,-0.3199465332199473,0.6065857581798727,0.0006333049321861381,-0.28995501246467914,-0.09936607522904188,-0.06287572406330434,0.01194737640082593,0.08217676847706466,0.01743706890414446,-0.00265841608261438,0.005767038118652766,-0.06390683830224422,0.06065288489418973,0.0020862378251626985,0.02142161481857438,0.0022247410734269127,0.006039763890342444,0.09699107959547405,-0.22681145629608462,0.015160549640713726,0.09485874592441633,0.0022063153782625024,0.006039454223840722,0.11537237541160607,-0.26409223690315453,0.01515521224470376,0.11261139593251754,0.09382499963757596,-0.35264608155338273,0.024220118317586525,-0.04353583038271225,0.02294984669084288,0.0013528113721117951,0.0053649386210250505,0.08345915278711935,-0.017437472455739567,-0.0028580171915175145,-0.009951488335791847,0.009422979192549974,-0.07719353190478273,-0.13369387016319934,0.2789950201571969,0.2575882918424668,-0.11128066055880481,0.007974230259122805,-0.0770034841972489,0.050962391253221995,-0.06145619719904971,0.25701693744576914,0.04001390934558913,-26.66077227501615,-4.87561551829861,0.22087222071733198,-1.0119531328889868,2.033202412065503,0.03065632583990128,1.093720829170166,1.454925765144463,-1.547253845275172,-0.04556161826455883,-1.0056792692314538,0.11806544556974159,-1.185531949756487,5.807114542057783,-22.648079209422487,5.612060860424014,7.887356171028,0.1082492037195937,-1.1841823278226318,9.987005541426484,-30.18627794058186,5.608123351709048,11.187099320868406
0.12,0.1883393587537281,-0.006705341225980776,0.0012951935931593442,-0.2400399902286505,0.1020003813234875,-0.00032175927754599207,0.0006604319807708663,0.2420820534380156,-0.09273427059688717,0.00025929258544444883,0.0025738185731905114,0.0002801479814196228,0.0008315860178729849,-0.3182470335845659,0.6023968892201697,0.0013200661104357321,-0.28837793017814917,0.0002777754414401045,0.0008316867143840696,-0.31643949580547126,0.5986076804952989,0.001319276543228443,-0.2865406580682926,-0.09655132523991461,-0.07345510650990582,0.012673979950353527,0.0808706935655833,0.018125564304869748,-0.002617831741451026,0.005927986277283517,-0.06140306371863064,0.060129760720517546,0.0020004973094171733,0.021123070168500624,0.002507430449203412,0.003723957933198962,0.09298026349057807,-0.21844160569136872,0.022888198395987727,0.09152032610765219,0.0024455422860361867,0.003729349697923255,0.11690124714920273,-0.26593592281912604,0.022865720368076835,0.11381181321288521,0.12128751421630923,-0.3374646362963478,0.016708816063001564,-0.0341665635177435,0.022702242239631687,0.0010733778969577723,0.0052788034724717825,0.06559797605933859,-0.010268952761740335,-0.0022181367672914343,-0.006988610432170805,0.011624070425398259,-0.0791783375441355,-0.14102248637124148,0.2745845826020741,0.2498233420744782,-0.10495731197215719,0.009188147406860026,-0.07880930845664125,0.03838130318496269,-0.06093965761999698,0.24883507253730386,0.04578293785971255,-26.246065063870166,-4.316932092017527,0.17111577581829357,-0.9992335254739316,1.9816619222763645,0.03036751785415758,1.0784487197885368,1.382171428902797,-1.5610919368896428,-0.04280772649759562,-1.0040484209783742,0.11496883239467026,-1.2280314575973816,5.812706379864311,-22.68124247172305,5.2036717394558245,7.906074774336744,0.09951534167385935,-1.2256285231962536,9.643204212093094,-29.60228428228841,5.197277154734859,10.94113017705554
0.15,0.18555197775932533,-0.009212712593944664,0.0016904509261266513,-0.23764461932884898,0.10256458027064927,-0.00039932818968226085,0.0008430224922145964,0.24029899970491006,-0.09093961983275721,0.00031731118163640175,0.003201220928856576,0.0003658325582785836,0.0008720442520792318,-0.31558454591758267,0.5960907671737704,0.0022315530701823945,-0.28572678197569457,0.0003594110426873641,0.0008726388277107901,-0.3128979152181287,0.5905747571188671,0.0022291997195543214,-0.2830850990278323,-0.09291269981342533,-0.08357904559879625,0.013175244432243573,0.079845696660051,0.0188066315720587,-0.002585630404542293,0.00608635038145767,-0.059435124436850485,0.05982169213766533,0.0019339532063984302,0.0209134118555355,0.00285615256196536,0.0013486078068748971,0.08874958889944083,-0.2102040682133065,0.030382898658222073,0.08837160674848747,0.0027211867082419876,0.0013650704442240177,0.11805268624475161,-0.2677641125477259,0.03033077254419595,0.11518530134867658,0.13178597598811947,-0.3392845935637947,0.013812571318648992,-0.030019664720306594,0.02320976234261929,0.0009527933511717657,0.005414362572614628,0.05810951758916438,-0.0060641411310868865,-0.0019430204317634758,-0.005353389249988183,0.012891864339394488,-0.08271535805646124,-0.14601240422439332,0.2760182406155991,0.25051540830577324,-0.10653827712872044,0.009228895090075184,-0.0821227239829625,0.03549891468730948,-0.06609525553096773,0.2490193936084779,0.04835191012853102,-25.897728088063957,-3.944040237233841,0.13898263295528243,-0.9978790232169841,1.9329210646097938,0.030382317424494553,1.062759783136274,1.3474197042512617,-1.584971567052973,-0.041396977176913104,-1.00823680417561,0.10784325172696115,-1.2995846218833045,5.7716167927634485,-22.595467243309066,4.970384211663729,7.845437086828664,0.0855473107893949,-1.2958595408134244,9.395681704145517,-29.147214319738406,4.961033765976565,10.723113431324935
0.18,0.18288320414331188,-0.012025440096115968,0.0020981395732807425,-0.2352762661272957,0.10314966800391939,-0.00047603958780247503,0.0010304859299736797,0.23856824453763478,-0.08915042679564522,0.0003735810594397675,0.0038238052341976517,0.0004631198130429994,0.0008380586640346637,-0.3130534694144014,0.5900330615439252,0.0033685038974042526,-0.2831715182226558,0.00044935264951569137,0.0008396804894528444,-0.3093243856075676,0.5824823480124575,0.00336324035012783,-0.2795860232682563,-0.08895912053378174,-0.0937575834057101,0.013589621571803044,0.0789451067184418,0.01950292444233728,-0.00255704660400714,0.006248781258636109,-0.057691838909175557,0.059639767903732724,0.001875662593445526,0.020752810178035853,0.0032429084921471946,-0.0011328529348189399,0.08436921677270903,-0.20192352099483854,0.03789836090739527,0.08517545843462586,0.002998053560944243,-0.0010986112752648571,0.1191176536853709,-0.26974697021365496,0.037801354352450287,0.11663585865253251,0.13483472258280216,-0.3560090394678497,0.012760183784159551,-0.028235433905842378,0.024160061415368084,0.000901109540849987,0.005604818928797606,0.055531564621441376,-0.003246306386202491,-0.00183941929685838,-0.004415170629080478,0.014282027993715474,-0.0887426339287316,-0.15188819334326809,0.2839195816316078,0.2606559881726298,-0.11356702599232449,0.00906075325593747,-0.08786596704284477,0.03872700528683026,-0.07710687106543901,0.2585263272571865,0.05082678598023449,-25.582411762980847,-3.750487316939341,0.11558008917476485,-0.9982529615545475,1.8860834641093613,0.030410306221715134,1.0462052235105739,1.332058748702251,-1.6120164325217397,-0.04067378713552331,-1.0154843412218195,0.10167746033819497,-1.4070867523592774,5.672566205776621,-22.390092928954356,4.914429751429195,7.713236934358395,0.07072488521708026,-1.4016675238384393,9.229624278083948,-28.821524720685055,4.901394786769725,10.543073532850507
0.21,0.18033578177762297,-0.015158575733808336,0.0025173123858405772,-0.23293332481625773,0.10375649979246335,-0.0005519399873359243,0.0012229937047686808,0.23688746777851882,-0.08736415543428082,0.00042819545987596075,0.004442415885972555,0.0005732608930017592,0.000724204705454237,-0.31065909228522903,0.5842308835375485,0.004740045113981477,-0.2807184647930101,0.0005474489342743624,0.0007276427808563385,-0.30571600169224833,0.5743205427220889,0.004729954675232806,-0.2760412034012981,-0.08491407885629768,-0.10443785458974558,0.01397242708532783,0.07809804370126652,0.020227726284798322,-0.0025300133177816406,0.006416925826500037,-0.056025891970532316,0.05954237871214665,0.0018204800145397745,0.020620355059163438,0.0036713693319586588,-0.003795131952680888,0.07981257097241098,-0.1934059335458903,0.04571804055257416,0.08176844765485612,0.003269876158622367,-0.0037345902865502,0.12027946384397581,-0.27206017634561813,0.04555714417016588,0.11816066223193955,0.1337047685767061,-0.3876632277223244,0.012124683309401973,-0.02805829318669595,0.02551253033657641,0.0009011113828073514,0.0058277698927859944,0.05579329927890164,-0.0010651795426315225,-0.0018313371277152157,-0.0038801191747217523,0.016337989028045286,-0.0979470679274641,-0.15984926452063064,0.29889371877629856,0.28107912918767397,-0.1255037133037149,0.009083010319102414,-0.09670001958940588,0.04700972849724394,-0.09436729909236874,0.27813373932212926,0.054359514225780003,-25.28781487376957,-3.7418254639570385,0.09624044508825251,-0.997764452949932,1.8408818701190024,0.030379675678858988,1.028563487541353,1.3292570153634096,-1.639335877028053,-0.04039190354741623,-1.0247199147815456,0.09951663398910383,-1.5576142139791724,5.508981564968502,-22.059757315618953,5.043175289171576,7.5081897408047915,0.057032558116111055,-1.5499352419500796,9.14156572783505,-28.630008852909047,5.025306686354369,10.405479947431871
0.24,0.17790869370365306,-0.018640608276450796,0.0029473974133788737,-0.23061563596908777,0.10438629285831022,-0.0006270293866248469,0.0014207464724671894,0.23525690498875387,-0.08557884273450479,0.00048116165689721026,0.005057534430490208,0.0006981061630857597,0.0005221983857390927,-0.30840857949412526,0.5786977098780705,0.006364557546827609,-0.2783783647053378,0.0006537199283202256,0.0005285750546293672,-0.30206530902128154,0.5660738068625372,0.006346989365727699,-0.27244745997153674,-0.08090293579899649,-0.11606775142141532,0.01433616758460989,0.07725629490566564,0.020993102194895613,-0.0025029799762974203,0.006591758923283617,-0.054352092992165264,0.0595104233258677,0.001765539900708318,0.020503951483921784,0.004161509002800017,-0.006733543990504811,0.07501709303679206,-0.18443912198260135,0.05415041442820438,0.07800333625574468,0.0035423664681954394,-0.006635590874232376,0.12168975569889312,-0.2748911953183892,0.05390115634982976,0.11979144765871295,0.1279042166733504,-0.43554637039494537,0.010740500049589485,-0.030264871794988935,0.027393346846063427,0.0009819930484435413,0.006111934764951421,0.05872969055974053,0.0005178665259650828,-0.0019084778468644314,-0.0037555827828263944,0.01952181702750977,-0.1109286351815797,-0.16997663511347127,0.32186072626382156,0.3128060986523451,-0.14314570751275824,0.00954538066770283,-0.10918637731680292,0.06077774543138048,-0.11848230903069634,0.30878045596546144,0.05898544201409095,-25.014208889090188,-3.9338742009939396,0.07685748787967342,-0.9988970102102616,1.7975450078442583,0.03038520612468783,1.0097539621136862,1.3386213067385533,-1.6665283247519869,-0.04051945293901082,-1.0359669943617837,0.10426656106369446,-1.7594518109470252,5.276085372208057,-21.593595915016873,5.3705107894049116,7.222054046478294,0.04574368538929255,-1.748643396041554,9.135770848887406,-28.582172026412916,5.346007875546542,10.312349592241347
0.27,0.17559671942468918,-0.022514632552448705,0.003387148890961801,-0.2283251855065333,0.10504073993631854,-0.0007012349921701704,0.0016239999814541542,0.2336791989204927,-0.08379306395485539,0.0005324102238562818,0.005669272950503318,0.000840521068494519,0.00022035629436052662,-0.30631104567462364,0.5734542108722298,0.00827059546846085,-0.27616709575442694,0.0007685817649670213,0.0002312395888172733,-0.2983599163794265,0.5577204369248578,0.008241926466591507,-0.2688006296439627,-0.07706580929879597,-0.12913414253326366,0.014658382586097574,0.07634834875181598,0.021814902600277516,-0.002473520184844114,0.00677511696623216,-0.052590202275373046,0.05952595932164665,0.0017082855653023851,0.020391284000436993,0.00474716351362531,-0.010061403045952202,0.06991779398338792,-0.17478330019468669,0.06353459738777474,0.07370896503036194,0.003828727888226524,-0.009911182193736464,0.12351308806183453,-0.2784456645893101,0.06316457002879361,0.12156101091913568,0.11270732547712825,-0.5020040210524819,0.00689297263475197,-0.03768793492004008,0.03002892359711007,0.0012453155990518328,0.006526599813508227,0.06604200524920856,0.0006128031428982439,-0.0021182247494085926,-0.00443259149342623,0.02447723118586964,-0.12833125577864735,-0.18099861486410873,0.3542133445603213,0.3572447043957254,-0.16890198822056846,0.010783333299201558,-0.1259137196995681,0.0820795883925598,-0.15027055627149366,0.3517558996943535,0.06348111038050774,-24.77602356050991,-4.353072830145547,0.051042409749242505,-1.0111676224714923,1.7570243587881227,0.0307652472092489,0.9899090428190599,1.3658264362738033,-1.6958594311610142,-0.04121125065258028,-1.0504363747355845,0.11997130735264226,-2.0226925355541403,4.971581082620028,-20.97426639679986,5.917887467261468,6.838343275486699,0.0384856343450573,-2.0074338798919458,9.224757404323134,-28.692677865347584,5.883990175485529,10.262941207416274
