t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_ALShoulder1,Tau_ALShoulder2,Tau_ALShoulder3,Tau_ALElbow,Tau_ARShoulder1,Tau_ARShoulder2,Tau_ARShoulder3,Tau_ARElbow,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0,0.2,0,0,-0.25,0.1,0,0,0.25,-0.1,0,0,0,0,-0.33,0.63,0,-0.3,0,0,-0.33,0.63,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.08889102396748,-1.20253598485885,0.263365138551375,2.82903252349173,0.482769119544367,-0.091081247896536,0.15862569901071,-2.36861643134231,1.99904437711829,0.078095849505507,0.713883266122609,0.0830633418974,0.323297360407622,3.37764539510698,-7.98078774839371,-0.035915392017614,3.40693306143112,0.083063576730069,0.323298508249792,3.56222499282606,-8.47912136623131,-0.035915469662086,3.67769017286901,-32.0585213515852,-8.56404520780193,0.897573970578545,0.184165137453702,2.69985724203579,-0.010716165680034,1.37363763864879,0.934002886048664,-0.273158863682657,-0.031069918452488,-0.572055657938894,-0.117091325864739,-0.801563248827583,6.54020455946216,-25.3737303811544,7.59644056048868,8.52761844665042,-0.117071735501053,-0.801542454864271,12.8689915944913,-36.4240872953307,7.59645278888404,13.3097943242046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.197219998078429,-0.001082282386373,0.000237028624696,-0.247453870728857,0.10043449220759,-8.20E-05,0.00014276312911,0.247868245211792,-0.098200860060594,7.03E-05,0.00064249493951,7.48E-05,0.000290967624367,-0.326960119144404,0.622817291026446,-3.23E-05,-0.296933760244712,7.48E-05,0.000290968657425,-0.326793997506457,0.622368790770392,-3.23E-05,-0.296690078844418,-0.092666730719025,-0.036076079545766,0.007900954156541,0.084870975704752,0.014483073586331,-0.002732437436896,0.004758770970321,-0.071058492940269,0.059971331313549,0.002342875485165,0.021416497983678,0.002491900256922,0.009698920812229,0.101329361853209,-0.239423632451811,-0.001077461760528,0.102207991842934,0.002491907301902,0.009698955247494,0.106866749784782,-0.254373640986939,-0.001077464089863,0.11033070518607,-0.247905987846359,-0.500946151153938,0.091661836923873,-0.026302924683408,0.071686568930236,0.000527114877483,0.026727767415001,0.116511194508869,0.048855728731887,-0.004313330780956,0.013875716175071,-0.012590199638453,-0.048067650629975,-0.028817320377812,0.133221141002082,0.270279305518216,-0.113090944096939,-0.012549696225534,-0.048127464576083,0.200322811797349,-0.254506948684821,0.270329344707534,0.052003717979005,-28.1573106549569,-6.70719323381553,0.489419299125038,-1.16161192672427,2.19086395870875,0.034691465894848,1.14269411403505,1.89772409551654,-1.5447352294667,-0.061793677217725,-1.02556903864265,0.051889481139574,-1.12900360452131,5.80144627317827,-22.2506278753228,6.93672117496063,7.49102802379984,0.05017166314083,-1.12894578616808,11.1753550236236,-31.8026418643099,6.93621410904722,11.6427183947025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.194216880767797,-0.002615416308784,0.000556552902624,-0.24493141408993,0.100933502327217,-0.000163471842824,0.000309581248893,0.245841350498642,-0.096357749965328,0.000136690531407,0.001297478023578,0.000138182835741,0.000538674363167,-0.323946173877147,0.615754481079793,0.000178603669335,-0.293969302339111,0.000138219711511,0.000538622596731,-0.323407704482295,0.614508525286967,0.000178648564845,-0.293333354342655,-0.100103910354415,-0.051104464080384,0.010650809264258,0.08408188796425,0.016633670654238,-0.002716623990572,0.005560603992771,-0.067563157105003,0.061437003175505,0.002213475561737,0.021832769468931,0.002114194267768,0.008256891293329,0.100464842241875,-0.235426998221749,0.007030917405018,0.098815263520025,0.002115416415136,0.008255131310211,0.112876434138702,-0.262008849447484,0.007032416251363,0.11189081672544,0.024594504179113,-0.392375332764026,0.043218904552283,-0.063503982906164,0.026779941663546,0.001940263598574,0.006881137529382,0.121877293425296,-0.02613727604385,-0.004241257885795,-0.013705155011868,0.00368489352195,-0.073904246766233,-0.115792088213368,0.287184730855472,0.270987741189856,-0.131883919853635,0.003029965437548,-0.073855902879018,0.083198042430126,-0.069446248522354,0.270759866444678,0.024019306902574,-27.2224945262252,-5.6454634531038,0.309004332632356,-1.05941477775092,2.09103302404964,0.031949204912451,1.11011964727989,1.60875820819292,-1.55470209380772,-0.051186967410785,-1.01776514406435,0.1063657117295,-1.16256692171435,5.77992335889678,-22.493914370523,6.19520952937969,7.76527790165282,0.101189585968435,-1.1620211755184,10.4645413223103,-30.9039175769587,6.19328067491901,11.436946669037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.191235898510926,-0.004501688030684,0.000914974194649,-0.242466111035618,0.101456614394341,-0.000243224325302,0.000482592392452,0.243924145349574,-0.094538163418503,0.000199277666162,0.001940126468136,0.000204925067944,0.000719867279877,-0.321036441489283,0.608950137390911,0.000633420158556,-0.291123539961379,0.000204409172859,0.000719806223446,-0.319946533219947,0.606585758179873,0.000633304932186,-0.289955012464679,-0.099366075229042,-0.062875724063304,0.011947376400826,0.082176768477065,0.017437068904145,-0.002658416082614,0.005767038118653,-0.063906838302244,0.06065288489419,0.002086237825163,0.021421614818574,0.002224741073427,0.006039763890342,0.096991079595474,-0.226811456296085,0.015160549640714,0.094858745924416,0.002206315378263,0.006039454223841,0.115372375411606,-0.264092236903154,0.015155212244704,0.112611395932518,0.093824999637576,-0.352646081553383,0.024220118317587,-0.043535830382712,0.022949846690843,0.001352811372112,0.005364938621025,0.083459152787119,-0.01743747245574,-0.002858017191518,-0.009951488335792,0.00942297919255,-0.077193531904783,-0.133693870163199,0.278995020157197,0.257588291842467,-0.111280660558805,0.007974230259123,-0.077003484197249,0.050962391253222,-0.06145619719905,0.257016937445769,0.040013909345589,-26.6607722750161,-4.87561551829861,0.220872220717332,-1.01195313288899,2.0332024120655,0.030656325839901,1.09372082917017,1.45492576514446,-1.54725384527517,-0.045561618264559,-1.00567926923145,0.118065445569742,-1.18553194975649,5.80711454205778,-22.6480792094225,5.61206086042401,7.887356171028,0.108249203719594,-1.18418232782263,9.98700554142648,-30.1862779405819,5.60812335170905,11.1870993208684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.188339358753728,-0.006705341225981,0.001295193593159,-0.24003999022865,0.102000381323488,-0.000321759277546,0.000660431980771,0.242082053438016,-0.092734270596887,0.000259292585444,0.002573818573191,0.00028014798142,0.000831586017873,-0.318247033584566,0.60239688922017,0.001320066110436,-0.288377930178149,0.00027777544144,0.000831686714384,-0.316439495805471,0.598607680495299,0.001319276543228,-0.286540658068293,-0.096551325239915,-0.073455106509906,0.012673979950354,0.080870693565583,0.01812556430487,-0.002617831741451,0.005927986277284,-0.061403063718631,0.060129760720518,0.002000497309417,0.021123070168501,0.002507430449203,0.003723957933199,0.092980263490578,-0.218441605691369,0.022888198395988,0.091520326107652,0.002445542286036,0.003729349697923,0.116901247149203,-0.265935922819126,0.022865720368077,0.113811813212885,0.121287514216309,-0.337464636296348,0.016708816063002,-0.034166563517744,0.022702242239632,0.001073377896958,0.005278803472472,0.065597976059339,-0.01026895276174,-0.002218136767291,-0.006988610432171,0.011624070425398,-0.079178337544136,-0.141022486371241,0.274584582602074,0.249823342074478,-0.104957311972157,0.00918814740686,-0.078809308456641,0.038381303184963,-0.060939657619997,0.248835072537304,0.045782937859713,-26.2460650638702,-4.31693209201753,0.171115775818294,-0.999233525473932,1.98166192227636,0.030367517854158,1.07844871978854,1.3821714289028,-1.56109193688964,-0.042807726497596,-1.00404842097837,0.11496883239467,-1.22803145759738,5.81270637986431,-22.681242471723,5.20367173945582,7.90607477433674,0.099515341673859,-1.22562852319625,9.64320421209309,-29.6022842822884,5.19727715473486,10.9411301770555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.185551977759325,-0.009212712593945,0.001690450926127,-0.237644619328849,0.102564580270649,-0.000399328189682,0.000843022492215,0.24029899970491,-0.090939619832757,0.000317311181636,0.003201220928857,0.000365832558279,0.000872044252079,-0.315584545917583,0.59609076717377,0.002231553070182,-0.285726781975695,0.000359411042687,0.000872638827711,-0.312897915218129,0.590574757118867,0.002229199719554,-0.283085099027832,-0.092912699813425,-0.083579045598796,0.013175244432244,0.079845696660051,0.018806631572059,-0.002585630404542,0.006086350381458,-0.059435124436851,0.059821692137665,0.001933953206398,0.020913411855536,0.002856152561965,0.001348607806875,0.088749588899441,-0.210204068213306,0.030382898658222,0.088371606748488,0.002721186708242,0.001365070444224,0.118052686244752,-0.267764112547726,0.030330772544196,0.115185301348677,0.13178597598812,-0.339284593563795,0.013812571318649,-0.030019664720307,0.023209762342619,0.000952793351172,0.005414362572615,0.058109517589164,-0.006064141131087,-0.001943020431763,-0.005353389249988,0.012891864339395,-0.082715358056461,-0.146012404224393,0.276018240615599,0.250515408305773,-0.10653827712872,0.009228895090075,-0.082122723982963,0.03549891468731,-0.066095255530968,0.249019393608478,0.048351910128531,-25.897728088064,-3.94404023723384,0.138982632955282,-0.997879023216984,1.93292106460979,0.030382317424495,1.06275978313627,1.34741970425126,-1.58497156705297,-0.041396977176913,-1.00823680417561,0.107843251726961,-1.2995846218833,5.77161679276345,-22.5954672433091,4.97038421166373,7.84543708682866,0.085547310789395,-1.29585954081342,9.39568170414552,-29.1472143197384,4.96103376597657,10.7231134313249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.182883204143312,-0.012025440096116,0.002098139573281,-0.235276266127296,0.103149668003919,-0.000476039587802,0.001030485929974,0.238568244537635,-0.089150426795645,0.00037358105944,0.003823805234198,0.000463119813043,0.000838058664035,-0.313053469414401,0.590033061543925,0.003368503897404,-0.283171518222656,0.000449352649516,0.000839680489453,-0.309324385607568,0.582482348012457,0.003363240350128,-0.279586023268256,-0.088959120533782,-0.09375758340571,0.013589621571803,0.078945106718442,0.019502924442337,-0.002557046604007,0.006248781258636,-0.057691838909176,0.059639767903733,0.001875662593446,0.020752810178036,0.003242908492147,-0.001132852934819,0.084369216772709,-0.201923520994839,0.037898360907395,0.085175458434626,0.002998053560944,-0.001098611275265,0.119117653685371,-0.269746970213655,0.03780135435245,0.116635858652533,0.134834722582802,-0.35600903946785,0.01276018378416,-0.028235433905842,0.024160061415368,0.00090110954085,0.005604818928798,0.055531564621441,-0.003246306386203,-0.001839419296858,-0.00441517062908,0.014282027993716,-0.088742633928732,-0.151888193343268,0.283919581631608,0.26065598817263,-0.113567025992324,0.009060753255937,-0.087865967042845,0.03872700528683,-0.077106871065439,0.258526327257186,0.050826785980235,-25.5824117629808,-3.75048731693934,0.115580089174765,-0.998252961554548,1.88608346410936,0.030410306221715,1.04620522351057,1.33205874870225,-1.61201643252174,-0.040673787135523,-1.01548434122182,0.101677460338195,-1.40708675235928,5.67256620577662,-22.3900929289544,4.91442975142919,7.7132369343584,0.07072488521708,-1.40166752383844,9.22962427808395,-28.8215247206851,4.90139478676973,10.5430735328505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.180335781777623,-0.015158575733808,0.002517312385841,-0.232933324816258,0.103756499792463,-0.000551939987336,0.001222993704769,0.236887467778519,-0.087364155434281,0.000428195459876,0.004442415885973,0.000573260893002,0.000724204705454,-0.310659092285229,0.584230883537548,0.004740045113981,-0.28071846479301,0.000547448934274,0.000727642780856,-0.305716001692248,0.574320542722089,0.004729954675233,-0.276041203401298,-0.084914078856298,-0.104437854589746,0.013972427085328,0.078098043701267,0.020227726284798,-0.002530013317782,0.0064169258265,-0.056025891970532,0.059542378712147,0.00182048001454,0.020620355059164,0.003671369331959,-0.003795131952681,0.079812570972411,-0.19340593354589,0.045718040552574,0.081768447654856,0.003269876158622,-0.00373459028655,0.120279463843976,-0.272060176345618,0.045557144170166,0.11816066223194,0.133704768576706,-0.387663227722324,0.012124683309402,-0.028058293186696,0.025512530336577,0.000901111382807,0.005827769892786,0.055793299278902,-0.001065179542632,-0.001831337127715,-0.003880119174722,0.016337989028045,-0.097947067927464,-0.159849264520631,0.298893718776299,0.281079129187674,-0.125503713303715,0.009083010319102,-0.096700019589406,0.047009728497244,-0.094367299092369,0.278133739322129,0.05435951422578,-25.2878148737696,-3.74182546395704,0.096240445088253,-0.997764452949932,1.840881870119,0.030379675678859,1.02856348754135,1.32925701536341,-1.63933587702805,-0.040391903547416,-1.02471991478155,0.099516633989104,-1.55761421397917,5.5089815649685,-22.0597573156189,5.04317528917158,7.50818974080479,0.057032558116111,-1.54993524195008,9.14156572783505,-28.630008852909,5.02530668635437,10.4054799474319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.177908693703653,-0.018640608276451,0.002947397413379,-0.230615635969088,0.10438629285831,-0.000627029386625,0.001420746472467,0.235256904988754,-0.085578842734505,0.000481161656897,0.00505753443049,0.000698106163086,0.000522198385739,-0.308408579494125,0.57869770987807,0.006364557546828,-0.278378364705338,0.00065371992832,0.000528575054629,-0.302065309021282,0.566073806862537,0.006346989365728,-0.272447459971537,-0.080902935798997,-0.116067751421415,0.01433616758461,0.077256294905666,0.020993102194896,-0.002502979976297,0.006591758923284,-0.054352092992165,0.059510423325868,0.001765539900708,0.020503951483922,0.0041615090028,-0.006733543990505,0.075017093036792,-0.184439121982601,0.054150414428204,0.078003336255745,0.003542366468195,-0.006635590874232,0.121689755698893,-0.274891195318389,0.05390115634983,0.119791447658713,0.12790421667335,-0.435546370394945,0.01074050004959,-0.030264871794989,0.027393346846064,0.000981993048444,0.006111934764951,0.058729690559741,0.000517866525965,-0.001908477846864,-0.003755582782826,0.01952181702751,-0.11092863518158,-0.169976635113471,0.321860726263822,0.312806098652345,-0.143145707512758,0.009545380667703,-0.109186377316803,0.060777745431381,-0.118482309030696,0.308780455965461,0.058985442014091,-25.0142088890902,-3.93387420099394,0.076857487879674,-0.998897010210261,1.79754500784426,0.030385206124688,1.00975396211369,1.33862130673855,-1.66652832475199,-0.040519452939011,-1.03596699436178,0.104266561063694,-1.75945181094703,5.27608537220806,-21.5935959150169,5.37051078940491,7.22205404647829,0.045743685389293,-1.74864339604155,9.13577084888741,-28.5821720264129,5.34600787554654,10.3123495922413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.175596719424689,-0.022514632552449,0.003387148890962,-0.228325185506533,0.105040739936319,-0.00070123499217,0.001623999981454,0.233679198920493,-0.083793063954855,0.000532410223856,0.005669272950503,0.000840521068495,0.000220356294361,-0.306311045674624,0.57345421087223,0.008270595468461,-0.276167095754427,0.000768581764967,0.000231239588817,-0.298359916379426,0.557720436924858,0.008241926466592,-0.268800629643963,-0.077065809298796,-0.129134142533264,0.014658382586098,0.076348348751816,0.021814902600278,-0.002473520184844,0.006775116966232,-0.052590202275373,0.059525959321647,0.001708285565302,0.020391284000437,0.004747163513625,-0.010061403045952,0.069917793983388,-0.174783300194687,0.063534597387775,0.073708965030362,0.003828727888227,-0.009911182193736,0.123513088061835,-0.27844566458931,0.063164570028794,0.121561010919136,0.112707325477128,-0.502004021052482,0.006892972634752,-0.03768793492004,0.03002892359711,0.001245315599052,0.006526599813508,0.066042005249209,0.000612803142898,-0.002118224749409,-0.004432591493426,0.02447723118587,-0.128331255778647,-0.180998614864109,0.354213344560321,0.357244704395725,-0.168901988220568,0.010783333299202,-0.125913719699568,0.08207958839256,-0.150270556271494,0.351755899694353,0.063481110380508,-24.7760235605099,-4.35307283014555,0.051042409749243,-1.01116762247149,1.75702435878812,0.030765247209249,0.98990904281906,1.3658264362738,-1.69585943116101,-0.04121125065258,-1.05043637473558,0.119971307352642,-2.02269253555414,4.97158108262003,-20.9742663967999,5.91788746726147,6.8383432754867,0.038485634345057,-2.00743387989195,9.22475740432313,-28.6926778653476,5.88399017548553,10.2629412074163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
