t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,0.0633763402099957,9.40711892569828,316.6871219774001,-6.335146206815997,-1.048420011699226,-2.929637536515055,0.3806404709808355,9.542924236895077,389.6940328450766,-6.267052919892417,-1.5259447495860559,2.973356800520515
0.03,0.7414398496648316,7.734915831499036,290.7625509690844,-5.699495065201945,-1.086716204958724,-2.618716323753903,0.8817167561703595,5.7306945307844765,348.1302527658774,-3.883212830258045,-1.4699624899617245,2.701832508590344
0.06,-0.5066230212177976,5.232634240618529,297.75626116841414,-3.8892042157426188,-1.3921108923313927,-2.320770968702029,-0.40581770278354556,3.4791452920316375,338.6426698542332,-2.277873022033805,-1.6731503974033695,2.455222269078835
0.09,-0.7694253633931584,3.5812863401462485,304.3650029334734,-2.588478583033118,-1.2697064485268728,-2.186401440641192,-0.7169804220696478,1.964239500131151,331.5003220487085,-1.0924584827074209,-1.473907108942817,2.295572973097885
0.12,-0.6804791378948829,2.4401125869712934,309.92455088297095,-1.6105942132315028,-1.0188178993643493,-2.106656790583827,-0.6723337259048731,0.9054728813876294,325.76905753894397,-0.19377911172213902,-1.164575622771077,2.180032074043331
0.15,-0.4998327297088833,1.63899376169584,314.47270980534154,-0.8605799683668693,-0.7553956739380028,-2.0450234029358523,-0.5301214628742974,0.1577142434431599,321.18637295777694,0.4933226760867314,-0.8580989694016081,2.0889637545895656
0.18,-0.3164980048795554,1.0806421463635947,318.1226867158439,-0.28164262419596175,-0.5178451316092387,-1.989930941131371,-0.38036934796879324,-0.3645748226196559,317.5520892712047,1.0181313770258875,-0.5905994651224803,2.013043556563511
0.21,-0.15786692169218208,0.7015555555457227,321.01214990144285,0.16558146505444102,-0.3165110624640823,-1.9379962164873576,-0.25165646396840385,-0.7184778965478315,314.6961489673611,1.4169497031876237,-0.3701850647344376,1.947517079385521
0.24,-0.02960787474069495,0.4560265828975078,323.2792059938668,0.5111086054765915,-0.1516905764959322,-1.8883656197335874,-0.15051837596797438,-0.9458052810118944,312.468686047746,1.718369638014122,-0.19499786265255623,1.8897134173432457
0.27,0.06999220647791549,0.30928299793079067,325.05156056320163,0.7788850390664169,-0.02019285804851903,-1.8408764760994283,-0.07586076294201112,-1.078883620602361,310.73781268480366,1.945544397337686,-0.05990889927737954,1.83795334611579
0.3,0.14490173843640422,0.23426363877239115,326.4418357216175,0.9882603629672482,0.08224024644203726,-1.7954980871745545,-0.02422449598573911,-1.1432931857847068,309.38931899356265,2.1172998691442397,0.04097419389272289,1.7910626332497457
