t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.615155791831036,-0.03165457384235282,-0.02979842061455784,0.20841860996927153,-1.3312394129975473,4.655512437034304,-8.618668784135934,0.9920658079054192,3.6669448464497236,0.2084183306826617,-1.3312409047186406,4.237842067089332,-7.957814225630386,0.9920658196497243,3.315875072451945,-37.3412429637923,-4.118202470074308,1.0322549387104447,-0.2200778917714841,-3.265209285351109,8.505589799349165,-23.13070707342977,8.426081125078474,8.938923333268034,0.9334095491701024,-3.692542743879758,15.492197471777828,-35.770399596016155,12.196269936894302,14.407376495109927,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.19764635978735207,-2.8489116458117534e-05,-2.6818578553102056e-05,0.00018757674897234436,-0.0011981154716977926,-0.32581003880666914,0.6222431980942776,0.0008928592271148772,-0.29669974963819523,0.00018757649761439553,-0.0011981168142467765,-0.3261859421396196,0.6228379671969326,0.0008928592376847518,-0.29701571243479324,-0.07845467375493108,-0.0009496372152705845,-0.0008939526184367352,0.006252558299078146,-0.03993718238992642,0.1396653731110291,-0.258560063524078,0.029761974237162574,0.1100083453934917,0.006252549920479851,-0.03993722714155922,0.12713526201267997,-0.23873442676891157,0.029761974589491726,0.09947625217355835,-0.9115728185925818,0.13834549899112147,0.06405767117704642,0.05719974961527896,-0.27178175127602344,0.21156280093231317,0.15132781601988654,0.5296165327517883,-0.2963588999180047,0.0580548224658628,-0.2721898024078939,0.4010851185139188,-0.23285613020254914,0.5303650527398531,-0.13152610160204858,-30.689397306952458,-4.976038543136406,0.6545111928970166,0.1895583170415339,-1.916394194916196,7.015666343680089,-20.820515384864837,7.930462066070164,8.541793074343934,0.259220793862951,-1.9418970665654711,12.608479467023274,-30.90284327860047,8.166041125449855,12.915184032340786,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.1944723040379708,6.753271617577423e-05,4.0147469531376575e-06,0.0004266332725984398,-0.0026408345195440067,-0.3214296710924992,0.6146225912229732,0.002262373333706364,-0.29366622228631667,0.00042740233544806756,-0.0026412044506606575,-0.3220109076725767,0.615466363876683,0.0022630470228353714,-0.29414979836102834,-0.10580185831270852,0.0032007277544630597,0.0010277775168746573,0.007968550787536515,-0.04809063492820712,0.1460122571389985,-0.2540202290434814,0.04565047021971622,0.10111757839595156,0.007994194594455734,-0.048102921213796036,0.13916781556809754,-0.24572011067498806,0.04567292617168732,0.0955304691254969,-0.24350136029580938,-0.1452971824330742,0.05835629229282091,0.012457964023894874,-0.11580605791061771,-0.000930520737824736,0.26290173598169986,0.2908833013511867,-0.1772656110713342,0.012146683799812763,-0.11574746921445467,0.1576801458379009,-0.029415202272275565,0.2908558056265065,-0.0499258688791997,-28.47058853114307,-4.506680050291269,0.3885447890903713,0.1071246533816527,-0.982408178417176,6.846941552691284,-22.186793165703687,5.30610283579867,9.245301756646112,0.10100893346631615,-0.9797544129358786,10.816958379290472,-29.351171478966215,5.301935286537503,12.38578190790076,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.19107909706432333,3.278708461989923e-05,8.73687355229162e-05,0.0006769019638460407,-0.004187779019509777,-0.3170501408469933,0.6072385959140524,0.0038936824115139183,-0.29079223398440235,0.000678160188701571,-0.004188464809367548,-0.31769396107427966,0.6080682868743883,0.0038950050330498467,-0.2913288175692547,-0.11310689912158281,-0.001158187718529166,0.0027784662856592847,0.008342289708253361,-0.051564816665525655,0.14598434151686376,-0.24613317696403042,0.054376969260251824,0.09579961006381153,0.008358595108450117,-0.051575345290229675,0.14389821994323457,-0.24660256674315634,0.054398600340482516,0.0940326930591209,-0.024270943698304848,-0.2274490250003307,0.03606095187392633,-0.003358423338738703,-0.03674175431163462,-0.05844277471243231,0.219850651462707,0.1518343397335684,-0.09805787045434045,-0.00439971155719121,-0.03644665625019883,0.058285490671664775,0.012757610478615788,0.15136594509681345,-0.00568778719753027,-27.39982952338942,-3.5701608649405308,0.19011648929189942,0.04878935648158703,-0.3690933884357485,7.007667245205906,-23.33842835588658,3.165512961879216,9.564621423039448,0.04056636646641639,-0.36604658075754115,9.601334332463937,-28.06124535629927,3.1603432610467475,11.670620653183024,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.18766404624134736,-0.00020666266943627338,0.00020317758077922844,0.0009241480740887766,-0.005767791098356017,-0.3127232090987286,0.6000524661914479,0.005661642395081684,-0.28800649776589693,0.0009249583015536024,-0.005768527158699617,-0.3133245575343781,0.6006816917215244,0.005663192393851454,-0.28851295578595887,-0.11383502743253196,-0.007981658468539087,0.0038602948418770744,0.0082415370080912,-0.05266706929487469,0.1442310582754908,-0.2395376574201492,0.058931999452258875,0.09285787395018132,0.008226603761734381,-0.05266874497773564,0.14564678466338452,-0.24621983842879785,0.05893957869338692,0.09386205944319499,0.05447994681434665,-0.2246093874631434,0.01714199917727921,-0.008279770356807603,0.002574489448505801,-0.06777986864111085,0.18325383013427654,0.06896274463633745,-0.06573630147795484,-0.009669209168400528,0.002960127177463079,0.012441218127321463,0.04289543648565086,0.06830335288356082,-0.0009606122837340081,-26.750141206251357,-2.5762851193198495,0.05978600258036663,0.008154647250576864,0.06253820324806181,7.2139485650621955,-24.220700866749574,1.520714137888494,9.711382881336387,0.00046896266779659847,0.0650826723459106,8.697248903940366,-26.971038121451787,1.5161163500113335,10.97616022580849,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.18429802737050432,-0.000648260872209275,0.00033441422529509194,0.0011639423910103858,-0.007345486136698603,-0.30845727923224087,0.5930312649159643,0.007491668848822154,-0.28527992421872167,0.0011630541261540735,-0.007345925393571969,-0.30894395689816195,0.5933337024614975,0.007492852772248267,-0.2856979585537184,-0.11220062902810156,-0.014719940092433388,0.00437455481719545,0.007993143897386971,-0.052589834611419514,0.14219766221625746,-0.2340400425161209,0.061000881791349,0.09088578490584268,0.007936527486682365,-0.05257994116241175,0.14602002120720417,-0.24493297533422834,0.060988679279893744,0.09383324107468297,0.08328050212424642,-0.19189971294863073,0.005292191979812344,-0.009659381885441576,0.022092755843436507,-0.06311728840105957,0.15457509924112856,0.01771989966550791,-0.05131620531278713,-0.011156669049327661,0.022486633165170744,-0.01159847991189622,0.06519201009314202,0.017018968569765036,-0.008075239613390295,-26.268464534413777,-1.680050360979514,-0.02007616811892979,-0.02912786400639937,0.3884701306414134,7.381016795679229,-24.86948354378966,0.24427514183617224,9.781934484845266,-0.033853814751228756,0.38982244287154577,7.986392013918246,-26.049809094084218,0.24155918406604357,10.373166154999996,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.1810069609515731,-0.0012625688166360443,0.00047041384259278654,0.0013950432642350975,-0.008903297694782096,-0.3042481549253141,0.5861491812297976,0.009337643212261581,-0.2825995352563279,0.0013911089486101495,-0.008903085658595667,-0.30457379489386655,0.5860443860105545,0.009337830222357867,-0.28289022903712996,-0.10970221396437417,-0.02047693148089231,0.0045333205765898206,0.007703362440823724,-0.05192705193611642,0.14030414356422566,-0.22940278953888704,0.06153247878131424,0.08934629874645907,0.007601827415202535,-0.051905342167456625,0.1456720668098473,-0.24297721503143407,0.061499248336986695,0.09359098388628126,0.09408220977496029,-0.15204674894270176,-0.0011689799832490522,-0.009814651650934758,0.031234896866150663,-0.05585335802169311,0.13267640719232077,-0.014053992879780708,-0.043972282956019626,-0.011268783094223522,0.031593251853426096,-0.025825072712052588,0.0812792488403602,-0.014711009100381034,-0.017160288962941195,-25.862714797226662,-0.9282342343427675,-0.06777223020099704,-0.06516261215958254,0.646257008464023,7.490291354697612,-25.31993967798356,-0.7476736697615722,9.814899380021599,-0.06511786523166004,0.6459750259269897,7.412128024706828,-25.268539056946896,-0.747609030555467,9.875383240922865,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.17780056852143933,-0.002013718835111245,0.000605361377905557,0.0016173109509739678,-0.010432997845686052,-0.30008929864060685,0.5793865063101041,0.011170968982109206,-0.27995872134859456,0.0016090218662814244,-0.010431811996951283,-0.300226875455012,0.5788282208835678,0.011169567764277124,-0.28009794378060815,-0.10687974767112536,-0.02503833394917336,0.004498251177092349,0.0074089228912956814,-0.0509900050301319,0.13862854282357487,-0.22542249732311742,0.061110858994920816,0.08802713025777847,0.00726376392237583,-0.05095754461185384,0.1448973146284857,-0.24053883756622327,0.061057918063975265,0.09307617521739302,0.09826463606970037,-0.11420690171290859,-0.004274613202076782,-0.009475990453772454,0.03467086261027319,-0.04950221397450605,0.11638321018506304,-0.03305174921052867,-0.03973636035857453,-0.010802383294389983,0.03497382014866446,-0.034942545672123515,0.09235345837760178,-0.03362206935241829,-0.02503337249913784,-25.498597708653087,-0.32279525442490925,-0.09603113043914896,-0.0994089277434381,0.8565376181780647,7.545234767353658,-25.605676500779648,-1.5173015795369946,9.827969751886553,-0.09344319441557311,0.8543944430646602,6.941679183110835,-24.600504483193838,-1.513947615730361,9.47630380783492,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.1746826142637683,-0.0028676550651280637,0.0007364617613364584,0.001831050246304443,-0.011931494220240764,-0.2959749943484767,0.5727285762795772,0.012974548177667355,-0.2773536701651839,0.0018172126389877483,-0.0119290618971731,-0.2959114043072623,0.5716951738691209,0.012971045443779205,-0.2773281885593356,-0.10393180858903435,-0.028464541000560617,0.004370012781030045,0.0071246431776825075,-0.04994987915182371,0.1371434764043397,-0.22193100101756552,0.060119306518604955,0.08683503944702124,0.00693969242354413,-0.049908330007393906,0.14384903825832202,-0.2377682338148952,0.060049255983402716,0.09232517404241888,0.09986675142469181,-0.08175251979726017,-0.0054613629828486054,-0.008892120211825727,0.03483761620167769,-0.044857108316165295,0.10459031378650252,-0.04337036411470763,-0.03707662859528682,-0.010055456612263924,0.03508018440356864,-0.04097517866676981,0.09944842680988586,-0.043839567888426245,-0.030929332867572157,-25.16256052584567,0.1518635102789639,-0.11278020444284528,-0.13122852282500594,1.0321821334698642,7.555621395289509,-25.757592053920618,-2.113901845611583,9.83073466589475,-0.1187483870034968,1.0281104539421262,6.552450771129421,-24.021815571067524,-2.107055115599568,9.1629103796226,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.1716545400823795,-0.003795168562962416,0.000862646918082796,0.002036786633444275,-0.013398636740213965,-0.29190106145383105,0.5661647775314581,0.014739094045522268,-0.274781987947509,0.0020163535007430345,-0.013394739631431705,-0.2916328108203127,0.564651630438803,0.014733067512181702,-0.2745862697376439,-0.1009358060462936,-0.030917116594478423,0.004206171891544586,0.006857879571327736,-0.04890475066577338,0.13579776315485473,-0.21879329160397046,0.05881819559516373,0.08572274058916264,0.006638028725176212,-0.04885592447528685,0.14261978289831892,-0.23478478101059863,0.05873406894674993,0.09139729405639171,0.10030627891924837,-0.055500936735780826,-0.005601448734601888,-0.00817389018440906,0.03313090499440108,-0.04185679021762212,0.09633595387128935,-0.047753547025536136,-0.03534353878512775,-0.00917251004091213,0.033316896697954235,-0.04493678697207315,0.10344828182644505,-0.048124927170647425,-0.03490358922158521,-24.848510770830426,0.5170079529630972,-0.12280981381742674,-0.16036298850934277,1.1822012144934808,7.532006424127233,-25.803172581238034,-2.577641874113728,9.829201527919883,-0.14117643668644955,1.1762370402584534,6.227064365247496,-23.511777179014963,-2.567306117824518,8.920930969068909,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
