t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6783199965822533,-1.3585371100567283,-0.16672945363701785,0.3542804525478118,-2.8216228581840994,12.934722052954896,-23.948006579834214,1.1444448456222744,10.982093161445164,0.3542775082862022,-2.821629118895686,11.242422208073094,-20.977612143057513,1.1444435682506082,9.52060985572598,-42.78396405171486,-2.562713067844637,0.9694424627760441,-0.29001473153424784,-5.066875016338591,9.936725691775765,-28.68714869536962,4.288091927672757,11.238314766646859,0.9997203246088864,-5.544686707418694,16.773298808052512,-41.66540823313405,8.503623371848803,17.196307116663856
0.01,0.1997321680003418,-0.00013585371100567284,-1.6672945363701786e-05,3.5428045254781185e-05,-0.00028216228581840993,-0.32870652779470455,0.6276051993420165,0.00011444448456222745,-0.2989017906838555,3.542775082862022e-05,-0.0002821629118895686,-0.3288757577791927,0.6279022387856943,0.00011444435682506082,-0.2990479390144274,-0.026783199965822534,-0.013585371100567283,-0.0016672945363701787,0.003542804525478118,-0.028216228581840995,0.12934722052954897,-0.23948006579834213,0.011444448456222745,0.10982093161445164,0.003542775082862022,-0.028216291188956858,0.11242422208073094,-0.20977612143057514,0.011444435682506082,0.0952060985572598,-3.5986165786543793,0.3908680231223354,0.1440014071376119,0.03888195973888742,-0.35871576707410213,0.9675168673427663,-2.815801389007447,0.5714079932490677,0.8774827861234371,0.039585058131308415,-0.3591259641988245,1.125146123279137,-3.0966532220392082,0.5720517448285136,0.9803967881243807,-36.44501168798562,-3.1714619667626924,1.020031679577934,-0.3355642711061837,-4.138982610669207,8.69262074206045,-21.05657412776152,3.36883780477066,7.622526677810275,0.8376071949824939,-4.574927663607399,15.102716724710653,-33.21709649954299,7.216121150441592,13.243217564936032
0.02,0.19910447434281814,-0.00023262061969911213,-1.894575001364238e-05,7.474428648345111e-05,-0.0006001961483442301,-0.3273163039026748,0.6249288185451324,0.0002860297684493617,-0.2977158330890986,7.481400747037128e-05,-0.0006002384201990196,-0.32763900094605747,0.6254948122491846,0.000286093888132973,-0.29799783835004234,-0.06276936575236633,-0.009676690869343928,-0.0002272804649940598,0.0039316241228669925,-0.031803386252582014,0.13902238920297663,-0.26763807968841663,0.017158528388713422,0.11859575947568601,0.003938625664175107,-0.0318075508309451,0.12367568331352231,-0.24074265365096723,0.01716495313079122,0.10501006643850361,-1.8919112406982421,0.2403627104625201,0.13790207036198865,0.038334085279728924,-0.2803946221153808,0.5573841382262401,-0.19203660618404683,0.4927359757971317,-0.38421205176700823,0.038981640297947706,-0.2806415812201237,0.7228067640340896,-0.5014349445613107,0.49319538049303446,-0.2602461227738786,-33.54454162122351,-3.603117504278335,0.8614130442882963,-0.32044162044964264,-3.4868797889593273,8.007760078785859,-20.30321795948344,3.3897227632204388,7.70699868381962,0.760211491487815,-3.8898149668868913,13.971674889741937,-31.561615142643134,6.947483598432651,12.888028024474258
0.03,0.19828758956122466,-0.0003053512573462994,-7.428347627384114e-06,0.00011789393624009393,-0.0009462694730815884,-0.32587034159682243,0.6222332340876298,0.000506888649916209,-0.29656829669951845,0.00011809842814191712,-0.0009463780866304831,-0.3263299634365188,0.6230372422182188,0.0005070629574901887,-0.2969737622979347,-0.08168847815934875,-0.007273063764718727,0.0011517402386258266,0.004314964975664282,-0.03460733247373582,0.14459623058523904,-0.2695584457502571,0.02208588814668474,0.11475363895801594,0.004328442067154584,-0.03461396664314634,0.1309037509538632,-0.24575700309658033,0.022096906935721562,0.10240760521076482,-1.2016243588123245,0.13766477727439508,0.1074647041924699,0.03564683684757597,-0.23790125345084334,0.3440400277360425,0.20359184931402297,0.4419937843160824,-0.4359580714747153,0.03629193948827947,-0.2381254049131485,0.5056451979769179,-0.10252810721613059,0.4424358572391611,-0.3100609093944513,-31.754777848940183,-3.864265894561039,0.7096050301439463,-0.29164373649372943,-2.910054264585624,7.510819389164869,-20.54000323338111,3.5271043413741223,8.165943784353122,0.708372847010083,-3.2840675841897595,13.04824095602815,-30.944235168504292,6.832503475588244,12.925391184505864
0.04,0.19735054234374994,-0.00036431541726604717,1.4835525178121145e-05,0.00016460826968149435,-0.001316132923164031,-0.32438997528819646,0.6195580088150586,0.0007719469098146647,-0.29546435611708577,0.0001650120427622909,-0.0013163302935532612,-0.3249703614071825,0.6205694193765313,0.0007722756125713204,-0.2959806923367665,-0.09370472174747199,-0.005896415991974777,0.0022263872805505253,0.004671433344140042,-0.03698634500824425,0.14803663086259947,-0.2675225272571169,0.026505825989845563,0.11039405824326878,0.004691361462037379,-0.03699522069227782,0.13596020293363237,-0.24678228416874162,0.026521265508113172,0.09930699611682031,-0.7975694382627054,0.0687233612064464,0.07745074023907605,0.0352792579099912,-0.20735061257104803,0.20393013009544347,0.2616254660056825,0.40403063537041817,-0.3472613071237447,0.03587904821242205,-0.20754345070758973,0.35986372179326054,-0.03938393328530765,0.40443508851012666,-0.22060064565994253,-30.493614216052258,-4.001484107717981,0.5781753032323247,-0.2620313744845058,-2.398476809158366,7.181942073825175,-20.911214503753545,3.665149196154215,8.555363958324321,0.6669138910428634,-2.746855100887576,12.305433356755803,-30.49261301746145,6.74788141818098,12.909069826171232
0.05,0.19633373818244895,-0.0004164072410651503,4.4844472007534e-05,0.0002148505289138939,-0.0017067314345035783,-0.32288921596656095,0.616908946089088,0.0010774082332501622,-0.29439514166536546,0.0002155135622039069,-0.0017070368455467985,-0.32357477300566684,0.6180976581415154,0.0010779317765034647,-0.2950096824401643,-0.10168041613009905,-0.005209182379910313,0.003000894682941286,0.005024225923239954,-0.03905985113395473,0.1500759321635539,-0.26490627259706007,0.030546132343549744,0.10692144517203134,0.005050151944161599,-0.03907065519935372,0.13955884015156497,-0.2471761235015947,0.030565616393214437,0.09710098966022089,-0.5250558601430342,0.026283190239359655,0.04847658515738473,0.03724202993581116,-0.18579436784730774,0.10823464361970991,0.2697638329351548,0.3757857974255785,-0.2678334092329351,0.03775200161379644,-0.18594847096088074,0.25747437820140817,-0.02617617117255122,0.3761335829476593,-0.1405406961407607,-29.56596387154807,-4.037694665181356,0.4629725933061809,-0.23181020978296898,-1.945528053199098,6.975577620598778,-21.28716957124698,3.7890381726718876,8.845613937031167,0.6335349891350364,-2.2708498253438085,11.69741399841265,-30.07736712244356,6.672166352624729,12.810660453872043
0.06,0.19526442843513367,-0.00046587074584031747,7.970107735268535e-05,0.00026881699113987456,-0.0021159093826278565,-0.32137763318056345,0.6142868597464108,0.0014204481364282176,-0.29335271055456846,0.0002697902818069025,-0.0021163382446364237,-0.32215343716633105,0.6156232792893822,0.001421201298730375,-0.29405272661317616,-0.10693097473152939,-0.004946350477516717,0.0034856605345151333,0.005396646222598066,-0.040917794812427806,0.15115827859975098,-0.2622086342677085,0.03430399031780553,0.10424311107970198,0.005427671960299563,-0.04093013990896253,0.14213358393357906,-0.24743788521332022,0.03432695222269103,0.09569558269881329,-0.33390517377326745,0.004372615940241076,0.019184881579555224,0.04272929369699341,-0.17461705917713743,0.04194892535934969,0.2748436678824646,0.356446443372306,-0.21318478555213005,0.04310983499274812,-0.17472915756096086,0.1807163793044424,-0.012566466501084506,0.35672494169557467,-0.08675640629326153,-28.866126186427717,-3.986625631699264,0.3569942622929583,-0.19885274160923422,-1.5470771527831835,6.85496264579564,-21.64471075154324,3.8974740968881636,9.056462848579176,0.6088102382812903,-1.8513966212726964,11.187072843339784,-29.677288232647655,6.599146070320374,12.651532233689343
0.07,0.19416172817044106,-0.0005148969890214606,0.0001164761708557922,0.00032705638273555456,-0.0025425490366698484,-0.31986185550203,0.611692257770522,0.0017991326839435036,-0.29233159792232666,0.00032837798490917297,-0.0025431125594821452,-0.3207140296890648,0.6131476437905989,0.0018001433151268427,-0.2931044464268174,-0.11027002646926207,-0.004902624318114306,0.0036775093503106857,0.005823939159568,-0.04266396540419918,0.15157776785334448,-0.2594601975888839,0.03786845475152859,0.10211126322418068,0.005858770310227045,-0.042677431484572134,0.1439407477266235,-0.24756354987833107,0.03789420163964678,0.09482801863588067,-0.20396742035107707,-0.030393167572926316,0.006639144405269803,0.039726665014143236,-0.15253016124762553,-0.0013723663932694308,0.2661914976999924,0.3237506304665203,-0.17024275580479298,0.039946073047246955,-0.1525942966024587,0.13069265594910462,-0.009006203074136465,0.3239443984582522,-0.04772843161572382,-28.340941426552313,-3.9053186469973324,0.28672315234352874,-0.12117780951314962,-1.244170009602935,6.800741154457233,-21.98885225659726,3.975641944422446,9.209125489278225,0.500546481655289,-1.478870143004359,10.751454661058888,-29.28994812229184,6.065522354320578,12.461925615375138
0.08,0.19303863116371334,-0.0005669625489598963,0.00015391517879942602,0.0003892684408326489,-0.0029844417068366027,-0.3183462150601359,0.6091242749444032,0.0022101922945054414,-0.29132750956566533,0.0003909602953161681,-0.0029851463039881126,-0.3192615529462037,0.6106711076715082,0.002211479771369136,-0.2921609390836201,-0.11230970067277284,-0.005206555993843569,0.0037439007943633838,0.006221205809709432,-0.044189267016675436,0.15156404418941177,-0.256798282611884,0.041105961056193796,0.10040883566613275,0.0062582310406995145,-0.04420337445059672,0.14524767428611454,-0.24765361190907242,0.041133645624229304,0.09435073431972343,-0.11663044110853349,-0.07019832984101981,0.0039493783656094905,0.03197134654072897,-0.1247554242484199,-0.02961106834095517,0.2515346125411497,0.28373695086702355,-0.1373632104941862,0.03201682838448505,-0.12476646318954465,0.09755046832032122,-0.008683953441050107,0.2838347210147276,-0.020865333326128166,-27.93822593552561,-3.790077514462997,0.23831876058124019,-0.011437848942882684,-1.0179477049535692,6.791746405635151,-22.31481547536082,4.030008533482596,9.318855923794215,0.33915145003967373,-1.150378805178885,10.370829702760076,-28.914723110521464,5.218127538710738,12.25523100721124
0.09,0.19190387111287477,-0.0006260479418824339,0.00019174912457962083,0.0004546776335838161,-0.003438809919428199,-0.3168335357250759,0.6065814455795385,0.002649625600154082,-0.2903371575300534,0.00045674428856161176,-0.0034396566948130345,-0.3177993211565105,0.6081937031570734,0.0026511996997129017,-0.2912195182737555,-0.11347600508385818,-0.005908539292253767,0.0037833945780194785,0.006540919275116722,-0.045436821259159633,0.15126793350600223,-0.2542829364864725,0.04394333056486403,0.09903520356119089,0.006578399324544365,-0.04545103908249217,0.14622317896931775,-0.24774045144348292,0.04397199283437658,0.09414208098646215,-0.05350524739748863,-0.09177521004618328,-0.004502007212355608,0.029711909821116933,-0.10774051028090526,-0.047626637210782974,0.24663226341192512,0.2536581620868219,-0.11912621971555382,0.029579144881125785,-0.10770230455653973,0.06986760771877698,0.003937833192026119,0.25366285003610756,-0.009269954323372076,-27.61224680263963,-3.6137420377426666,0.18313856555734184,0.09567753445636888,-0.8253560496333531,6.8086734411055385,-22.613547114177454,4.075262014509841,9.396049420371208,0.20302437485056443,-0.8656027765571973,10.029738578119495,-28.551106064092917,4.4494791267534355,12.03534819369619
