t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.632073170308878,-0.26624214415163827,0.051186604706572325,0.1355033816657567,-1.282925415208382,4.7714077491874605,-8.88532784825685,0.8251791445118215,3.7961789628964198,0.13550294742606184,-1.282927333063924,4.300236910554304,-8.033097632091312,0.8251791421425878,3.3449778257936487,-37.43551052319081,-3.5246758144187402,1.142583841951519,-0.3371970292977329,-5.630115520623643,8.115136101005147,-22.00763344891019,3.3076177952547394,8.173703698355693,1.0021017586068237,-6.126285428221849,15.935903165053382,-37.03635707946703,7.685147477920347,15.209561216647964
0.03,0.197631134146722,-0.00023961792973647443,4.606794423591509e-05,0.00012195304349918103,-0.0011546328736875438,-0.3257057330257313,0.6220032049365688,0.0007426612300606393,-0.29658343893339323,0.00012195265268345565,-0.0011546345997575315,-0.32612978678050114,0.6227702121311178,0.000742661227928329,-0.2969895199567857,-0.07896219510926634,-0.007987264324549147,0.0015355981411971696,0.004065101449972701,-0.038487762456251455,0.1431422324756238,-0.2665598354477055,0.024755374335354643,0.11388536888689259,0.004065088422781855,-0.038487819991917714,0.12900710731662912,-0.24099292896273936,0.024755374264277635,0.10034933477380946,-0.9178470077958778,0.06222591051966475,0.105941927584972,0.03108729607262717,-0.21920862317222145,0.22449557138011755,0.10287256422572,0.44027425687295363,-0.27252168640711716,0.03234710782692218,-0.21968528853264502,0.39356247663408794,-0.2141116194505912,0.4411636517606894,-0.14102079468420925,-30.688437231852017,-4.525818388007563,0.6812734012142999,-0.27581713592455687,-3.3690244242980354,6.702015406355429,-19.971341301798176,3.384628559406969,7.974396025692126,0.777757714089093,-3.763229100852743,12.910906464771607,-31.775571697156252,6.872598718342262,13.440355295130729
0.06,0.19443620598642772,-0.00042323254000525053,0.000187483623298305,0.0002718846534637265,-0.0025065535082300864,-0.32120942003722047,0.6140989951809408,0.001881569291306937,-0.29341214738455285,0.00027301770241114126,-0.0025069859591944433,-0.32190536733203157,0.6153477238047301,0.0018823697424412787,-0.2941059586287872,-0.10649760534314268,-0.006120487008959205,0.00471385596874633,0.004997720332151516,-0.045064021151418096,0.14987709961702733,-0.2634736585209339,0.037963602041543254,0.10570971829467907,0.0050355016575895205,-0.045078378647897065,0.14081398161565176,-0.24741627754625709,0.03799028381709832,0.09611871093328318,-0.23579404930418946,-0.058985500597001916,0.0209193136400998,0.037799991490942375,-0.15885168057765497,-0.0014779416279395718,0.2816855292041964,0.3531232316763635,-0.18651372598037597,0.038302279512606674,-0.15893848463230142,0.15288343840899188,-0.03119248292739485,0.35342415955665274,-0.04768921468212284,-28.445857454198688,-4.497775507041576,0.34191758165424924,-0.19613514721451647,-1.7984787447704378,6.437528210353109,-21.298811497905284,3.7992888367953337,8.776261717378354,0.6484737178387678,-2.116940908192983,11.201973950138116,-30.225822857144234,6.632657491136709,12.822491563470669
0.09,0.19102906318175966,-0.0006599341008113284,0.0003477266846367847,0.00045583625577012013,-0.004001440655292518,-0.3167144371961748,0.6064483024015965,0.003338288261061962,-0.2904087181890948,0.0004585548037001729,-0.004002381954800426,-0.3175433527889939,0.6078971622437077,0.0033401600005552156,-0.2912653175940026,-0.11357142682226835,-0.007890052026869262,0.005341435377949324,0.0061317200768797875,-0.049829571568747746,0.14983276136818915,-0.255023092644808,0.048557298991834155,0.10011430651526779,0.006184570042967721,-0.049846533186866104,0.1454004847679215,-0.24835205203407892,0.0485930086037979,0.0946880344928195,-0.020611355183163482,-0.1171810650903069,-0.01528592751740021,0.033071018147950326,-0.10815450659117687,-0.06553061862831555,0.26140882207164395,0.26623460536325183,-0.11949095839236179,0.032673461073386534,-0.10799004099675358,0.06360900087619825,-0.00879088785688964,0.2660632115946555,0.0045553668437605666,-27.39170897862953,-3.9685887300419154,0.15245711348409657,0.052844002481876186,-0.8695970393820108,6.567438863528463,-22.453358956772053,4.03465767552718,9.171534232959926,0.29538758887962674,-0.9615167466358587,10.036968396545992,-28.894911948358278,4.873362288075782,12.053687190840618
0.12,0.18760337015742676,-0.0010020986201986824,0.0004942124112096042,0.0006695517744096691,-0.00559366685828701,-0.31227843191189464,0.5990328775621168,0.005034618375643913,-0.2875128308561899,0.0006734980199552524,-0.005594968987303488,-0.3131240901451677,0.6004386888836142,0.005037407149104342,-0.28842057672905863,-0.11418976747776326,-0.011405483979578468,0.004882857552427317,0.007123850621318297,-0.05307420676648305,0.14786684280933968,-0.24718082798265867,0.05654433715273171,0.09652957776349694,0.0071647738751693165,-0.05308623441676871,0.14730875479420744,-0.24861577866978563,0.05657490495163757,0.09482469549813231,0.05366587386551913,-0.19435076774068882,-0.001156710698165142,0.008194254465081485,-0.03657227859208945,-0.07707423837771898,0.21260643826235537,0.14171434033676178,-0.08032566480915193,0.007068582272644619,-0.036231049700184315,0.022746606667880087,0.018934772909801723,0.1411767444723182,0.009571898283638802,-26.74937843355528,-3.134229533392601,0.06884653380627338,0.07687948504936978,-0.2524777724178913,6.853451236371683,-23.508624203119656,2.654103834495032,9.415620155334542,0.06799869632500455,-0.24914039766872986,9.060272727918786,-27.61085723501452,2.6484601592774575,11.273498296566284
0.15,0.18422597641957283,-0.0015191788305526565,0.000639657098154075,0.0008906421220677913,-0.0072188081120143814,-0.3079117934421544,0.5918087985170731,0.00685849139652895,-0.2846892366216132,0.0008948029602557121,-0.007220163964536715,-0.30868435555534035,0.5929972568191394,0.006861713367678556,-0.2855672211556594,-0.11257979126179768,-0.017236007011799132,0.004848156231482363,0.007369678255270742,-0.05417137512424573,0.14555461565800812,-0.240802634834788,0.06079576736283456,0.09411980781922238,0.007376831343348655,-0.05417316590777424,0.14799115299424384,-0.24804773548249157,0.06081020728580712,0.09511185244664148,0.08255531466331689,-0.2105874032853241,0.00430151366679965,-0.00569926417249178,0.00876620680488216,-0.07164484918175162,0.17248765660860954,0.05218498773677993,-0.05960533025950099,-0.007114085746856347,0.009172982714956035,-0.0028380415260471636,0.047718419460466066,0.051494753930683146,-0.0003343428086282074,-26.263629154099746,-2.185254154724395,-0.002564965427193193,0.0025354903143531985,0.2088532284731176,7.12145779449136,-24.35142193105502,0.9986337123534823,9.576168217523286,-0.004623866446897072,0.21119975194979873,8.24454569106437,-26.479693446031295,0.9943077991353617,10.58185787037832
0.18,0.1809228824649159,-0.0022257877038634223,0.0007889731473986656,0.001106603131970671,-0.008836059779617359,-0.30360963533667773,0.5847399583629772,0.008729330906377088,-0.2819192871842701,0.001109705223384001,-0.008837103257326482,-0.30424717520288647,0.5855987713321791,0.008732364864790385,-0.28271416649078795,-0.11010313182189817,-0.023553629110358854,0.004977201641486352,0.0071987003300959885,-0.05390838892009927,0.14340527018255558,-0.2356280051365297,0.06236131699493796,0.09233164791143736,0.007163408770942965,-0.05389797642632556,0.14790601174846243,-0.2466161828986776,0.062355049903727616,0.09510182216238264,0.09371283061708624,-0.18384754554592772,0.0005786765072161026,-0.009769245002626548,0.029580270540372045,-0.062139043791063386,0.14397934574174087,0.0005348711599069134,-0.0490989575025651,-0.011197111906014356,0.02997138097599006,-0.019772278182529135,0.06998979738239086,-0.00015234496677862808,-0.01206087053014926,-25.85554297357095,-1.3057875195875306,-0.06252936166039887,-0.04682387098149854,0.5451960249622029,7.31380887832349,-24.94924114827279,-0.25574905160368305,9.677029477469128,-0.049946712795019346,0.5459413623760161,7.584927777307212,-25.53375589230659,-0.2575519803905415,10.015454272424451
0.21,0.17770413005781432,-0.003097859368165523,0.0009388100054997507,0.0013137718213711868,-0.010426689203734001,-0.29936340237061304,0.5778006996200489,0.010600651800269143,-0.2791935268086793,0.0013145300857968772,-0.010427068307237858,-0.2998277899007969,0.5782632766628629,0.010602879251432112,-0.2798719666093936,-0.10729174690338558,-0.029069055476736685,0.004994561936702836,0.006905622980017192,-0.05302098080388811,0.14154109886882368,-0.2313086247642775,0.062377363129735165,0.09085867918636041,0.006827495413762535,-0.05299883499704586,0.14731284340298656,-0.24451648897720588,0.06235047955472426,0.09473999604647816,0.09806872395921573,-0.1457146683384467,-0.0030928571385362424,-0.010612074908650015,0.03835001236391378,-0.0535611766256352,0.12292028864817439,-0.029459734791601022,-0.042713487691798946,-0.011923854821930036,0.03868674057646615,-0.03128771769959826,0.08561024915263715,-0.030067928676999145,-0.021857509017991106,-25.489922565418308,-0.5647116132943061,-0.1029651883681883,-0.08724364139878944,0.8041300928933008,7.432761766250569,-25.344724947779802,-1.2104116131024112,9.741461245888063,-0.0847277457339181,0.8029329162678526,7.048851195670822,-24.73880800075468,-1.2089489048088053,9.563980185373287
0.24,0.17457363950227606,-0.004101074233972225,0.0010858632921761531,0.0015113896433539176,-0.011982803616723122,-0.2951653744635114,0.5709720691369039,0.012445458932848758,-0.27650620857201114,0.001508623478870016,-0.011982215290630413,-0.29543656354463693,0.5710048312177841,0.01244633250226454,-0.27704943848611546,-0.1043496851846091,-0.03344049552689009,0.0049017762225467484,0.0065872607327576915,-0.0518704804329707,0.13993426357005462,-0.22762101610483226,0.06149357108598714,0.08957727455560645,0.006469779769104634,-0.05183823277975187,0.14637421187199862,-0.24194818150262676,0.06144844169441428,0.09408427077593842,0.09975227862803138,-0.10847805843311598,-0.005143917414962118,-0.01032973773831003,0.040862887718063234,-0.047149723784286834,0.10771571523309831,-0.046010298794954,-0.03853224362023866,-0.011464580982590178,0.04113166785613487,-0.03917567238312358,0.09599987169099222,-0.04650848247149497,-0.02916411166643229,-25.15272205006923,0.029920550688078463,-0.1280964805552222,-0.12296067568789035,1.0108535042396605,7.490304928652816,-25.57549812144332,-1.9364551424883987,9.782277864788224,-0.11390780714144315,1.0075887268231634,6.6111777631823,-24.06424936449455,-1.9313865759631526,9.211524871342567
0.27,0.171532925997503,-0.0052019193523687324,0.0012282870531790896,0.0016997107013721692,-0.013502141430765986,-0.2910097813078156,0.5642403827974687,0.014248856796512914,-0.27385356935460115,0.001692398749058824,-0.013500343772952448,-0.2910805952936218,0.5638327856572272,0.014247928118872624,-0.2742531580633371,-0.10135711682576816,-0.03669483727988357,0.004747458700097885,0.0062773686006083905,-0.0506445938014288,0.138519771856526,-0.2243895446478393,0.060113262122138515,0.08842130724699929,0.006125842339626929,-0.05060428274406783,0.1451989417005049,-0.239068185351897,0.060053187220269436,0.09320934742594546,0.10023949068942528,-0.0765446514894359,-0.005841679025127,-0.009623753025650217,0.03997968175971067,-0.04284585905736549,0.09704979262141933,-0.05381813085762133,-0.03571193004677298,-0.010565919640100674,0.04018125866652156,-0.04446317253092502,0.10231655922632399,-0.054202337064566564,-0.03415074520330563,-24.837653662291952,0.49303366458903375,-0.143193987122879,-0.15502170748762686,1.1805302272377893,7.499970041909932,-25.67494332926564,-2.4881336093495063,9.808040042990264,-0.13908855856932767,1.1752209668309956,6.251419990516742,-23.483490814602565,-2.4794113200794956,8.941379287627422
