t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46408436590800584,0.6183736220225504,1.1171670965155132,0.486837763439091,0.35608817775177215,0.11402682293647004
0.03,0.0004178084980113454,0.0005563374170962668,0.8805555053396947,0.00021907699076150074,0.00016023967795046506,5.1312069668855286e-05,0.9999999618477938,0.013922530977240175,0.018551208660676513,0.03351501289546539,0.014605132903172731,0.010682645332553165,0.003420804688094101,0.18757284427704413,0.32955393922410003,-0.020436469447167482,-0.20518531409748064,-0.045729170013245835,0.08824246042910033
0.06,0.0010045890386013762,0.0014090281743006459,0.8815427747885028,0.0003458280012803433,0.000299887784401008,0.00014234352919909117,0.9999998851043084,0.0195497163055515,0.028437826837399514,0.03290191881205037,0.008449573480248312,0.00931077023215579,0.006068078500967111,0.046769224242437346,0.26655368175772143,-0.038556840525638236,-0.18236692499026574,-0.08264330377468809,0.05558141460895172
0.09,0.001633403780050876,0.0025016118327880043,0.8824954944104206,0.00039052668801068844,0.0004023260673725169,0.0002583983667840569,0.9999998094264446,0.02095279303282462,0.036434437290131155,0.03174521359628122,0.00297856573054034,0.006831471118915147,0.007735520939235662,-0.0014219399150192658,0.20355071135788716,-0.03661498183507739,-0.15019885526566767,-0.06648636317153489,0.03372277041559535
0.12,0.002260687501485218,0.003777549874344262,0.8834153146022411,0.0003676497298551094,0.0004748220915826191,0.0003896439507337666,0.9999997437775917,0.02091013483537404,0.04254095863086777,0.0306467641412289,-0.00152739992742969,0.0048368802237691005,0.008747204051703523,-0.015232620917645434,0.11111797822208258,-0.033818679128438944,-0.10261540919407608,-0.05186013919433208,0.02119044523374125
0.15,0.0028739039812699686,0.005153756809252702,0.8843045849764932,0.0002986094613304241,0.0005239595489582457,0.0005304385686858297,0.9999996774668007,0.02045315620784468,0.04587449797753025,0.02963220376737573,-0.004605862203251972,0.0032810760479391383,0.00938291740871576,-0.01750742321633325,0.04436127435778281,-0.031624631918942825,-0.06195569674444101,-0.04170353118108494,0.009295582617627751
0.18,0.003470962004194987,0.0065702067942031124,0.8851651532989765,0.0002017012760000121,0.0005543143703864999,0.0006754251860153098,0.9999995979264152,0.019927933511354683,0.04720533620826373,0.028683464809807446,-0.006464533105585203,0.00202997011250659,0.009661784887244593,-0.015918542521532686,0.005810532767119403,-0.02985438099871285,-0.0329739322887348,-0.03445849723568273,-0.00079242424571635
0.21,0.0040532836052373945,0.007992224987281108,0.8859985480730831,8.996509637290527e-05,0.0005691529061489931,0.0008200602880077456,0.9999994977360613,0.0194503772357087,0.047379652191277315,0.02778783337984606,-0.007453751074247247,0.000996215195436108,0.009638012159873102,-0.01359247625053861,-0.01669074353911293,-0.028281791805850887,-0.012719028055595327,-0.02873051688439432,-0.007720449238995952
0.24,0.004622976865273343,0.0093995585963794,0.8868061668827313,-2.7486021012123527e-05,0.0005710583156039206,0.0009612232564368328,0.9999993745931894,0.01904260294819254,0.04687892988510393,0.026939379625670532,-0.007835321915915107,0.0001342996889042784,0.009406398682703224,-0.0114880416573655,-0.029253437926631598,-0.026901228566316604,0.0009286442551097451,-0.024173339969998153,-0.011917252060850814
0.27,0.005181961781466709,0.010780885698199665,0.8875892651693953,-0.00014451185413045424,0.0005620859643903353,0.0010970234935174174,0.9999992298572771,0.018697961698471575,0.04600132674730498,0.026132342768681035,-0.0078074625882618145,-0.0005909005101956662,0.009048881120877698,-0.009850922556486452,-0.03536013688006334,-0.02569563355160831,0.00952788941747329,-0.020536924761614728,-0.014092405531900276
