t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,0.5082651375238997,12.78105785353961,265.82960732654925,-5.328157187241054,-0.33838659998552506,-2.144285658150943,-0.1980076148927618,17.2549267693804,441.1183261327299,-8.830245756198504,-2.190047873804591,2.7080191864996115
0.03,1.0906148921903454,9.78442525003711,250.13719404721704,-5.009958469112347,-0.551513095514914,-1.7950018647491273,0.5402708060201453,13.407853833342546,388.6496348942868,-7.777265051374597,-1.9193071360499552,2.2004849265874626
0.06,-0.3695887854371555,8.530327744831911,265.3020579931602,-5.309524245039385,-1.0496162250098957,-1.7726939051921802,-0.524491298842011,11.415664893981386,370.911808372665,-7.4193239112749305,-1.9434684389411974,1.9408653866928847
0.09,-0.744645443809928,8.069076743222647,279.400993134109,-5.588733591795008,-1.060872449780667,-2.0595048582573687,-0.7092219535511847,7.971526338460833,356.26635429172944,-5.207036647445596,-1.6330052675650513,2.1134924916454443
0.12,-0.6848028570889828,5.8767715686383815,293.04697162271503,-3.9440961174895492,-0.8895808337302968,-2.0983464753168604,-0.6412259288017993,4.52692242100269,342.487578071977,-2.5388495836330973,-1.259098454004202,2.1969078368905635
0.15,-0.5003434743417194,3.580661088254418,304.81641942692386,-1.9715125785508316,-0.6782045975554413,-2.022849848894009,-0.5121489687340445,2.2365883040859917,330.6969020602911,-0.6243548647294057,-0.9078172488623745,2.1242722041844067
0.18,-0.3021847827971328,2.041854889113413,314.20199406256637,-0.4994493303827043,-0.4772536067141753,-1.9757791329175771,-0.38184883463231617,0.6547041112933129,321.33391317653883,0.7999367538447134,-0.6088315569481023,2.0440427455240733
0.21,-0.12811838391257505,1.0258013193840008,321.5798886407133,0.6074396426896262,-0.3025834660734859,-1.9344936361763356,-0.2722892937834736,-0.4352384846646674,313.99908835223215,1.8656285928827667,-0.3660659172286688,1.9706701104121656
0.24,0.014004882895509808,0.3846514506930751,327.30741566151556,1.4394166522027696,-0.15710277256807706,-1.8933124202650735,-0.1881266654247933,-1.167069614921445,308.3220007544402,2.6610482670801288,-0.1752011900676533,1.9065288767493196
0.27,0.12568656418673954,0.015111691727593426,331.7127811004814,2.063350231629549,-0.03936335237757559,-1.851506834208861,-0.12812840867690656,-1.6342114978494569,303.96910509845287,3.251925939334388,-0.02940654670311777,1.85075994929637
0.3,0.21113218000491246,-0.15928598301163174,335.08691473641915,2.531412810555308,0.053540268901978265,-1.80954612684529,-0.08911611639435452,-1.9069966253627313,300.64698910383163,3.689710646511524,0.07853586603931943,1.8018990879634542
0.33,0.27502437996225304,-0.19656098186088217,337.6803576928414,2.8850243540204765,0.12492100572853855,-1.7680060024773923,-0.06755909342046461,-2.040356600489218,298.10376540278264,4.015351535419313,0.1553784805485462,1.7585756660873457
0.36,0.32178996739063365,-0.1408616732002695,339.70369270251007,3.1570033305462823,0.17809565661788665,-1.727314207041597,-0.06017919173836089,-2.077643527628371,296.1282497621202,4.2613695636350695,0.2071001251954942,1.7196491041802735
0.39,0.3553450204407661,-0.025440550184498263,341.33011440393705,3.373070757698176,0.21620661346031028,-1.687719641772202,-0.06411095553037727,-2.0529026085098376,294.54709515746265,4.453310775067417,0.23884343759600377,1.6842092584785155
0.42,0.3791238180369291,0.12503020676848942,342.69902884135195,3.553075567764345,0.24215917218300353,-1.6493421204698844,-0.07694567322718548,-1.9926067547949002,293.2207813574846,4.6109387974286715,0.25493932396185204,1.651531804215237
0.45,0.3959972266480257,0.2926417572029408,343.9209310876479,3.7120758079657827,0.2585533803856658,-1.6122019527284175,-0.09674426480285689,-1.9170323259083635,292.03916101219295,4.749288518817509,0.258962112017852,1.6210479784371925
0.48,0.40838831303739137,0.46463742388473833,345.08187604971704,3.861316069435003,0.2676916880514272,-1.5762591880067067,-0.12196088580184976,-1.8415630351415526,290.9165610635307,4.879626542314421,0.25382512189659573,1.5923145600929431
0.51,0.4183097784432285,0.6320655053897866,346.2482062509913,4.009107114825153,0.2715730305473431,-1.5414350146529276,-0.15139167525457295,-1.7778494266186113,289.7869408650247,5.010317628571515,0.24186335483323945,1.564991145998985
0.54,0.4273838621913756,0.7885576798099404,347.47107892830434,4.161632415704242,0.271901275698547,-1.5076056689490458,-0.18412749860749872,-1.7349311529771003,288.59967528836796,5.147623104108512,0.22491941200014307,1.5388428510658914
0.57,0.43693274867490695,0.9290716219177808,348.79035396454526,4.323749041658807,0.2701143733941584,-1.4745587129245012,-0.21948819616236745,-1.7204658164829625,287.31551177083435,5.296497700278741,0.2044264810730148,1.51377998068686
0.6,0.4479159590094362,1.048392082024716,350.238015120464,4.499911924036417,0.2673829048766698,-1.4417778876847793,-0.2568315172149818,-1.7422345344394137,285.9030243926563,5.461507467860031,0.1815276819439163,1.4900537486352061
0.63,0.46094434210103835,1.1384594507400991,351.84011796006587,4.695652564280222,0.26462500142622747,-1.4077885278951812,-0.2949755481894501,-1.8108302421848348,284.3348404357146,5.648298612958435,0.1573242915749401,1.4688814448061434
0.66,0.47059905216223646,1.176221002868289,353.3742878160007,4.924465453267474,0.26155133524532453,-1.3532792451486277,-0.32907297598275587,-1.682226017204588,282.832538494575,5.656797730314047,0.13453324106346795,1.418495858426732
0.69,0.48105674082902705,1.1751009977215705,355.0025271428534,5.179370840016133,0.25932457933329617,-1.2911923208576979,-0.36160377582587533,-1.5259499808514012,281.23305599801165,5.6250031408848935,0.11231122460650307,1.3613893270478972
0.72,0.4939529453454216,1.1449216065215844,356.77224665804584,5.455479131575524,0.25864768806541505,-1.2263809156181984,-0.3941718295458349,-1.3865328283750784,279.4915357103016,5.590387013016295,0.09020215204930865,1.30294940392278
0.75,0.5096577277557294,1.090219427772727,358.68386241047875,5.750636577476762,0.2599019672967228,-1.1596332416000497,-0.42722083728057647,-1.2631062978350225,277.6081104325198,5.552950661607831,0.06815727635259243,1.2429548519040958
0.78,0.528346549966544,1.0132340499344838,360.73704357892353,6.063812521810816,0.2633487628646884,-1.0912153622159415,-0.46096211851522734,-1.1556809579464724,275.583281732465,5.512703535657685,0.046145134696110174,1.1814337610616412
0.81,0.5500544513706829,0.9142642419633624,362.93201128999556,6.394948182610757,0.2691523989598972,-1.0210888638954825,-0.4955695886150005,-1.0650200609449694,273.4170512888089,5.469645760063307,0.024091947574101946,1.1184823302675488
0.84,0.5745363042965351,0.7910970620778748,365.2695795302573,6.745263548473607,0.27734453744097026,-0.9487624095606607,-0.5311838474614181,-0.9928397071268316,271.1089490580111,5.423768927646403,0.0018873277914355161,1.0543238227470286
0.87,0.6008539510163003,0.637056511454288,367.74922182886445,7.118238107353947,0.28767508646230155,-0.872606524219683,-0.567700175540775,-0.9424836177927887,268.65892685001205,5.375074610139535,-0.020552399969607362,0.9897086699601042
0.9,0.628350828858034,0.5652425332409354,370.37089705823826,7.407501737511118,0.29889716642416986,-0.8065208808125847,-0.603820942347231,-0.9282823142938237,266.064445556728,5.323521094396753,-0.04244974177887277,0.9346202502651144
0.93,0.6579157522442628,0.7399223603025091,373.1362818340963,7.463091017244014,0.3099570826258705,-0.771598195216872,-0.6385906153838,-0.9652466328154199,263.3220495578105,5.269047172151554,-0.06292657993190903,0.901003076243855
0.96,0.6888646453941207,0.9041312575428369,376.0297794375612,7.5212586148805425,0.3229339797516257,-0.7337778753515374,-0.6746370929482901,-1.029036857840484,260.4481294615778,5.2119646705509695,-0.08406077870341495,0.8692794354928025
0.99,0.7224509952230934,1.063283799778622,379.04152825900326,7.58180192046057,0.33835106661451,-0.6947665835768881,-0.7126521027537313,-1.114802889209942,257.45576440610404,5.15252955870303,-0.10620241753599866,0.8381294053834317
1.02,0.7590905042229391,1.2207794218367782,382.1571446401733,7.644429720407215,0.35637283382913876,-0.6551765078002632,-0.7528380109121564,-1.2194406142405778,254.35935151321263,5.091025850615247,-0.12954528596721582,0.8072082698497569
1.05,0.7988383194092515,1.3789593044457664,385.3614737308218,7.708836279257243,0.37700904262867607,-0.615249270108163,-0.7952874997818914,-1.3407128633635217,251.17389406375665,5.027750540046495,-0.15423548342230153,0.7764915958831142
1.08,0.8416100616418304,1.539557672075747,388.6399859262518,7.774728953319775,0.40021075296197783,-0.5751042262256333,-0.8400305208766793,-1.4768504598756247,247.91399896723246,4.96299327004923,-0.1803779270537106,0.7460515433736123
1.11,0.8872763474794776,1.7039092061129808,391.9791398476587,7.8418352121893555,0.42589823501462765,-0.5348253323516039,-0.8870708575986667,-1.6263815811163804,244.59316389106442,4.897021868281384,-0.20805590660444334,0.715974598665269
1.14,0.9357044197881056,1.8730535954537353,395.3667538339332,7.9099100523654675,0.45398352590062646,-0.4944797669705148,-0.9363857817691085,-1.7880592246482627,241.22346956211953,4.830076193086203,-0.23732501255126645,0.6863423407570016
1.17,0.9867632447550914,2.047806241960251,398.7921694018512,7.978739161555193,0.48437471367245993,-0.45413241301013446,-0.9879356511022355,-1.9608129656942161,237.8155579105325,4.762367587823705,-0.2682191469347841,0.6572218483909243
1.2,1.0403058561998975,2.228804722098162,402.24621408842455,8.048138184750966,0.5169724395070284,-0.4138361327117663,-1.0416818675837292,-2.143721472861712,234.37858973664726,4.694078048721532,-0.300757531155734,0.628668204746147
1.23,1.096209252986863,2.4165286798659293,405.7211890256109,8.117952440647208,0.5516836452131043,-0.37364249867395605,-1.0975648125317357,-2.336008559413414,230.92032772408191,4.625361872106655,-0.33493927971427034,0.6007246278890687
1.26,1.15435676065909,2.6113336425650715,409.21056690798093,8.18805082611206,0.5884172558903588,-0.33359361464395226,-1.1555148138641442,-2.5370187413231324,227.44714322496054,4.556345689970712,-0.37075004919005,0.5734230484023835
1.29,1.2146323071098009,2.813475075061478,412.7092004241661,8.2583300340635,0.6270845631254516,-0.29372913469299783,-1.2154766771860788,-2.746206749759533,223.9643019809927,4.48713426048486,-0.40816916738811987,0.5467843832645167
1.32,1.2769437165768374,3.0231195186112174,416.21287872708484,8.328705571739027,0.6676069830373463,-0.25407944837366636,-1.2773717409434073,-2.96313016222773,220.47589827053875,4.417809034929507,-0.44716018210637165,0.5208232195562439
1.35,1.3411998202594027,3.2403658066531835,419.71835515182255,8.39911233791612,0.7099086892945077,-0.21466902439530192,-1.3411178768709484,-3.187430996793232,216.98518863169423,4.348434847671353,-0.4876795092036451,0.49555093505693115
1.38,1.4073252018396838,3.4652580817569523,423.2232654584121,8.469502991340578,0.7539235188088482,-0.1755208710732262,-1.4066580416072445,-3.41883289851383,213.49459265605137,4.279059928446251,-0.5296826779863087,0.4709672288077913
1.41,1.4752240844860451,3.6978076020873156,426.72589141887875,8.539843159881503,0.7995804530857664,-0.1366468401005831,-1.4739165263447807,-3.6571137741916773,210.0058235064206,4.209718451117398,-0.5731200973155094,0.447072298181636
1.44,1.544851936065959,3.9379816032876027,430.22514587844734,8.610111171318273,0.8468306692924865,-0.09806086735206153,-1.542820665290544,-3.90212811146838,206.51992195147247,4.140431240823774,-0.6179343146735464,0.42385900644527896
1.47,1.616159610608922,4.185721570592339,433.7204514060854,8.680295597689426,0.8956243502545431,-0.05977053656132737,-1.6132967971652903,-4.153782090495489,203.03744026844984,4.071209421833356,-0.6640688418538233,0.4013195451696477
1.5,1.689091242421119,4.440959822826946,437.2118562031101,8.75039755753845,0.9459180707766117,-0.02178009877713492,-1.6852888556316619,-4.412029018263143,199.5584227993687,4.002054015314331,-0.7114672694412335,0.37944018537999447
1.53,1.763616421032376,4.703603122760188,440.6997888972119,8.820425840535664,0.9976780430847663,0.015910041961359124,-1.7587270435647444,-4.6768805277985965,196.08246105787467,3.932957057871837,-0.7600689647215776,0.3582095877091483
1.56,1.8397160899004064,4.973546406524465,444.18511131139394,8.89039790659441,1.0508750688093345,0.053302041264059484,-1.8335443174110075,-4.948402632806849,192.60859862285858,3.8638996627603053,-0.8098176967730842,0.3376100127692949
1.59,1.9173696815101893,5.250673188420719,447.6692671158078,8.960342912202247,1.1054856602374412,0.09040209779565227,-1.9096958379344648,-5.226721455009893,189.135481260912,3.7948550590242913,-0.8606623391881721,0.31762379216820896
1.62,1.9965649007817448,5.534857592964014,451.1542144001923,9.030300337274484,1.1614933388850266,0.12721830944711457,-1.987144273652042,-5.512027015605053,185.66122993507966,3.7257860354631895,-0.9125562786621266,0.29822917083608563
1.65,2.0773250227214533,5.825949921200079,454.64243506525196,9.100320189450525,1.2188955911204074,0.16376496775708704,-2.0658316459698325,-5.804596542173459,182.18334612814834,3.65664306892424,-0.9654509475818642,0.2794059669403792
1.68,2.159665036723447,6.123786137077011,458.1370590818367,9.170465494772849,1.2776833782311812,0.20005902465075603,-2.145741621000683,-6.10479585332412,178.69870131730627,3.5873641217327847,-1.0193232317742513,0.2611307872578362
1.71,2.243604594866358,6.428193274843465,461.6421008310649,9.240817003421277,1.3378607568100698,0.23612079182483783,-2.226876666933537,-6.413092886205843,175.20345816825332,3.51787304874962,-1.0741572876222696,0.24337664282632163
1.74,2.329200375184126,6.7389597037755005,465.1622363060531,9.311468766552217,1.3994394667884613,0.27197640030414405,-2.3092388456645363,-6.73008740023039,171.69293709646337,3.448076963350789,-1.129952319231272,0.22611674871568782
1.77,2.4165119431461584,7.055852436833285,468.70317868780495,9.382535665824896,1.4624328393851815,0.3076569728054482,-2.3928594209715994,-7.056519114265283,168.16154715099788,3.377864877013741,-1.186732661452746,0.20932475376080567
1.8,2.505609803768943,7.378602661346791,472.27163497367246,9.454152547461236,1.5268578682785865,0.34319963035095463,-2.4777986164914183,-7.393285953041475,164.6027500305324,3.307106983123073,-1.2445490947552802,0.19297382472822824
1.83,2.5965887854585334,7.706901747092302,475.8753944860244,9.526475951789923,1.592734538105919,0.37864627671661444,-2.5641567836451933,-7.741468174422931,161.0088202621355,3.2356498412272225,-1.3034902131664705,0.17703138927759574
1.86,2.6895377722345346,8.040400398512626,479.52335341212193,9.599684663036442,1.6600769939150073,0.41404368599004177,-2.6520600117948754,-8.10231704423192,157.37114815458352,3.1633224671770064,-1.3636787759510407,0.16147493107116692
1.89,2.7845710567599333,8.378695699783364,483.22549444205856,9.673979286086128,1.7288968959382611,0.4494422272947608,-2.7416891589918735,-8.477284248183562,153.6799094653068,3.089929732899095,-1.4252890145738502,0.14627578046103043
1.92,2.881795050123643,8.721327759493773,486.9927398107808,9.749579264711816,1.7991899734332544,0.4848973508741218,-2.8332661051465684,-8.867994455399598,149.924454754466,3.0152600984250832,-1.4885452887570996,0.131414412098887
1.95,2.9813100053277877,9.067776207104153,490.83671420162165,9.826718158297975,1.8709313755282884,0.5204672317111787,-2.927064928084351,-9.27622027575669,146.09346590358834,2.939088744781649,-1.5537296233329558,0.11687440801253568
1.98,3.0832078123310245,9.417447360386047,494.7692651622909,9.905633978327248,1.9440635838094595,0.556204120219622,-3.023409790396924,-9.70383544353703,142.17537380809523,2.8611858495784666,-1.621186640616035,0.10265006673102132
