t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6340628940236357,-0.25796017260050697,0.05232039487453122,0.13393107778162516,-1.273605848179713,4.757840033361305,-8.868364725794322,0.8235788304452853,3.7891020120657686,0.13393066037474455,-1.2736077389504885,4.294562046593171,-8.029504521869967,0.8235788371048329,3.344191917221451,-37.42752161192909,-3.525006528599696,1.1443991466346066,-0.3375708253398923,-5.630165002755757,8.110863027478091,-22.003575869080574,3.307178564479502,8.1707624566541,1.0017274885944871,-6.126334727053615,15.933456454646915,-37.03538874131656,7.68470668742103,15.208076467696635,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.19762934339537874,-0.00023216415534045627,4.70883553870781e-05,0.00012053797000346265,-0.0011462452633617416,-0.32571794396997483,0.6220184717467852,0.0007412209474007568,-0.2965898081891408,0.00012053759433727009,-0.0011462469650554397,-0.3261348941580662,0.622773445930317,0.0007412209533943496,-0.2969902272745007,-0.07902188682070907,-0.007738805178015209,0.0015696118462359364,0.004017932333448755,-0.03820817544539139,0.14273520100083914,-0.26605094177382965,0.024707364913358558,0.11367306036197306,0.004017919811242336,-0.038208232168514655,0.12883686139779513,-0.240885135656099,0.02470736511314499,0.10032575751664354,-0.9171428190534741,0.06213852226196437,0.10582347600323061,0.03027877021153813,-0.21917334981067427,0.22331193644731684,0.10332501298302077,0.4402764059441324,-0.2723209127609607,0.03151750685731258,-0.2196387280094143,0.39336523424253755,-0.2143360684540312,0.44114764918458604,-0.1407055770491752,-30.68529597734103,-4.527021111939017,0.6827994467429666,-0.2764741687813711,-3.36966539676295,6.7000011339388585,-19.972523301657713,3.3848086221068554,7.9735272439980704,0.7771181686618589,-3.7638796752093358,12.909921217105737,-31.777732622089104,6.872856051754985,13.439764665833954,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.19443325825360935,-0.00040840364064514457,0.00018941783917706371,0.0002683268331973096,-0.00248974654155309,-0.3212349071971471,0.614129936005255,0.0018786906601512329,-0.2934247051997665,0.0002694409448461215,-0.002490168785319352,-0.32191575960531404,0.6153539893990254,0.0018794747910548266,-0.29410708956834564,-0.10653617139231329,-0.0058746495101562775,0.004744316126332855,0.004926295439794899,-0.044783375939711614,0.14943455909425865,-0.26295119138433903,0.03791565709168253,0.10550343297914423,0.004963445016961714,-0.044797394008797085,0.14063781842507125,-0.24731521770971995,0.03794179458868257,0.09610459020516827,-0.2355691356924723,-0.05907101544072013,0.020910716176093302,0.037241372363951086,-0.1588075705101062,-0.002321839426997485,0.28185780091064316,0.353111758639443,-0.18633360330295545,0.03772300976621068,-0.15888552094065744,0.15269430402699413,-0.03143990911257788,0.35339702542569285,-0.047449805331780226,-28.444221722005565,-4.498715747934528,0.34316829248083003,-0.1966535256608102,-1.7992809825485059,6.436570639493824,-21.300557888260247,3.7993923443962543,8.775432692802008,0.6479773203535607,-2.1177650809982844,11.201541141359076,-30.227754179956747,6.6329129114870975,12.821573622646753,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.19102516088971672,-0.000637807039846481,0.00035056696752553334,0.00044963293151871253,-0.003976174633203534,-0.3167539600798036,0.6064950722845445,0.003333960955677207,-0.29042730245336484,0.00045229500414456253,-0.003977087574429857,-0.31755920017893763,0.6079062369495325,0.003335785951598427,-0.2912666566869892,-0.11360324546308746,-0.007646779973377881,0.005371637611615654,0.006043536610713432,-0.0495476030550148,0.14936490391144872,-0.2544954573570197,0.048509009850865814,0.09991342488005557,0.006095135309948034,-0.049563959637016805,0.14521864754588107,-0.24825841498309728,0.04854370535145335,0.09468109604521487,-0.02051261467764931,-0.11724578429152821,-0.015271769018561088,0.03272512815505024,-0.10816098784681571,-0.06612048915974356,0.26154924008608305,0.26624745417439044,-0.11939605485008542,0.03230532543767595,-0.10798750461640338,0.0634648428797675,-0.008983768724760921,0.26605983560716595,0.00472246168374113,-27.390952583024912,-3.969166368189576,0.1533661883048296,0.05251227397716148,-0.8707129355833402,6.567305573055896,-22.455619864515416,4.034652919813001,9.170881369567487,0.2950844224075902,-0.9626658147610858,10.036891148322182,-28.896684093774287,4.873617926956709,12.052648839150155,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.1875986021726142,-0.0009727316449101929,0.000497971503757298,0.0006603916451796608,-0.0055599476139161115,-0.3123325214027039,0.5990956028799114,0.005028853959960133,-0.28753735615632825,0.0006642238563369119,-0.005561195117695124,-0.3131455223939694,0.6004503991081873,0.005031550964188477,-0.2884219735901174,-0.11421862390341694,-0.011164153502123728,0.004913484541058822,0.0070252904553649385,-0.05279243269041927,0.14738128923665642,-0.24664898015443723,0.05649643347609753,0.09633154323455301,0.0070642950730783124,-0.05280358477550891,0.1471225928322741,-0.2485279280448401,0.056525500419668334,0.0948227698957271,0.053737712214129374,-0.19440343371686275,-0.0011232483540801752,0.008045390059862711,-0.03664923059986336,-0.07741591601066489,0.2127223396402087,0.141756791501507,-0.08029943917836135,0.006896766839901147,-0.036299312763127034,0.022658349544684597,0.01879613054836682,0.14120337791257498,0.009682035534069655,-26.74931551937919,-3.134442789808212,0.0694484171061311,0.07676999233313134,-0.2540448418553864,6.8540634774318665,-23.51139487254616,2.654127889235916,9.415159614179831,0.06784303542253114,-0.25070997184121724,9.060511836483846,-27.61255844636624,2.648475883337749,11.272410339105292,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.18422040739650442,-0.0014826193403190812,0.0006443651164703904,0.0008783912098944853,-0.007176704902168566,-0.3079807570500138,0.5918875835809544,0.006851328076594415,-0.28471967935455217,0.0008823597986851722,-0.007177972042447206,-0.308711452094411,0.5930114777843356,0.006854399016899845,-0.2855685766612649,-0.11260649253699306,-0.01699625651362961,0.004879787090436417,0.00726665215716082,-0.053891909608415174,0.14505881175633648,-0.24026730996523096,0.06074913722114274,0.09392256005920217,0.007271198078275347,-0.05389256415840272,0.14780234331861464,-0.2479640441283891,0.060761601757045584,0.0951132309617492,0.08261710464835659,-0.2106386379432461,0.004333991309898977,-0.005732486589195673,0.00863265570047389,-0.07181452654580767,0.17256763523653262,0.052244326422567156,-0.05961158317290938,-0.007169843183532976,0.009047161159177364,-0.002880459774587507,0.04761578918567011,0.051539709142389256,-0.00026241874252264097,-26.264137100516148,-2.1851781091564266,-0.002166404925723782,0.002541933660656668,0.20682551895103551,7.122757911054229,-24.354748506649152,0.9984520442328024,9.575927468467707,-0.004631726331658605,0.20916452377050537,8.24506542739968,-26.481363291436494,0.9941338455999759,10.580741544978999,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.18091656801457814,-0.002182081809876891,0.0007946593213623921,0.001091231536679034,-0.008785692800290595,-0.30369362577121495,0.5848348751537104,0.008720822087009007,-0.2819556529776317,0.0010940428821682529,-0.008786606522156027,-0.30427997420864966,0.5856154106707511,0.008723632807839363,-0.2827154159092807,-0.11012797939754236,-0.02331541565192699,0.0050098068297333865,0.00709467755948495,-0.05363292993740096,0.14290437595996225,-0.235090280908135,0.06231646701381975,0.0921342125640149,0.007056102782769358,-0.053621149323627396,0.14771592952537702,-0.246535570452819,0.06230779303131726,0.09510535839947352,0.09376849679391341,-0.1838903197571459,0.0006008652246580759,-0.009749619851806557,0.02941851681788421,-0.062209699508684935,0.1440258341333447,0.000601837369128333,-0.04911423727298825,-0.011199156674891242,0.02981644311127951,-0.019775879904926796,0.06989100423652417,-9.828604402173369e-05,-0.01200266981504683,-25.856529789485442,-1.3055274925461073,-0.06224386064353659,-0.04674751158196975,0.5427123321669821,7.31573149345464,-24.953142118914705,-0.25613063198810415,9.677020323508803,-0.049846906356659115,0.5434444876978771,7.58571391693752,-25.535446015941677,-0.2579072315766059,10.014325591987003,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.1776971202797664,-0.003047045567216132,0.0009454943049565859,0.0012952972055969565,-0.010368204033276528,-0.2994624832219739,0.5779117899771863,0.010590857751055815,-0.27923582941425695,0.0012956467246439314,-0.010368406203064697,-0.2998662946148028,0.5782822454609794,0.010592778141339262,-0.27987305756013003,-0.10731492449372496,-0.028832125244641366,0.005027832786473129,0.006802188963930754,-0.052750374432864434,0.1410380849747017,-0.23076950588413467,0.0623345221348936,0.09066078544582525,0.00672012808252262,-0.05272665603028901,0.14712265312822922,-0.24443884032572327,0.06230484444999661,0.09474527830502212,0.09810876262245216,-0.14572713430168704,-0.003074998929560646,-0.010569668782494546,0.038198003486350274,-0.05360848324485801,0.12298451574906721,-0.029393799753677285,-0.04274843222833624,-0.011902365900397172,0.038540885474681374,-0.03127728455896772,0.08551130690182163,-0.030013757814913333,-0.021803762417903272,-25.49133149239437,-0.5643333675459634,-0.10273607089222826,-0.08712541445687574,0.8012005582800036,7.4352650903894775,-25.34920364175164,-1.2109875093999978,9.741676624317504,-0.08454481636656404,0.7999838316816984,7.04989399883546,-24.740543004744897,-1.209477987026277,9.562834816713423,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.17456597043131486,-0.004043163745426891,0.0010935617895141752,0.001489850172610634,-0.011916337063124746,-0.2952795883076532,0.5710993908648364,0.012434438995324313,-0.2765544794398877,0.0014865384378092525,-0.011915519087046154,-0.295480764577059,0.5710260404274193,0.012434911092805739,-0.2770503225971555,-0.10437166161505139,-0.033203939273691974,0.00493558281858631,0.006485098900455917,-0.051604434328273927,0.13942983047735594,-0.22707997041166264,0.061452708142283284,0.08937833247897516,0.006363057105510705,-0.05157042946604857,0.14618433459146019,-0.24187350111866862,0.061404431715549206,0.09409116543248502,0.09979346537144096,-0.10850619044930188,-0.005131023774771926,-0.01027380072903128,0.040680427964396415,-0.047157493697852715,0.10775446627212659,-0.04594019883211331,-0.038560655564651825,-0.011428598936333856,0.04095475010969096,-0.03915994483287477,0.09592168402491552,-0.04644903079031337,-0.029123086331992454,-25.154514332570148,0.03036083362559341,-0.12789384218629554,-0.12281939903439598,1.0074844807650143,7.493360837804642,-25.58057156881508,-1.937217630017818,9.782711687688813,-0.11365873062370073,1.0041930881654597,6.61246787618196,-24.06605377355535,-1.9320804305728754,9.210354620862061,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.17152463470169763,-0.0051369374950420215,0.0012370113526744698,0.0016751567189681833,-0.013427857707805007,-0.2911391351376606,0.5643839707721314,0.01423667406064391,-0.27390783405552666,0.0016671444119318731,-0.01342577269592889,-0.2911304784896648,0.5638561649094816,0.014235239916560933,-0.27425379841187975,-0.10137785765390817,-0.03645912498717103,0.004781652105343152,0.006176884878584979,-0.05038402148934203,0.13801510566642036,-0.22384733642349885,0.06007450217731988,0.08822151281203561,0.00602019913742069,-0.05034178696275784,0.14500953624647395,-0.23899585059792117,0.060010960791839804,0.09321747284252525,0.10027108111638228,-0.0765523715770966,-0.00582720934931924,-0.009567173487695868,0.03981382383698673,-0.04286231754545611,0.09710471667779075,-0.053752578962530606,-0.035747812164345305,-0.010528654886002187,0.040020511484542,-0.04444521546622582,0.10223050202444028,-0.05414662634484557,-0.03410458490543533,-24.83980619763727,0.49349870055620443,-0.1429959676336324,-0.15486856357795215,1.176737164095236,7.503554967890636,-25.680615372874936,-2.4890777828333164,9.808677733836364,-0.13878369600878002,1.1713935962487307,6.252951820436294,-23.485385448127083,-2.48026409325118,8.940174086887861,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.16857354294508511,-0.006299608379076539,0.0013752164274203772,0.0018518528091868063,-0.01490354591103198,-0.2870372580534589,0.5577559449244365,0.015990531804897228,-0.2712933617021135,0.0018382745966570918,-0.014900007844475538,-0.28682019309619017,0.556778296843366,0.015986836776605767,-0.27148796835301886,-0.0983697252204167,-0.03875569613448392,0.004606835824863574,0.005889869673954102,-0.04918960677423243,0.1367292361400567,-0.22093419492316513,0.05846192480844396,0.08714907844710525,0.005704339490840624,-0.049141171618221575,0.14367617978248717,-0.23592893553718797,0.05838656200149444,0.0921943352953622,0.10007588534396206,-0.050974331956608054,-0.0056665857043771695,-0.008698864593881694,0.037130976941966765,-0.040308710017541216,0.08995028925369297,-0.05581506960425031,-0.03387226869904225,-0.00948107639848672,0.03727854593692825,-0.04780816610940519,0.10541269677446508,-0.056106152584789015,-0.037144962376487456,-24.543778984503145,0.8472688382006158,-0.1520509899222496,-0.18365039876976016,1.3192487857464568,7.478239916157767,-25.67830901541621,-2.909602887981575,9.825831291886033,-0.16066942343837717,1.311961883053626,5.9543752990274585,-22.97591075745893,-2.897245527093972,8.7366008446731,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
