t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32718032598938684,0.0989318657430287,1.1005084995521557,-0.1183644789720475,0.991711653660289,0.08409175627755161
0.03,0.0002949008936801055,8.910258398034257e-05,0.8805403213645181,-5.326401373153912e-05,0.00044627022901662394,3.784128904191357e-05,0.999999898286927,0.009815409779681605,0.002967955972290861,0.03301525498656467,-0.0035509343691614245,0.02975134960980867,0.002522752688326548,0.17215993382439798,0.13965913519920115,-0.012809318537305714,-0.20372795450433046,-0.0216186551874884,0.08881649428380456
0.06,0.000745574759148164,0.0003041496517322748,0.8815185984192508,-0.0001981873785951042,0.0008828106291596685,0.00011569141808664044,0.9999995839912393,0.014980207794413544,0.007157730028266895,0.0326309754304455,-0.009662773004291338,0.029102789954184017,0.005187247516840685,0.03801909453144603,0.18115124677963879,-0.030976380758988675,-0.19307295531200452,-0.0651897936354473,0.06526072467585209
0.09,0.0012311351440849577,0.0006826787918559956,0.8824683584380889,-0.00042996416943290674,0.0012900112051112903,0.00022299134874942302,0.9999990506379304,0.016120780630356924,0.012592267431656059,0.03170168400767584,-0.015454961663651474,0.0271470961451206,0.007145069257116247,-0.011621836715008271,0.20103015713156003,-0.02954151764497759,-0.1862480467266714,-0.05465013188785406,0.05656912680485604
0.12,0.0017067108634422515,0.001242734011655442,0.883390758641452,-0.0007455140678578563,0.0016726111808222936,0.00035586599729880574,0.9999982599684883,0.015772125528906677,0.01862317214560286,0.03081543847832651,-0.021042403065451614,0.025507592188484977,0.008842143061261928,-0.027194241962741117,0.21284495291635253,-0.0285364461084745,-0.1831936300919068,-0.0467033262262504,0.05322492183474381
0.15,0.0021580729885968633,0.0019950754061580918,0.8842864516161981,-0.0011434531941015196,0.002034182730763037,0.0005128452672642866,0.9999971457984981,0.014956298270024444,0.025008520733093436,0.029959345095072275,-0.026538211968208818,0.024106492401697464,0.010438890716304243,-0.030598515968536688,0.22297279683907512,-0.027716820156808986,-0.1838953010141502,-0.04040601864512183,0.05204162045806271
0.18,0.002581919589740605,0.002948928309665158,0.8851557870314689,-0.00162408759946344,0.002377555252933078,0.0006934321436049773,0.9999956143515584,0.014038342790968343,0.03169770463826569,0.029127840490368005,-0.03205507099863332,0.02289431184234381,0.012000139330046124,-0.029703165524122,0.2343392287483801,-0.027076177649831834,-0.18831913107587894,-0.034877403960258846,0.0519942701816678
0.21,0.002978786589731064,0.004114621331452972,0.8859988046393917,-0.002189398026224065,0.002705211233253354,0.0008976430120746234,0.999993541281887,0.013147247825244684,0.03872788150071709,0.02831555516087305,-0.037704644930909685,0.021847989723536045,0.013559967435496157,-0.027232999113978806,0.24822672359479636,-0.02667613527612911,-0.19646652577350565,-0.029757916749453273,0.05274327087968089
0.24,0.0033505856910222903,0.005504743327004182,0.886815156206723,-0.002843040426746218,0.0030194474206833018,0.0011258562092363936,0.9999907662104695,0.01233025785182532,0.04617468320856098,0.027515271102589178,-0.04359864070411486,0.020955252221052448,0.015142265561886584,-0.023954389249052355,0.2649086908503451,-0.02652126873783711,-0.2086349139035022,-0.02485000580477248,0.053975088600452636
0.27,0.0036999037969378617,0.007134391461213897,0.8876040676042136,-0.0035904798796613504,0.0033224626038434973,0.0013786725115695498,0.9999870843958865,0.011611626174353748,0.05412194393407133,0.026719633040454063,-0.04985768812121992,0.020209752046909273,0.016761518219900164,-0.019605338818934115,0.2836693593823658,-0.02667242623819277,-0.225197446418548,-0.020083054175763948,0.05534144875063518
