t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,0.4764770408870855,8.057995273025613,276.43251364465453,-5.534176586716874,0.2756030989469126,-1.6188728490568605,0.44271978963068087,11.92229867298414,427.16689767222744,-8.545574049036125,-1.028323386195982,3.044483120359717
0.03,1.2754847268195517,7.865277762769816,252.111847345938,-5.047445947057953,0.012497660841864823,-1.568036769597492,0.9414125799679882,11.316034016921915,386.6250508081557,-7.734854107196785,-1.2084355085153873,2.287532388328547
0.06,-0.11174062752227092,8.057000601079457,256.7387416481956,-5.1391692394881225,-0.5887788380422423,-1.574509502526011,-0.4115881764819017,11.238707759086719,379.5537839122293,-7.5928599363254445,-1.645146931501573,1.9758391989187056
0.09,-0.5993799673217162,8.18270071754264,260.70240635144734,-5.217727710522586,-0.7532322869881459,-1.5756464293472552,-0.7935330101128111,11.198067083060488,375.04469146572455,-7.5021192856468195,-1.6493685296321894,1.850683446803816
0.12,-0.717931131235051,8.341967069064875,263.3058566352343,-5.269273211455685,-0.7416020824195783,-1.568616837132059,-0.8125659201304185,11.285679948048504,372.2112576107552,-7.445026472101062,-1.5046274939303659,1.7916949129908568
0.15,-0.6962261687316188,8.587786406689528,264.4519033976338,-5.291901756539887,-0.6592527714670676,-1.552762118323652,-0.7214079330659414,11.555827032408574,370.93865854170815,-7.419336053879467,-1.3218676485841845,1.7544910816305728
0.18,-0.6165269759579675,8.94536198845838,264.0491029978335,-5.283806883040965,-0.543788394475258,-1.5279507030351749,-0.6083785206217456,12.042685497118216,371.23206934203466,-7.425176645975146,-1.1387999405799998,1.7228626781670784
0.21,-0.5068086566786928,9.425542811634221,261.97997088453627,-5.242655749790058,-0.40779911306616234,-1.4943519394553766,-0.5021841536681058,12.773992154903073,373.1703140039586,-7.464140582799624,-0.9666996323879853,1.6906573001939476
0.24,-0.3738994349099337,10.029396368733773,258.08747352242256,-5.165323496098605,-0.25403711368055043,-1.4525849363557068,-0.40965446737852823,13.776872971310498,376.89248611309665,-7.539022524665842,-0.8070367865207325,1.655197178975451
0.27,-0.21263004330635965,10.746962714082255,252.1585587030869,-5.047564423685593,-0.07959527617022542,-1.4039055501379936,-0.32625810579370823,15.07894117809306,382.5963255429003,-7.653787966563513,-0.6561078400130919,1.6151454523577746
0.3,-0.003478530348850317,11.54992844703585,243.90936174700389,-4.883712253851967,0.12526563063968812,-1.3504361099948794,-0.23378773693280308,16.704644134040358,390.5533113855049,-7.813870909855538,-0.5038744898287651,1.5707044949424669
0.33,0.30445161384923897,12.374618810978257,232.96056976790592,-4.666177047275582,0.385112370254777,-1.2951178977804996,-0.08122271442541658,18.66400017315821,401.1412995416097,-8.026815035134042,-0.32528043698985637,1.5268702143985922
