t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.083938012520271,-1.1742336288343473,0.32034325357439286,-0.04362716979247239,-0.01719108064718,3.409831595751257,-7.865829832125883,0.14192048519362288,3.452996016661018,-0.0436266865547168,-0.01719074453805547,3.558370694069879,-8.067673967465339,0.14192083943407852,3.5288840650596285,-36.337400666220375,-9.548924488920347,0.7123953271660137,-0.7032051120245792,-1.605945665046139,7.773836263383347,-23.652775273995825,4.083823255066098,7.871573948139316,0.4923513585174111,-2.0488645673088897,14.901206154707365,-36.54804824464969,7.991523962940078,13.694042399532572,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.19722445578873177,-0.0010568102659509126,0.0002883089282169536,-3.9264452813225144e-05,-1.5471972582462e-05,-0.3269311515638239,0.6229207531510867,0.0001277284366742606,-0.29689230358500507,-3.926401789924512e-05,-1.5471670084249923e-05,-0.32679746637533713,0.6227390934292812,0.00012772875549067067,-0.29682400434144635,-0.09251814037560813,-0.03522700886503042,0.009610297607231786,-0.0013088150937741717,-0.0005157324194154001,0.1022949478725377,-0.23597489496377647,0.004257614555808686,0.10358988049983053,-0.001308800596641504,-0.000515722336141664,0.10675112082209637,-0.24203021902396016,0.004257625183022355,0.10586652195178885,-0.8071566726408008,-0.6858421112494781,0.09380938352435209,-0.034411887249859774,0.01500595570136909,0.15745676513378726,0.11781342187845212,0.19680424592843337,-0.2625381345264941,-0.03449050880243476,0.015020319671123161,0.38314038548216445,-0.24304554098466724,0.19676682996396266,-0.10952949879992957,-30.119856235201492,-7.446691828492415,0.2946705431878798,-0.3877107628646514,-1.866965962365405,6.40232780655146,-20.650841690881272,3.659004410595095,7.48784226492047,0.6366621867879098,-2.2510293041574814,12.536049826091046,-32.070897117405416,7.045967190676892,12.70964421280622,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.1937224705720868,-0.0027308784320263556,0.0006610463016058241,-0.00010949960415132409,-1.7438585033691818e-05,-0.32372059203902737,0.6159475383818641,0.00043258069468411124,-0.294020891491084,-0.0001095694937206815,-1.7425052464488998e-05,-0.3232501064037403,0.6152594458716762,0.00043254765794890774,-0.29374658523181263,-0.11673284055483216,-0.05580227220251476,0.01242457911296235,-0.0023411717112699648,-6.55537483743274e-05,0.10701865082655132,-0.2324404923074229,0.010161741933661688,0.0957137364640357,-0.0023435158607145465,-6.51127460079692e-05,0.1182453323865613,-0.24932158525350018,0.010160630081941235,0.10258063698779096,-0.17743235416629233,-0.48428001392566067,0.02405748200625979,0.003117109922243344,-0.04539782321006669,-0.04511485567829254,0.29109713119879643,0.24811712484211057,-0.17992428633192503,0.002677571881122276,-0.04531924046384006,0.1534206491256498,-0.0676700714582239,0.24791743531886823,-0.02119229217987595,-28.157011839882916,-6.2428251524723635,0.14787474240624288,-0.2554539839398575,-1.871289921389594,5.9308248877468825,-20.899825548737528,3.7348153167472455,8.084322346994437,0.6672784871218891,-2.2213161388733385,11.422698488899204,-31.20844065399805,6.82493038517164,12.794158670135229,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.19006079623669217,-0.004840798610634893,0.0010554354088003284,-0.000176929356559404,-6.026323837398166e-05,-0.3205506358843413,0.6092363110307203,0.0009607383650518614,-0.29131141125486165,-0.00017746515484910784,-6.0165751262184126e-05,-0.31956466784793036,0.6077188952497589,0.0009604922521941261,-0.2906882391851408,-0.12205581117982092,-0.07033067262028458,0.013146303573150143,-0.0022476584136026643,-0.001427488444676328,0.10566520515620255,-0.223707578371459,0.017605255678925007,0.09031600787407795,-0.002263188704280878,-0.001424689959923171,0.1228479518603308,-0.2513516873972469,0.017598153141507283,0.10194486822239468,0.024967858887421812,-0.39107961213207076,0.004890215061280401,0.016628867117958634,-0.07582484873785234,-0.11481360231135795,0.2942784068605988,0.27198344367161553,-0.12041208835239559,0.01551110142955281,-0.07560292774977029,0.07441407055591753,-0.06456057703621809,0.2714669557085472,0.04088142382988735,-27.253420124618184,-5.522950722657299,0.10142405550129222,-0.20872393580732873,-1.8047599788199062,5.769745920010691,-21.079703095988307,3.8052028909704605,8.317271707394227,0.644485077377968,-2.1324245030336573,10.812761541682931,-30.542479440897644,6.7046969473808415,12.623619937219967,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.18642159297429622,-0.007302690440162294,0.0014542257095499851,-0.00022939312856132117,-0.00017133025557833863,-0.3174840119717354,0.6027899342457511,0.0017336811347240656,-0.2887103018981565,-0.00023140082469093665,-0.0001709490850346725,-0.3158122566286201,0.6001202401085088,0.001732757106577037,-0.2875930998570221,-0.12130677541319827,-0.0820630609842467,0.013293010024988556,-0.0017487924000639053,-0.0037022339068118982,0.10222079708686181,-0.21487922616564104,0.025764758989073475,0.08670364522350608,-0.0017978556613942938,-0.0036927777924162797,0.12508037397700833,-0.2532885047083334,0.025742161812763696,0.1031713109372913,0.09570515889367925,-0.35243033812458435,0.001425327368735907,0.021673424656711404,-0.09284934485583562,-0.14100139412445856,0.2958381431337216,0.2858363407210618,-0.10238094845226442,0.019551830267403147,-0.09241661933106116,0.04795946774120807,-0.06908657901476545,0.2848605273884459,0.06291540017264197,-26.726759606535662,-5.068348144092857,0.07842713486742922,-0.19233769992862426,-1.7558735817229016,5.689034917608475,-21.13284157406993,3.848763760600751,8.37149965242787,0.6106979708988292,-2.0684616989935627,10.426269308606773,-29.99979542660501,6.624392336712261,12.391918464146636,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.18286852435490458,-0.010081769574001821,0.0018542988049315041,-0.0002623508183721981,-0.00036596168315294767,-0.3145442893138416,0.5966098117896023,0.0027638766110452254,-0.2862013353950584,-0.0002677398472921026,-0.0003649073762051159,-0.31201668188834275,0.5924594070461455,0.0027613964356095495,-0.284441336668748,-0.11843562064638789,-0.09263597112798423,0.013335769846050633,-0.0010985896603625633,-0.006487714252486967,0.09799075526312806,-0.20600408187162939,0.03433984921070533,0.08363221676993815,-0.0012113007533721995,-0.006465276372348115,0.12651915800924457,-0.2553611020787764,0.03428797763441707,0.10505877294247055,0.11981779120024072,-0.34345403302732613,0.0020487284838885955,0.024038903571664605,-0.10429048186934153,-0.1528619861408913,0.3005740975229969,0.2978331462318238,-0.1008831965182253,0.020558851570257275,-0.10357958667682965,0.041385929287741874,-0.07726362918776886,0.2962528019406818,0.07116987140761921,-26.342259535135025,-4.779464006410831,0.05618521570500412,-0.18621998415198568,-1.7680325814846316,5.604420548297774,-21.061919259081424,3.858958920202059,8.325781092257222,0.5812861984540004,-2.0712724212022073,10.160189176546941,-29.576061364256812,6.563907152648977,12.180410051513535,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.17942329174759317,-0.013169957337565942,0.0022562157559485227,-0.00027367349496857686,-0.000654454544409964,-0.31174214244347453,0.5907002060212241,0.004062121918975026,-0.2837831637688266,-0.00028557590348003703,-0.000652087295384706,-0.30818385981170643,0.5847290367175132,0.004056663286388675,-0.28122552059620703,-0.11484108691038067,-0.10293959211880402,0.01339723170056729,-0.0003774225532126252,-0.009616428708567213,0.09340489567890133,-0.19698685894593948,0.04327484359766004,0.08060572087439138,-0.0005945352062644813,-0.009572663972653004,0.12776073588787681,-0.2576790109544094,0.043175561692637525,0.10719386908469913,0.1272324569403409,-0.35342525515419254,0.003054292279330184,0.025873060558581074,-0.11377848928299272,-0.16081654935928213,0.30917811191039846,0.3117144973816721,-0.10651124634136977,0.02061531618932122,-0.11271208223311646,0.04307941913921809,-0.08878744449793885,0.3093632589684603,0.07553873857841609,-26.015016198181975,-4.61426248484308,0.028814980380924064,-0.18309527176945234,-1.864556802888311,5.484554104802967,-20.866555551952597,3.8316514785226494,8.206474921280055,0.5617415025259749,-2.163670052378072,9.977583297273519,-29.27100656713185,6.51554209819244,12.017832896068539,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.17609256835152806,-0.016576227830768835,0.0026608815700169385,-0.00026171041706223264,-0.0010453480460216739,-0.3090847304675308,0.5850688605535652,0.005640910274548333,-0.2814608522643021,-0.00028485817509758235,-0.001040708088574101,-0.30431226625784485,0.5769187576888327,0.005630357070239416,-0.2779417196589455,-0.11102411320217044,-0.1135423497734298,0.013488860468947195,0.00039876926354480695,-0.013029783387056995,0.08858039919812286,-0.18771151558862753,0.052626278519110205,0.07741038348415029,2.392427941515533e-05,-0.012954026439646497,0.12905311846205336,-0.2603426342893476,0.052456459461691335,0.10946003124205161,0.12854741957754356,-0.37885448346601436,0.0030642382735344142,0.027986402823501066,-0.12289233528564125,-0.16868060580978295,0.32225018449383924,0.3291180284618349,-0.11619664320801348,0.020430663512257752,-0.12137616322775102,0.04892901149827367,-0.10344933807664347,0.32579330297176057,0.07938506148639135,-25.7142261967113,-4.560946643825754,-0.005819612271805326,-0.17995826508358087,-2.059782658821621,5.3163253430591295,-20.54278836836716,3.7633987611692317,8.019756440797991,0.5543318232240393,-2.3598803535993107,9.866434276274383,-29.087656657415522,6.47652168871219,11.914861097133466,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.17287753763308275,-0.02032346735909114,0.0030683051985315353,-0.00022455957661473747,-0.0015468446493904608,-0.30657913103681594,0.5797275402519508,0.00751590485573729,-0.27924311773866484,-0.0002657528495540957,-0.0015385674286684716,-0.3003966365936348,0.5690153742558833,0.00749726482676474,-0.2745864721663462,-0.10716769061484413,-0.12490798427741022,0.013580787617153228,0.001238361348249839,-0.016716553445626232,0.08351998102382936,-0.17804401005381235,0.062499819372965254,0.07392448418790988,0.0006368441847828879,-0.016595311336479027,0.13052098880700158,-0.26344611443164695,0.06223025855084415,0.11184158308664335,0.1269892515587827,-0.4207357354061294,0.0011792036083129176,0.030803859947695855,-0.1316531532874592,-0.17762202613349132,0.3401373183152714,0.3503734707435342,-0.1292032631690745,0.02029023736901081,-0.12957030419931925,0.05796957735455521,-0.12184961065872812,0.3458227718360831,0.0840075552291637,-25.429726649052917,-4.6280877254789585,-0.050867041096079695,-0.17486896107082295,-2.363285594194821,5.092643328784302,-20.0829521247517,3.6507615080804134,7.762961676147741,0.5606041874833998,-2.669526382206018,9.825096527044364,-29.032345979669554,6.4462847912814905,11.876432232417935,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.16977679724104033,-0.02444936904927896,0.0034767901102936137,-0.00015968526221431603,-0.0021668290907179612,-0.3042333914296212,0.5746923435368202,0.009706235560595428,-0.27714166614987973,-0.00022838631037849934,-0.0021530400425422294,-0.29642883430980566,0.5610023261733411,0.009675413077942539,-0.27115561787404063,-0.10335801306808065,-0.1375300563395941,0.013616163725402615,0.0021624771466807148,-0.02066614804425001,0.07819132023982463,-0.16783989050435422,0.07301102349527128,0.07004838629283765,0.0012455513058532122,-0.020482420462458604,0.13226007612763824,-0.2671016027514088,0.07260494170592664,0.11436180974351827,0.1220564921006897,-0.4849889478446059,-0.004009525440842765,0.034473411447009994,-0.13876601144085043,-0.1877275568139396,0.36371227777152626,0.3745341269579967,-0.14634854384394202,0.02016378013078679,-0.13597324567555802,0.0705559351799252,-0.14425653962621254,0.3684439758717417,0.08926063298486042,-25.161626620277545,-4.845879218254536,-0.11301657447325432,-0.1657779683514635,-2.7799489426219,4.8085599409714535,-19.474636314660355,3.490064414149882,7.427326596589051,0.5823160314006826,-3.097626614585621,9.858004895302287,-29.114569277828522,6.425734236185874,11.905243641932422,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
