t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20411338577842209,0.409600585118125,0.2169367970504137,0.6067167801161748,0.12875521645458576,0.09103647500733736
0.03,0.00018369826241724783,0.0003685947299879636,0.8797453331126687,0.0002730225474384631,5.7939846592891624e-05,4.0966412990069023e-05,0.9999999602117071,0.00612340157380542,0.012288017554405653,0.006508103911629916,0.01820150340396646,0.0038626564907556114,0.002731094235559794,0.08869875387378912,0.17173447691436272,-0.0256305580609979,-0.03303750781837511,-0.12035983827755103,0.03931688353581553
0.06,0.0004471762695197857,0.000891694701854071,0.8799178979176231,0.0005311814410084311,6.17123249539781e-05,9.961149361470963e-05,0.999999852057697,0.00878436419028656,0.01744005186138335,0.00573918716998266,0.01721037816671859,0.0002518613404671301,0.003910600741486698,0.018300970386890825,0.09437563789546899,-0.02611431937997999,-0.03791950578421144,-0.08045796834398544,0.027834839419000446
0.09,0.0007270272193656965,0.0014997157209185757,0.8800673377858979,0.000772280903828571,2.9270366040174932e-05,0.0001707640646040158,0.9999996867824936,0.009333393301554195,0.02027132099800991,0.0049557575883618105,0.01607279299608953,-0.0021618777076253077,0.004745645937548106,-0.007206486956336633,0.049079482512014105,-0.022026695616389702,-0.03382446031431874,-0.053267893838530256,0.017849642037459645
0.12,0.0010002690528710329,0.0021519127461056826,0.8801973406874402,0.0009981636449023065,-2.7150941517158514e-05,0.00024993089484228923,0.9999994702332158,0.009117198691762524,0.021743705474035004,0.004294956719851308,0.015058059190854413,-0.0037599145159290964,0.0052811351992004055,-0.013986914451690424,0.02147632888882081,-0.01904288453509384,-0.028108627116849805,-0.03885256456229769,0.010031059032975298
0.15,0.0012607904778396796,0.0028234562316792316,0.8803105681474447,0.001211401698664085,-0.00010106355907712913,0.00033359388959541873,0.9999992055032835,0.008697591257464303,0.022387995339357397,0.0037236701838025427,0.014214800372022293,-0.004925491448157685,0.005582066978515331,-0.01394601649347571,0.0044807047446143375,-0.016702414832618473,-0.022313322433923116,-0.030153525785728164,0.004480284407471724
0.18,0.0015086298777308715,0.003499059206997455,0.8804090921639782,0.0014146030191398932,-0.00018855103856649753,0.00041925553923098836,0.9999988937851866,0.008279210762995549,0.022522416482486776,0.0032225977387170873,0.01354540070249384,-0.005830097223701286,0.005716475506792024,-0.011847761083961572,-0.005806091236788213,-0.014737636915801211,-0.017155869370989008,-0.024072658459559193,0.0007793630467354262
0.21,0.0017456832301003787,0.004169470136525094,0.880494646923811,0.0016100886036637687,-0.0002868749246259123,0.0005052510988687942,0.9999985350183235,0.007923777930660288,0.022348233745229467,0.0027804686312279166,0.013030724620432909,-0.0065522769786186775,0.005739856398169211,-0.00949533572126171,-0.011681365027122359,-0.013036738207627963,-0.012844587072242453,-0.019361739704521597,-0.001532563189332592
0.24,0.001974077991647967,0.004829406085044843,0.880568733976425,0.0017997986439439665,-0.00039391337495953924,0.0005905412918088084,0.9999981284072871,0.007638917859438051,0.021997792794022617,0.002389366484999904,0.01264538700608151,-0.007133129172351501,0.0056938795031062864,-0.007500028246948176,-0.014607217851199172,-0.0115475124774429,-0.009389543112774845,-0.015502115092999702,-0.0028425497684618772
0.27,0.0021956207658893087,0.0054762371965457,0.880632670634025,0.0019852879230530924,-0.0005079279356122957,0.00067453808773229,0.9999976728170136,0.007413917013594648,0.021559576259546354,0.002042941110502463,0.012363700717219367,-0.007598192634710585,0.005608603004525864,-0.006010665819792038,-0.01557376795502674,-0.010236949244934124,-0.006741115579889989,-0.012239766262240437,-0.003455038148906908
0.3,0.0024116620374734295,0.006109095807404262,0.8806876195590787,0.0021677481041696735,-0.0006274493101658543,0.0007569676078788095,0.9999971670837676,0.007233597039390282,0.021092363220462103,0.0017358326331470054,0.012161467247608799,-0.007965385625002312,0.005504951861392576,-0.004993374556534036,-0.015266042544090919,-0.009087013642713693,-0.004766743886063907,-0.009477574438740533,-0.0035934376374466837
