t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5425966120515735,-0.0011197731108614495,-2.769979282744535,0.0017077090680786555,-1.9294677955129629,-0.0006411370974148817
0.03,-0.0004861721489926865,-1.005739329392224e-06,0.8770565958941068,7.684689840802065e-07,-0.0008682603988872352,-2.885116575863105e-07,0.9999996230615319,-0.016277898361547204,-3.359319332584348e-05,-0.08309937848233605,5.1231272042359666e-05,-0.05788403386538889,-1.923411292244645e-05,-0.3482614504060333,-0.0013399902378678635,-0.19148334504378361,0.00036270242553737564,-0.05086067501499514,-0.0005677107483893426
0.06,-0.0012809379738383448,-3.212048854823056e-06,0.8743891822886743,1.7003685876257262e-06,-0.0017594074118550012,-8.323686707212578e-07,0.9999984522397897,-0.026725741873728205,-7.379290046187939e-05,-0.08884387883364955,6.211234480848094e-05,-0.05940985411583874,-3.626543537412673e-05,-0.12664547740572019,-0.0004523393997402092,-0.07237223484814148,0.00021715254544407703,0.053055712985347725,-0.00036637815363874116
0.09,-0.0021847062786954476,-5.8186757950787404e-06,0.8716547409449229,2.730295311618529e-06,-0.0026266780396677777,-1.540882414098793e-06,0.9999965502703733,-0.03052510619589981,-8.736308245408567e-05,-0.0910150458790938,6.862692117180325e-05,-0.05781818272627831,-4.7256779983288965e-05,-0.03542281968872629,-1.0980701768845136e-05,-0.05786596449270309,7.527458815909105e-05,0.044229774836516356,-0.00019061020238769766
0.12,-0.0031153468985671714,-8.427637243559664e-06,0.8688664810752904,3.794349449193563e-06,-0.0034740434137271593,-2.335025996626618e-06,0.9999939654830473,-0.0315877907865616,-8.769250350715103e-05,-0.0927510248138749,7.088515881657599e-05,-0.05649128948118282,-5.29750860549199e-05,-0.0029505738996480346,0.00019616282763530724,-0.052437834270109285,-2.763652811299533e-05,0.039992104139763285,-7.468350910702637e-05
0.15,-0.00404359941636575,-1.0852220144776412e-05,0.8660294513924057,4.8461233400511155e-06,-0.004303410013616932,-3.1627502341032966e-06,0.9999907402715121,-0.03167630800355104,-8.180761867809181e-05,-0.09432415984197817,7.005606297318614e-05,-0.055291526356989924,-5.5215591328130686e-05,0.007714558969867724,0.00028362537618245587,-0.04803629175197788,-9.791719247270736e-05,0.038281212222322836,-5.7774916641939456e-06
0.18,-0.004959843656956045,-1.301374454000238e-05,0.8631477364284859,5.853897318730103e-06,-0.005115547333867209,-3.99317832960085e-06,0.9999869154770283,-0.03144487123445501,-7.329885739261814e-05,-0.09576524859453751,6.711854719900492e-05,-0.05414308999032024,-5.53889160780565e-05,0.010566431376341612,0.0003082903396009057,-0.04383647498800336,-0.00014203702907900073,0.03729322240095456,3.27256514158214e-05
0.21,-0.005861510106152815,-1.48902593785441e-05,0.8602252067350248,6.797743378732395e-06,-0.0059108996237447085,-4.8091062288448844e-06,0.9999825304455578,-0.03112787829316476,-6.405014720459098e-05,-0.09708034284417762,6.28574363266349e-05,-0.0530242933182916,-5.440714653558186e-05,0.010730051510096317,0.00029970586126051857,-0.03975097467332667,-0.00016586145539249086,0.03638217294290769,5.2590481859848826e-05
0.24,-0.006748467265772906,-1.648987303878347e-05,0.8572656097577905,7.666887735521938e-06,-0.006689876563590905,-5.6016957334382216e-06,0.9999776224803252,-0.030805976747861872,-5.505897136677542e-05,-0.09827287208437742,5.788159266486017e-05,-0.05193282813000437,-5.28294320797864e-05,0.010060897266205515,0.000274070583804617,-0.03577516736648523,-0.0001745554145390349,0.03536099727548958,6.115018147062612e-05
0.27,-0.007621350207919968,-1.7836118714665133e-05,0.8542725821669532,8.457384413744794e-06,-0.007452937437702989,-6.367168437887018e-06,0.9999722264200549,-0.030504149829875708,-4.683685385263691e-05,-0.09934612710537198,5.264493022868913e-05,-0.05087199821173968,-5.099492663566761e-05,0.009220764429921147,0.00024066206724825123,-0.031915464786996584,-0.00017249074086078675,0.03419860218602366,6.285587239640567e-05
0.3,-0.008480963092357467,-1.8959562975926506e-05,0.8512496487600717,9.170144777661319e-06,-0.008200605119237717,-7.104801506751227e-06,0.999966374405214,-0.030227526896978073,-3.961699183518937e-05,-0.10030359104898189,4.7470208002865526e-05,-0.049846040146158975,-4.910925046377544e-05,0.008436098567326411,0.00020492517535421195,-0.02817919054195306,-0.000163224771727144,0.032911014168711006,6.0448160622783575e-05
0.33,-0.009328073470780854,-1.9892874891222537e-05,0.8482002184786951,9.809333598996933e-06,-0.008933458851599692,-7.815696463517165e-06,0.999960095781646,-0.02997444393995828,-3.3469236574563014e-05,-0.10114896676524048,4.257346485105121e-05,-0.04885870972109765,-4.729580564509193e-05,0.007774509776703908,0.0001700488993777588,-0.02457204202304064,-0.0001495480837684915,0.031524873480712756,5.5666467192849733e-05
0.36,-0.010163349633909845,-2.0667934522269987e-05,0.8451275807799898,1.0381110400949231e-05,-0.00965212225412719,-8.502000431388162e-06,0.9999534170929864,-0.029741208646657163,-2.836776959323025e-05,-0.1018861280259317,3.808702233799646e-05,-0.04791296351667627,-4.5625811629306445e-05,0.007246001613768982,0.00013782953021952704,-0.021097079990509915,-0.00013357343951020395,0.03006622642941892,4.9647834804211755e-05
0.39,-0.01098734994841445,-2.1314202214214655e-05,0.8420349037860182,1.0892676087116631e-05,-0.010357251595602596,-9.166399324627059e-06,0.9999463621298456,-0.029523828598244095,-2.423288368664444e-05,-0.102519040425647,3.4079819152690344e-05,-0.0470109767237937,-4.413637658518009e-05,0.006840384882329076,0.00010917805527217717,-0.017754282895514617,-0.00011684107097920116,0.0285578536936697,4.314852920678236e-05
0.42,-0.011800530540806818,-2.1857890485779608e-05,0.838925234869944,1.1351577491254544e-05,-0.011049525537863336,-9.811782535367612e-06,0.9999389520167012,-0.029318617051774222,-2.0957542028479123e-05,-0.10305166891251244,3.057458702331431e-05,-0.04615424111298361,-4.284192070897662e-05,0.006541342240621972,8.443799324292511e-05,-0.01454037011247955,-0.00010042430486489895,0.027019326308057146,3.6671107987940044e-05
0.45,-0.012603258690856168,-2.2321651104596544e-05,0.8358015039709534,1.1765222334936269e-05,-0.011729636324326729,-1.0441021455083806e-05,0.9999312053257783,-0.02912237678455556,-1.842440223119137e-05,-0.10348788001588682,2.7561857877367345e-05,-0.045343661323741895,-4.174178746933842e-05,0.006331851974684888,6.359433827241023e-05,-0.011448756641258662,-8.502697814483096e-05,0.025467816691580936,3.0541650937465636e-05
0.48,-0.013395827070400919,-2.272458812623626e-05,0.8326665297535822,1.2140560773219776e-05,-0.012398282048469756,-1.1056826796016429e-05,0.9999231382124328,-0.028932421225315013,-1.651657208301906e-05,-0.10383134271512458,2.5011048533022417e-05,-0.04457962682299447,-4.082553794121445e-05,0.006196340555030488,4.641504745174496e-05,-0.008469566331750444,-7.106880866475374e-05,0.023919018324274788,2.4959984069650165e-05
0.51,-0.014178466906264914,-2.3082468583365903e-05,0.829523028648027,1.2483895120298608e-05,-0.013056159588417427,-1.166166197791455e-05,0.9999147645699406,-0.0287465310086641,-1.5124120659466713e-05,-0.10408542970507709,2.2878984273079806e-05,-0.043862056273266226,-4.0076738419124946e-05,0.006121544792900835,3.2547911142280506e-05,-0.0055896614928745425,-5.875733185151111e-05,0.02238798205373982,2.0035565378218045e-05
0.54,-0.014951359307150858,-2.3408042857191978e-05,0.8263736267803444,1.2800785374600255e-05,-0.013703957831318293,-1.2257696399646049e-05,0.9999060962038616,-0.028562884664877074,-1.4147683325198297e-05,-0.10425311954986333,2.1116264317534472e-05,-0.04319041681165403,-3.947567145777841e-05,0.006096831267633718,2.1586549579705183e-05,-0.0027926616703684015,-4.814701489591622e-05,0.020889830657214503,1.5813590075713924e-05
0.57,-0.01571464448335766,-2.3711414724422597e-05,0.8232208748038703,1.309602392210688e-05,-0.014342350865981984,-1.2846786884368374e-05,0.9998971430277672,-0.02837997972684806,-1.3500086837807142e-05,-0.10433689939997438,1.9671853870656986e-05,-0.0425637218919376,-3.9001263755506986e-05,0.006114269098207004,1.3114408099784702e-05,-5.893168528037229e-05,-3.9186470979835075e-05,0.019440363740915956,1.2295176335719304e-05
0.6,-0.01646842881134572,-2.4000421028415718e-05,0.8200672656659121,1.337365813952816e-05,-0.014971990871615312,-1.343047829044092e-05,0.9998879132833378,-0.02819655165390185,-1.3106654594813602e-05,-0.1043386673505328,1.8496259741261933e-05,-0.04198051097971012,-3.8632408465435404e-05,0.006168584346538886,6.732936616182794e-06,0.00263447730113775,-3.175533188271018e-05,0.018056580319338877,9.452753381461454e-06
0.63,-0.01721278980360238,-2.4280995288966316e-05,0.8169152553822874,1.3637044267487233e-05,-0.01559350046755318,-1.4010016459298315e-05,0.9998784137888561,-0.028011494123505683,-1.2904666496328118e-05,-0.10425963303149866,1.7543599784780627e-05,-0.04143881357012995,-3.834882586399156e-05,0.006257059948931776,2.078410512029727e-06,0.005313948100500454,-2.5692253965148293e-05,0.016757150154599998,7.241993439710548e-06
0.66,-0.017947779095999167,-2.455749989696386e-05,0.8137672869445667,1.388891991063672e-05,-0.016207464311956334,-1.4586368232115366e-05,0.999868650221074,-0.02782378232503773,-1.2842314180967226e-05,-0.10410021458848365,1.677283216582618e-05,-0.04093609906549195,-3.813156606080024e-05,0.006379418937636494,-1.1692812998259638e-06,0.008009492686805175,-2.081559075306494e-05,0.015562864899546724,5.6107726905119115e-06
0.69,-0.018673423583478878,-2.483301885759536e-05,0.8106258175500539,1.4131485823015242e-05,-0.016814419746557386,-1.516024459990219e-05,0.9998586274364265,-0.027632399756908635,-1.2877392619962004e-05,-0.10385992980787949,1.614836444323423e-05,-0.04046921311850555,-3.796324288008488e-05,0.00653771695820371,-3.2833988409808335e-06,0.010755035475131569,-1.693810366154569e-05,0.014497099301049587,4.505761666939723e-06
0.72,-0.019389724831163496,-2.5109608110278346e-05,0.8074933494223726,1.436649032336216e-05,-0.0174148462800339,-1.5732124108160575e-05,0.9998483498386878,-0.027436268248162525,-1.2975894585191428e-05,-0.10353727874362555,1.564022133338786e-05,-0.04003430013947406,-3.782807003007669e-05,0.006736264240344347,-4.490802173670594e-06,0.013588798046677675,-1.3876934133350005e-05,0.013586312022869862,3.877125498236156e-06
0.75,-0.020096656867152587,-2.538850382625363e-05,0.8043724645812125,1.4595311822559623e-05,-0.018009153684787536,-1.6302274474180178e-05,0.9998378218015012,-0.027234180320952196,-1.3110618650401547e-05,-0.10312961480222521,1.5223913309387358e-05,-0.03962671077878796,-3.771175626512961e-05,0.006981593977948286,-4.97473128338588e-06,0.016553799142686676,-1.1459739469477093e-05,0.012860615512106932,3.6823221175041887e-06
0.78,-0.020794162428332697,-2.5670291220551454e-05,0.8012658640237935,1.4819036672942152e-05,-0.01859766845087325,-1.6870770764720016e-05,0.9998270481558121,-0.027024732501613746,-1.3259860588903123e-05,-0.10263300082794462,1.4880121125303045e-05,-0.03924089231342475,-3.7601286601604484e-05,0.007282492357965076,-4.878858004722653e-06,0.01969848452043982,-9.528273455461367e-06,0.012354444745316329,3.8877414942906086e-06
0.81,-0.021482147683023995,-2.5955037589601223e-05,0.7981764118986848,1.5038530713027994e-05,-0.019180618296367195,-1.743750943989312e-05,0.9998160347541666,-0.026806257730874795,-1.3406226329044802e-05,-0.10204204629233142,1.4594272921639205e-05,-0.03887025897106526,-3.7484654356775764e-05,0.007650104833845539,-4.311935016571011e-06,0.02307750214908666,-7.939741447027249e-06,0.012107355782546847,4.470284028834648e-06
0.84,-0.02216047539475918,-2.624239384549981e-05,0.7951071853856065,1.5254503883037217e-05,-0.01975811437509643,-1.800221758078623e-05,0.9998047891261378,-0.026576754585859428,-1.3535584379541932e-05,-0.10134972122785882,1.4356080678228386e-05,-0.03850703829758886,-3.7350545835910724e-05,0.008098133263633844,-3.352517981808356e-06,0.026752639232753048,-6.566697927479215e-06,0.012164986781051823,5.418408521945528e-06
0.87,-0.022828956419824502,-2.6531668901481785e-05,0.792061531143718,1.5467567947524035e-05,-0.020330130749601705,-1.8564456843778224e-05,0.9997933212418552,-0.026333810587950413,-1.3636159918996183e-05,-0.10054714205087623,1.415907974040401e-05,-0.0381420886941573,-3.7187993580252356e-05,0.008643139261373722,-2.05339040289243e-06,0.030793938379980478,-5.296139797550392e-06,0.012580216284124646,6.732306797985199e-06
0.9,-0.023487339346458733,-2.6821881010883973e-05,0.7890431293564466,1.5678287733097627e-05,-0.020896480608493515,-1.9123622067300984e-05,0.9997816444037454,-0.026074516410109203,-1.3697761631082956e-05,-0.09962332389947681,1.4000195546477499e-05,-0.03776468220563356,-3.69860243763128e-05,0.009304970222271614,-4.454826070254825e-07,0.035281010728896944,-4.027975589238064e-06,0.013414556175096237,8.424354713265636e-06
0.93,-0.024135297984374103,-2.7111789721686447e-05,0.7860560665836126,1.5887226571107486e-05,-0.02145678860183124,-1.9678934322262272e-05,0.9997697762901376,-0.025795367303441053,-1.371112610929372e-05,-0.0985648935776099,1.3879356278800357e-05,-0.03736224552038067,-3.673329373491483e-05,0.010107325888150331,1.4588910461493798e-06,0.04030456359773263,-2.673393451113615e-06,0.014739819257524545,1.0519179100804132e-05
0.96,-0.024772416297524632,-2.739991151181699e-05,0.7831049188312429,1.6094986688355727e-05,-0.02201045854464619,-2.022942836360483e-05,0.9997577401782775,-0.025492147526796544,-1.3667359377909238e-05,-0.09735575666967793,1.3799154475266948e-05,-0.036920050942654936,-3.6417718361890705e-05,0.011078484708433312,3.663555849020561e-06,0.04596815875726784,-1.1531735087944028e-06,0.016640103700149567,1.3054556205732704e-05
0.99,-0.025398170238413488,-2.768452150562435e-05,0.7801948464646475,1.6302245310939264e-05,-0.022556635596212158,-2.077393405975425e-05,0.9997455663783962,-0.025159792985543543,-1.3557452702438622e-05,-0.09597671190695989,1.3764559270003116e-05,-0.03642084783165045,-3.602608167571872e-05,0.0122522102672451,6.186885522854735e-06,0.05239021404438521,6.034680101740797e-07,0.019214137945024135,1.608183264437124e-05
1.02,-0.02601190578599772,-2.796364290009687e-05,0.7773317028178229,1.6509787016743463e-05,-0.02309416186052082,-2.1311051590308922e-05,0.999733293914545,-0.02479222667752619,-1.337184613675298e-05,-0.09440500548562833,1.3782663310308338e-05,-0.03584442369329972,-3.554362669638758e-05,0.01366885813351848,9.061134440643825e-06,0.05970625475202718,2.6594493824361187e-06,0.022578029254352927,1.9666732914230822e-05
1.05,-0.026612812308743277,-2.823502492892661e-05,0.7745221585859942,1.6718532611179744e-05,-0.023621524171821316,-2.1839120028105858e-05,0.9997209724914965,-0.024382160933520636,-1.3100012103533665e-05,-0.09261381784306752,1.3862446791781422e-05,-0.03516708281566914,-3.495362470896066e-05,0.015376701694802986,1.2332756853514204e-05,0.06807141068275058,5.069825221193369e-06,0.026868455656957835,2.3891605481551892e-05
1.08,-0.02719989016736648,-2.8496109341453283e-05,0.7717738443178879,1.6929564536261712e-05,-0.024136792629547817,-2.235617827442282e-05,0.9997086647894722,-0.023920859882676546,-1.273002939792824e-05,-0.09057167552258501,1.4014541548417223e-05,-0.034361029145960405,-3.42368765445141e-05,0.017433490089020065,1.6063841419833302e-05,0.07766313800830937,7.880373102286953e-06,0.03224633304868618,2.885668596044888e-05
1.11,-0.02777191123768831,-2.874398441359393e-05,0.7690955135337877,1.7144148202542456e-05,-0.024637548233056555,-2.2859917767389225e-05,0.9996964491287174,-0.023397855180005943,-1.2248114155333241e-05,-0.08824178138233572,1.4250952741485832e-05,-0.03339363915449982,-3.337117596570063e-05,0.0199082388538383,2.0334681307743185e-05,0.0886841191299026,1.1125229389952196e-05,0.03890097356669209,3.468319255336971e-05
1.14,-0.028327370776256834,-2.8975324535079087e-05,0.7664972291590472,1.7363748192827056e-05,-0.025120797745312555,-2.334762556459648e-05,0.999684422542448,-0.022800608014390794,-1.1638073716100945e-05,-0.08558125780843864,1.4584709623184398e-05,-0.032226609947499055,-3.233068018909954e-05,0.022883226477448115,2.5247583172016697e-05,0.10136525393751095,1.4822719510643179e-05,0.04705472407015954,4.151579440481168e-05
1.17,-0.028864428783726012,-2.9186312353553915e-05,0.7639905760410169,1.759003748657069e-05,-0.02558287369821524,-2.3816116698062513e-05,0.9996727042871203,-0.022114111220067352,-1.0880646220940445e-05,-0.08254030019031332,1.5029391208503693e-05,-0.030814968225394267,-3.108520635695519e-05,0.026456109396639116,3.0931820819202205e-05,0.11596859369304025,1.8969425069015333e-05,0.056968025986183335,4.952526945833924e-05
1.2,-0.029380838782736313,-2.937253947154759e-05,0.7615889022478842,1.7824897064124515e-05,-0.026019317261943304,-2.4261654630106667e-05,0.9996614397999292,-0.021320427938168178,-9.95269159636438e-06,-0.07906124237952211,1.5598473960574152e-05,-0.02910592744580877,-2.9599448273205013e-05,0.03074192860065006,3.7549363289854365e-05,0.13278996724760206,2.3532204502629828e-05,0.06894475305756487,5.8910466914668946e-05
1.23,-0.02987386182232123,-2.952888101988397e-05,0.7593075915274093,1.8070402341158994e-05,-0.02642474157452289,-2.4679858971038024e-05,0.9996508050799963,-0.020398170080148676,-8.826210697668747e-06,-0.07507754336209405,1.6304440095653048e-05,-0.027037584854081823,-2.7832134265764946e-05,0.03587444766794112,4.530026858891312e-05,0.15216087065950212,2.8437309517903575e-05,0.08333752226613456,6.98953137666658e-05
1.26,-0.030340163819305155,-2.964933970328593e-05,0.7571643685474175,1.832879163638429e-05,-0.02679267313816478,-2.5065601879332396e-05,0.999641011414539,-0.019321936650110443,-7.467202640001354e-06,-0.07051271724230898,1.7157559381190154e-05,-0.024537459186097788,-2.573527485276497e-05,0.04200543879351848,5.4424622499757436e-05,0.17444884485409662,3.355717585540319e-05,0.10055233917122486,8.271910041476871e-05
1.29,-0.0307756957444533,-2.9726857872457838e-05,0.7551796369851956,1.8602410906915897e-05,-0.027115369185844215,-2.541289761392876e-05,0.9996323102831612,-0.01806177348630489,-5.8344639650086315e-06,-0.06527925189668608,1.816427465685225e-05,-0.021520889010961042,-2.325370184032191e-05,0.049298454797272795,6.519356724861425e-05,0.20005482230990612,3.869421031416076e-05,0.1210511858539638,9.760718094647958e-05
1.32,-0.031175560455064578,-2.9753105569089943e-05,0.7533768473930665,1.8893627854963173e-05,-0.027383609843636678,-2.5714798557293128e-05,0.9996249981336558,-0.016582819842386704,-3.878656947550204e-06,-0.0592776072273889,1.9325100966277072e-05,-0.017889353435342127,-2.032548641192752e-05,0.05790831641851013,7.787132995502877e-05,0.22940416298708421,4.356395764465448e-05,0.14534932027876302,0.000114704728820747
