t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.833087768476025,-0.0030072206782814637,-3.761364601465249,-0.0006246153991050218,-3.772243332077572,-0.000767470038413709
0.03,-0.000744031100812202,-2.7071927360737478e-06,0.8761635056068092,-2.8107679460827097e-07,-0.001697508684195139,-3.4536135142409674e-07,0.9999985592309965,-0.024992633054280747,-9.021662034844391e-05,-0.11284093804395746,-1.8738461973150654e-05,-0.11316729996232716,-2.3024101152411268e-05,-0.5651648299527938,-0.0021338746740998116,-0.2952772843980016,2.9810102828209395e-05,0.015183599860620234,-0.000901889824638652
0.06,-0.0019838738990970335,-7.3354080276582485e-06,0.8725061769194494,-5.480469690583968e-07,-0.0033881798964331047,-1.0965505052030005e-06,0.9999942601012701,-0.041947577952864565,-0.00015423286057143824,-0.12169925657589752,-1.7844158888304373e-05,-0.11271179196650856,-5.0080795891570824e-05,-0.1909800885520312,-0.0006891480295162927,-0.11214691692664402,4.6941636777653173e-07,0.1268481721418837,-0.0006356394198495791
0.09,-0.0033825790611152415,-1.2583176404720063e-05,0.8687423726443986,-8.137726615586672e-07,-0.005021760474591489,-2.1338031900095847e-06,0.9999873908787652,-0.047676980609425504,-0.00017490730145692702,-0.12506366408369685,-1.7830076397271078e-05,-0.10890634680225204,-6.91499784870582e-05,-0.0432187609527066,-2.7128546299715062e-05,-0.08682658796328191,-8.296320903028453e-05,0.10594180007107923,-0.00037106516113238897
0.12,-0.004807144897659092,-1.7854301967176953e-05,0.86489549368315,-1.1158889530230258e-06,-0.006607654889817113,-3.338253792979191e-06,0.9999781692039421,-0.0489735434380067,-0.00017572115784591846,-0.1276684617225953,-2.0318972668179613e-05,-0.10572809280011966,-8.028193332102986e-05,0.00718961653206307,0.0002590107194527236,-0.07615568469859868,-0.0001402658553309455,0.09494140937296436,-0.00019722950455194899
0.15,-0.006212185012867594,-2.289154944443065e-05,0.8609757387128609,-1.480391678008385e-06,-0.008150810478147677,-4.631912301403175e-06,0.9999667815807198,-0.048757854942044807,-0.00016795083626233674,-0.12995313226355326,-2.452694832810798e-05,-0.10287985051893073,-8.619881845758833e-05,0.02215914612014913,0.0003687174139991589,-0.06692888030150579,-0.00017367582455751762,0.08888984409893652,-9.619648270053904e-05
0.18,-0.007584265034954512,-2.7596823540491835e-05,0.8569918502021998,-1.9225043565975825e-06,-0.009653948097272796,-5.96954328600948e-06,0.9999533995376003,-0.04809308055844033,-0.00015688931384236196,-0.13196099867259845,-2.9737223064833508e-05,-0.10021315519596263,-8.90847129386045e-05,0.02493963525890841,0.00039470508177742725,-0.05781925382283548,-0.00018792660028515984,0.08471495751398805,-4.0786712047991e-05
0.21,-0.008920992066844515,-3.19475360936329e-05,0.8529523466215341,-2.448771049275926e-06,-0.01111894453562364,-7.32640399734917e-06,0.9999381825956748,-0.04734489150067308,-0.00014504816138903915,-0.1336955762872835,-3.53750210733883e-05,-0.09767170647054299,-9.030831430004423e-05,0.023940776045161982,0.0003813154881616293,-0.048706058540937125,-0.00018744674883941492,0.0813271132996789,-1.1804440055329657e-05
0.24,-0.010223447021245842,-3.59565875402815e-05,0.8488656787291559,-3.0590512290899922e-06,-0.012547322795516255,-8.689588574970242e-06,0.9999212792044174,-0.04662666821931822,-0.00013360869674419027,-0.13515675804351163,-4.099842353857075e-05,-0.09523189307155262,-9.066244750170412e-05,0.022129673659556204,0.0003505294859962038,-0.039587360559569795,-0.00017627422486393707,0.07839329179341803,2.3102224286364326e-06
0.27,-0.01149351221272396,-3.965251379482626e-05,0.8447402633222673,-3.7483489620909554e-06,-0.013940401906561152,-1.0052819568264938e-05,0.9999028278185706,-0.04596277800953153,-0.00012309281216430415,-0.1363443788602987,-4.628665028448886e-05,-0.09288009431775009,-9.059314082884502e-05,0.020504435784229003,0.00031357347301536054,-0.030465168891006034,-0.00015791145064825152,0.07583646483954709,8.185611804101267e-06
0.3,-0.012732970622249942,-4.306933539891028e-05,0.8405845005223069,-4.5084011154505764e-06,-0.015299331552337078,-1.1413466900554612e-05,0.9998829583023499,-0.04534764493600466,-0.00011368560797384333,-0.13725833392702888,-5.1023993803936404e-05,-0.09060500037256368,-9.034757247472199e-05,0.019358765856150484,0.00027626293771704225,-0.021330052414511247,-0.0001352247517866778,0.07366197010627218,9.619623483614337e-06
0.33,-0.013943239584801275,-4.62412923447521e-05,0.8364067935848565,-5.328977047658727e-06,-0.016625089642044698,-1.2770845782018652e-05,0.9998617935509394,-0.044766881960320144,-0.00010539771984233206,-0.13789823549946423,-5.5080736357536735e-05,-0.08839514126937552,-9.005898377021355e-05,0.01874114747308475,0.00024156537649314136,-0.012156916848748978,-0.00011043266129484586,0.07190196052211917,8.848614028555968e-06
0.36,-0.01512532607379907,-4.920015400664789e-05,0.8322155784966734,-6.198884651258313e-06,-0.017918467824621424,-1.4125220049024049e-05,0.9998394512484842,-0.0442046475361276,-9.815075854753781e-05,-0.1382629430049267,-5.839371619638211e-05,-0.08623808245371195,-8.979352534935687e-05,0.018621889735711328,0.00021088845599223638,-0.0029028259547934088,-8.515831171157506e-05,0.07059995959369303,7.246491255552545e-06
0.39,-0.01627985354963894,-5.1973942028251275e-05,0.8280193672789382,-7.106706895985147e-06,-0.01918005189523654,-1.5477194471053333e-05,0.9998160457400387,-0.04364599084405626,-9.182410486777072e-05,-0.1383500277835705,-6.094846554772936e-05,-0.08412008366590117,-8.95761306116903e-05,0.0189541491266354,0.00018476179486381916,0.0064944393037593695,-6.0513362314773556e-05,0.06980857259366502,5.6970918094201295e-06
0.42,-0.017407105716479205,-5.4586450219814475e-05,0.8238268073835231,-8.04130708620979e-06,-0.02041019812421835,-1.6827327196705114e-05,0.9997916900358337,-0.0430773663702572,-8.628125102185614e-05,-0.13815519460445772,-6.276386641717257e-05,-0.08202582648809122,-8.94052178574077e-05,0.019696358209476017,0.00016321762650158,0.0161175362211734,-3.719053077377854e-05,0.06959135244962411,4.793816776427207e-06
0.45,-0.018507067249765318,-5.705721684729629e-05,0.8196467588719635,-8.992144732367937e-06,-0.021609004669179383,-1.8175871739840464e-05,0.9997664979913992,-0.04248647562397292,-8.138472222680875e-05,-0.1376716685178225,-6.387958234038592e-05,-0.0799380859146025,-8.926140335411488e-05,0.02082056363583007,0.0001460141878266985,0.02607069360993708,-1.5552060325441097e-05,0.07002593069763563,4.950791673785648e-06
0.48,-0.019579454233151137,-5.9401746552213565e-05,0.8154883908319531,-9.949441978203882e-06,-0.02277627666216108,-1.9522598095573244e-05,0.9997405867230186,-0.04186185871489802,-7.700429659200779e-05,-0.13688954770952438,-6.434614415014914e-05,-0.07783730799367343,-8.911287960390131e-05,0.022315642473483166,0.0001327721296613682,0.036480988844869944,4.291823056057353e-06,0.07120756840486564,6.469606936787553e-06
0.51,-0.020623731650135604,-6.16318577398105e-05,0.8113612985090626,-1.0904235959619149e-05,-0.023911483374946307,-2.0866662833471286e-05,0.9997140793289298,-0.04119238944069352,-7.302113270216674e-05,-0.1357951180441783,-6.421738945846743e-05,-0.07570108094152746,-8.891879139579768e-05,0.024188729640572504,0.0001230600103421936,0.04749987218322915,2.2416258591118066e-05,0.07325295115651898,9.583042335781222e-06
0.54,-0.021639116880657103,-6.375607741582233e-05,0.80727564279808,-1.1848347135111958e-05,-0.02501370575612991,-2.2206508559605605e-05,0.9996871079947133,-0.040466727551476345,-6.932933239190092e-05,-0.13437012187868141,-6.354490170073388e-05,-0.07350349240683189,-8.863130012572424e-05,0.02646612936370829,0.000116448507865477,0.0593049967964655,3.902663626520475e-05,0.07630425947712283,1.4486529114454694e-05
0.57,-0.02262456860490128,-6.578003391300902e-05,0.8032423139815399,-1.2774288432669716e-05,-0.02608157250978984,-2.3539778783440462e-05,0.9996598175670126,-0.03967274367056509,-6.583587715593661e-05,-0.13259097197478745,-6.237410261277774e-05,-0.0712143646225182,-8.819670425229059e-05,0.02919421398219857,0.0001125448307813387,0.07210237326677327,5.441371365261238e-05,0.08053359644706859,2.1362795083690322e-05
