t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,0.6041364403850749,-0.02097839285100132,212.24903926034608,0.012800429936057697,-0.11433529476352972,-0.08566403259338687,0.6008670654817684,-0.06154311819385687,211.80864213100674,0.04905977819985675,-0.11226337027908967,0.01921416265609251
0.03,-3.946966069158183,0.49376284553081623,306.89487070679644,-0.45112670946577804,-0.3442260503172323,-1.3098076282888178,-3.94769988089752,-0.5627129500505597,306.559728432153,0.486266133278907,-0.34122488578758425,1.3021354447497693
0.06,-0.5604758106257934,0.772538946587087,313.8033208972741,-0.6867351674780452,1.02074545494126,-1.857544830546163,-0.5589168848137612,-0.7932139233923498,313.56590747570635,0.6924305528715641,1.0241489169757387,1.8535826038391072
0.09,0.6591125608789872,0.9381101361505503,315.22319505778205,-0.824070490784681,1.3789083356008216,-2.1313663827112985,0.6623969566022937,-0.9328853846803478,315.05091365560963,0.8125671008315646,1.3825843011917278,2.129420951052415
0.12,0.9556159096353591,1.059974181340308,315.7790961467371,-0.9237693087957838,1.3283029194331886,-2.303002831791088,0.9600448076841956,-1.0414418391233422,315.6474723557313,0.9022238375475518,1.332169997898936,2.3022342214357336
0.15,0.9245009201089521,1.1660560745645974,316.1278197474322,-1.009622194015841,1.1407862711390797,-2.4361960549537685,0.9296918760611974,-1.1411976080777786,316.0193359863017,0.9823718363436756,1.1448385308389006,2.436085160798235
0.18,0.791140925182244,1.267230454824047,316.40959804019764,-1.090700777515296,0.9206621309202653,-2.553898919673048,0.796883078558954,-1.2400366823545976,316.3121384807953,1.0605021264948722,0.9249394012397142,2.5541527951501406
0.21,0.6376970749139144,1.3677286855693613,316.6644861955293,-1.1704484247768054,0.7067452531493361,-2.664285726900482,0.6438830047719687,-1.340510500079566,316.5700041762128,1.1390940894371075,0.711301908863549,2.664743152322222
0.24,0.49306248779366024,1.4691939353429724,316.90483930338985,-1.2501616095568766,0.5129312638332096,-2.7702374199638737,0.499638231034791,-1.443264982601159,316.80827381865487,1.218813188789081,0.5178175555536576,2.770807716288995
0.27,0.36641505752957265,1.572254622008001,317.1339401622071,-1.3303166113450278,0.34347952179536456,-2.8727747206890832,0.3733515052899406,-1.5483112659612173,317.0323625474786,1.2997030857466805,0.3487333867408914,2.8734040637599763
0.3,0.259605970136648,1.6771388721149347,317.3521158031404,-1.411076442775605,0.19877250171603747,-2.972291594857464,0.26688453559085423,-1.655486552309038,317.2440752134832,1.3816233849560844,0.2044176788543182,2.9729457740811127
0.33,0.17176304740212706,1.7839176946903414,317.55892294124607,-1.4924859207045582,0.0775506976913219,-3.0689916591212567,0.17936930006330395,-1.7646139080007013,317.4439559532276,1.4644054413446508,0.08359801451360505,3.06964749323749
