t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.643558287544494,-0.006666228083687276,-0.001329705507426171,-6.0345660127580913e-05,0.0023913384509732794,-13.245709483138512,26.562921841078435,-0.003134922590064093,-11.758511869951462,-6.034973684698741e-05,0.002391337559253248,-13.246377287249686,26.56380133861279,-0.003134925848730319,-11.758692325035327,-4.27315389248511,0.012893369718325281,-0.005122297129494909,-7.294055971074005e-05,0.012549838545497488,0.23741441946563147,-18.14637057112159,-0.036117697942767084,6.349204517765258,-7.301633374178703e-05,0.012549770244392865,0.21535708113726237,-18.10865365609936,-0.036117747687529074,6.333582717578135
0.03,0.20597920245879006,-5.999605275318548e-06,-1.1967349566835538e-06,-5.431109411482282e-08,2.1522046058759515e-06,-0.3419211385348247,0.6539066296569706,-2.8214303310576836e-06,-0.3105826606829563,-5.431476316228867e-08,2.152203803327923e-06,-0.34192173955852473,0.6539074212047515,-2.821433263857287e-06,-0.31058282309253177,0.1993067486263348,-0.00019998684251061827,-3.989116522278513e-05,-1.8103698038274274e-06,7.174015352919838e-05,-0.3973712844941553,0.796887655232353,-9.40476777019228e-05,-0.35275535609854386,-1.8104921054096223e-06,7.174012677759744e-05,-0.39739131861749055,0.7969140401583837,-9.404777546190956e-05,-0.3527607697510598,2.2700009262864143,-0.004967534978466859,-0.0015113144324663819,-0.00021556668774991294,0.002435182994293239,-0.8228356519583997,0.37124843503124794,-0.0027569350265075343,0.4621220281148908,-0.00021557360097546052,0.0024351864420637526,-0.8230000874803807,0.3713521541872069,-0.0027569410657832805,0.4622943320541708,-20.128668239210718,0.033441694893726115,-0.0003753213977767721,0.0006060308426399167,-0.0031869210614057395,4.845028434439634,-29.570210985326906,-0.01524598809048166,8.94979059281846,0.0006059336230027685,-0.0031869611846044913,4.828259700507823,-29.540624653902437,-0.015246045949004156,8.936659315157971
0.06,0.21400140575123788,-1.646999203125727e-05,-3.7536529025868513e-06,-3.0263220720456726e-07,6.496073906615817e-06,-0.3545828291564119,0.6781473829054693,-8.124102185972148e-06,-0.3207494115406092,-3.026457672024918e-07,6.496075404513224e-06,-0.3545841791957818,0.6781490593482715,-8.124113486919525e-06,-0.3207495812862148,0.2674067764149272,-0.00034901289186462404,-8.523059819677659e-05,-8.277370436324816e-06,0.00014479564335799554,-0.4220563540529073,0.8080251082832904,-0.00017675572849714882,-0.33889169525509716,-8.277700134673438e-06,0.00014479572003951003,-0.42208132124190195,0.8080546047839999,-0.00017675600743540797,-0.33889193978943466,0.7431654440001125,-0.0017839626814580845,-0.0010951543651793738,1.3817577574570805e-05,0.0008618195561771458,-0.2602504233585421,-0.14456944973358077,-0.001060523385177703,0.3016931985944211,1.3812482606567755e-05,0.000861825425662488,-0.2604336446453317,-0.1445347520211726,-0.0010605303340867067,0.3018345709647292,-25.19118801014785,0.04295045704570593,0.004448434974250068,0.00046240152679425864,-0.010587498191453933,6.856017867823137,-31.091371555842034,-0.0028335796048853646,8.140294175198198,0.0004622745229250068,-0.010587511920901635,6.84447798191535,-31.069706179339992,-0.0028336507312822054,8.129929360282178
0.09,0.2226924579432858,-2.8545945200508264e-05,-7.296209777151585e-06,-5.38517500477198e-07,1.1615580807915116e-05,-0.36747874515902185,0.7022580236492078,-1.4381245087546544e-05,-0.33064463851952713,-5.38545536896784e-07,1.1615589888794764e-05,-0.3674810091132196,0.7022606162149725,-1.4381271010659801e-05,-0.33064468836602956,0.2897017397349306,-0.0004025317723083666,-0.0001180852291521578,-7.86284310908769e-06,0.00017065023004330992,-0.42986386675366356,0.803688024791283,-0.0002085714300524799,-0.3298408992972645,-7.863325656476406e-06,0.00017065048280938468,-0.4298943305812619,0.8037185622233648,-0.00020857191745800917,-0.32983690266049276,0.2159247726816247,-0.00039215372196327314,-0.0006013295430892796,6.824952792072736e-05,0.00016321499426030783,-0.04740802782453102,-0.19732365698337162,-0.00021581143407445325,0.1597956482059999,6.825041151614641e-05,0.00016322118779932282,-0.047480829873762787,-0.19743488556298416,-0.00021581647598623022,0.15994434997128337,-27.535828180078163,0.04627934102491139,0.007634685947869429,0.00011015862072367543,-0.014354608369465895,7.853375696368302,-32.15207180632444,0.004472032998221737,7.950692580956009,0.00011000592433230921,-0.01435460914697252,7.845576629581027,-32.135824739105416,0.004471954749389752,7.942187597589123
0.12,0.23157784243074717,-4.097483671952621e-05,-1.137996324049667e-05,-7.129782186211741e-07,1.6881981204048692e-05,-0.38041732838667386,0.7261910731016612,-2.083261827978795e-05,-0.3403960494150597,-7.130199362265444e-07,1.6882003442095694e-05,-0.38042057177754385,0.7261944816846667,-2.083266336278768e-05,-0.3403958455308702,0.2961794829153793,-0.0004142963839672648,-0.0001361251154448362,-5.81535727146587e-06,0.00017554667987111915,-0.43128610758839947,0.7977683150817818,-0.0002150457730747135,-0.3250470298510845,-5.815813310992013e-06,0.00017554711844336435,-0.4313187554774748,0.7977955156564752,-0.00021504641173759607,-0.32503857216135423,0.014595466426683856,0.0001236011562105177,-0.00026719897572363704,6.202622888906717e-05,-0.0001279821792898872,0.03651220079419204,-0.2275712983048379,0.00017383020428951568,0.11586034234255749,6.203272496918544e-05,-0.00012797721330493061,0.036529170897097174,-0.22776767669745368,0.00017382832780299395,0.11600764173817879,-28.92101527527144,0.04732802591742343,0.00950463087765783,-0.0001461658351930452,-0.01635149199026378,8.471492121203358,-33.16049407277267,0.008794713657000217,8.04868763808662,-0.00014634386418947674,-0.01635148900202074,8.466122576913389,-33.147690776439966,0.008794631243261842,8.041329593295172
0.15,0.24047636283799256,-5.3292487197954686e-05,-1.570419578199303e-05,-8.316153307649898e-07,2.203319763882137e-05,-0.39332305063361106,0.7499193083856402,-2.712754428816879e-05,-0.3500431860024839,-8.316648830840378e-07,2.2033237503422186e-05,-0.3933272581880607,0.7499233562453332,-2.712761021989287e-05,-0.35004259581814645,0.2966173469081798,-0.0004105883492809493,-0.0001441410847165453,-3.9545704047938545e-06,0.00017170721449242252,-0.4301907415645737,0.7909411761326367,-0.00020983086694602803,-0.3215712195808078,-3.95483156191645e-06,0.00017170780204421642,-0.4302228803505619,0.7909624853555516,-0.00020983156190350626,-0.32155834290920887,-0.06648941658239238,0.00026889975958016565,-8.010578101530497e-05,4.636836556670687e-05,-0.0002306626847019544,0.07245913131870907,-0.2523719782975604,0.00033777602386919625,0.1100646928068727,4.63788617253158e-05,-0.00023065932458088412,0.072531201647422,-0.2526105313451126,0.00033777726810058084,0.11020717072278785,-29.94980640868404,0.0477518625410919,0.010569796928590797,-0.00029544485302857054,-0.017487631603878437,8.946026304457577,-34.15899533500723,0.011280161653044008,8.243482717890616,-0.00029565492975395613,-0.017487628402917003,8.94208672916718,-34.14813253537302,0.011280071778421339,8.236712481785295
0.18,0.2493150427703138,-6.536812789276101e-05,-2.010052352640316e-05,-9.085209138987692e-07,2.6976817657362286e-05,-0.40616355966236145,0.7734204088891515,-3.311847187506735e-05,-0.35959126436638195,-9.085688543887471e-07,2.6976878172625883e-05,-0.4061686665170949,0.7734248813277892,-3.311855753570753e-05,-0.3595901596517722,0.29462266441070806,-0.00040252135649354435,-0.00014654425814700445,-2.5635194377926486e-06,0.00016478733395136388,-0.42801696762501246,0.7833700167837099,-0.00019969758622995215,-0.3182692787966016,-2.563465710156976e-06,0.0001647880223067899,-0.4280469443011392,0.7833841694151982,-0.00019969824386048882,-0.31825212778752526,-0.10273231916427505,0.0002695924917224257,1.390813533824753e-05,3.264821828707909e-05,-0.0002479803618289367,0.09064678115007041,-0.2736707835501875,0.00038886097260615315,0.11702269720262848,3.266144274505223e-05,-0.00024797851547830874,0.09074595350517711,-0.2739208804371174,0.00038886489846845507,0.11715671831052532,-30.837805168429504,0.04818377479198325,0.011194921423816326,-0.00037745499208752183,-0.018216019750283807,9.361865846032666,-35.1543398956017,0.012586157049556587,8.458286131976122,-0.00037770945949408156,-0.018216015414217853,9.358633911174483,-35.144304978535644,0.012586051222896966,8.451678601152713
0.21,0.25806126361538717,-7.720113534501716e-05,-2.4484333949008872e-05,-9.560431005741775e-07,3.169725535025716e-05,-0.41892248658807674,0.7966752056874676,-3.875942458662038e-05,-0.36903402230279764,-9.560775272229094e-07,3.16973381778991e-05,-0.4189284034879744,0.7966798776178518,-3.875952644290059e-05,-0.3690322824389185,0.2915406948357798,-0.0003944335817418716,-0.00014612701408685703,-1.584072889180276e-06,0.0001573479230964958,-0.42529756419051035,0.7751598932772042,-0.00018803175705176756,-0.31475859788052274,-1.5836224278054092e-06,0.00015734866684244064,-0.42532456569598387,0.7751665430020847,-0.00018803229690643518,-0.3147374262382095,-0.12161821389509697,0.0002225387542945101,5.6819841308841657e-05,2.1627513632438422e-05,-0.00022880695852300903,0.10209370595146083,-0.2919681397986551,0.0003831760696755282,0.12726884143035022,2.1642460353632487e-05,-0.0002288063646922467,0.10220112214329902,-0.29220886235430044,0.0003831821144615333,0.12739094867674794,-31.66215006002172,0.04882174735281028,0.011593078078554444,-0.00042318811619661756,-0.018764898830117564,9.749241717351905,-36.147978479157985,0.013119953802268332,8.663990809876935,-0.00042350208682659715,-0.01876488952815654,9.746212131193266,-36.13797804679515,0.013119820308031766,8.657239103721723
0.24,0.26669802806795495,-8.883385791840825e-05,-2.8817006514436626e-05,-9.841005249803911e-07,3.621176678048132e-05,-0.43158952917843574,0.819667231159965,-4.405551883546543e-05,-0.378362238281926,-9.841079857388023e-07,3.62118724549493e-05,-0.43159615944892493,0.8196718859317954,-4.4055631447078264e-05,-0.3783597533722557,0.2878921484189269,-0.0003877574191130363,-0.00014442241884759176,-9.352474802071233e-07,0.00015048371434080553,-0.4222347530119665,0.7664008490832446,-0.00017653647496150172,-0.31094053263761223,-9.343486171964346e-07,0.00015048447590167323,-0.4222585320316849,0.7664002771314556,-0.00017653683347258918,-0.31091569777790706,-0.13311436758100825,0.00016745871207296537,7.37878213293297e-05,1.237550845445412e-05,-0.00019635518288119158,0.11076483350043986,-0.3075404156869581,0.00034963516419850293,0.13744495776450094,1.2391361863706152e-05,-0.00019635553476149425,0.1108688897707566,-0.3077586041320046,0.0003496427648883582,0.13755267978672236,-32.45016507031244,0.049688024191020294,0.011878172141462954,-0.00044952843662274147,-0.019249102781305594,10.118801072198247,-37.13975340236439,0.013150125319177803,8.85006444181382,-0.0004499171823654029,-0.01924908314917792,10.115632199637979,-37.12924819391178,0.01314995128271972,8.842960900121808
0.27,0.27521498958969987,-0.00010031586765093368,-3.308327004066798e-05,-1.0010199917775962e-06,4.054955854611242e-05,-0.44415688341864434,0.842382470258344,-4.903694143653183e-05,-0.3875667537990663,-1.00098621857736e-06,4.054968675071415e-05,-0.4441641334090818,0.8423869115020203,-4.9037057962856416e-05,-0.38756342689378487,0.28389871739149664,-0.00038273365775084734,-0.00014220878420771187,-5.639822265734997e-07,0.00014459305885436977,-0.4189118080069533,0.7571746366126358,-0.00016604742003554663,-0.3068171839046772,-5.626077612852501e-07,0.0001445938098588284,-0.4189324653385622,0.7571675190074955,-0.00016604755052593843,-0.30678911738430537,-0.1408342812398402,0.00011906694717128685,7.833824721598104e-05,4.212043158702272e-06,-0.00016151274493836354,0.11806711540097581,-0.32060690532614444,0.0003037101747622728,0.14644783270455264,4.228171832210137e-06,-0.0001615137450450277,0.11816123584156912,-0.32079534931369835,0.00030371882945701145,0.1465399717571927,-33.21139979087366,0.05074157713049619,0.012108192478119395,-0.00046421316181114304,-0.019724779932369988,10.474309147221726,-38.12869070915185,0.012861460593858677,9.01329717304483,-0.0004646904269212474,-0.0197247440730423,10.47078097984898,-38.117337938877206,0.012861233296545297,9.005712988637772
