t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20950251971759037,0.9146511831126736,0.22515738258879558,0.6305955663581777,0.11368721090585865,0.26941041710830405
0.03,0.00018846284647480046,0.0008231513710684381,0.8797528655884945,0.0002837680002338982,5.1159244073404766e-05,0.00012123468572181535,0.9999999510803012,0.006285075591527711,0.027439535493380206,0.006754721477663868,0.01891786699074533,0.003410616327175759,0.008082312513249122,0.07337659354840298,0.4119720673359568,-0.020596668286905206,-0.2142747964468903,-0.07341531732949846,0.12111664997423688
0.06,0.0004425769597961957,0.0020170793475436026,0.8799378408981428,0.00047111911957393055,6.925443744483986e-05,0.0002969674094987554,0.9999998425304655,0.0084863733979798,0.03979869751345891,0.006136821429056712,0.012489623097338623,0.0012081568072908051,0.011715812012476227,0.010051767727949468,0.22448963292678537,-0.023526062526200597,-0.1570418101913713,-0.06102056239169684,0.08067560526935047
0.09,0.0007051107376933419,0.003413119668763247,0.8801022164093188,0.0005878120756652839,5.985228817463416e-05,0.0005089960887928663,0.9999996959087782,0.008787926429818285,0.04653338650126247,0.0054310395532706935,0.0077783687915974845,-0.0006224600644601,0.014136080170556741,-0.01002152888927732,0.118108967178985,-0.02107357126838494,-0.11104994937671009,-0.04548859484579282,0.049374233601938045
0.12,0.0009578608501685838,0.004915556989239386,0.8802480250789961,0.0006545442841707624,2.9941778056964306e-05,0.0007432340944513394,0.999999509139055,0.008487280563139965,0.05007665551663202,0.004798832415219145,0.0044468703102961814,-0.0019871179098338845,0.015617307178614882,-0.014188984987239195,0.05422061344328466,-0.018584737045936883,-0.07469044719759488,-0.03479487796631986,0.027672934258130333
0.15,0.0011970225108580666,0.006466899844229738,0.8803773424342083,0.0006876777777823015,-1.565955267491544e-05,0.000989915625669666,0.9999992734602893,0.008061611013522789,0.051703273919930556,0.004241290303841038,0.0022061568943683354,-0.00303096424882348,0.01644749520635879,-0.013249249988003697,0.014701862325483865,-0.0163102855081938,-0.04678037649890299,-0.026794492997240127,0.013303828291457265
0.18,0.0014234436502322848,0.008031581423899314,0.8804920928655535,0.0006997719145019151,-7.33433511241732e-05,0.0012425751887182046,0.9999989804729408,0.007664133513882678,0.05214432978969507,0.003751981738595224,0.0008027455994012458,-0.003834799038740684,0.016846610055102507,-0.011043958022334266,-0.009673487098042,-0.014280104613646927,-0.02600718128344548,-0.02052276104576123,0.004041475457311483
0.21,0.0016391441045596317,0.009587660826348205,0.8805940248658324,0.0007001741260272881,-0.0001402781922909351,0.00149704600801415,0.9999986244647898,0.00733281477321265,0.05185412517675381,0.0033235786001858166,2.253016089788138e-05,-0.004450481870113521,0.016967854318821852,-0.008869463697930513,-0.024111514494256636,-0.012494676198983257,-0.01114947876462935,-0.015469551549962546,-0.0017312236026372219
0.24,0.0018461315265377116,0.0111221395782757,0.8806847026226895,0.0006955695610471492,-0.0002141812778433012,0.001750732095708927,0.9999982026216322,0.0070667308622747345,0.051130779741926105,0.002948738314216319,-0.00031195420204099914,-0.004914568416612398,0.016915917610742737,-0.007096135192576014,-0.03183611521575691,-0.010942431343124781,-0.001010892191146695,-0.011360606305821364,-0.005126761321498918
0.27,0.0020460562138675704,0.012628060931924695,0.8807655063544421,0.0006905194913031501,-0.0002931958037746095,0.0020021073696888138,0.9999977143899546,0.006853846806497454,0.050175696285453396,0.0026204653739225754,-0.0003422809677754,-0.0052553866057870385,0.01676211477109777,-0.0057664036462874435,-0.03500871464918265,-0.009606771443933404,0.0054818107201271005,-0.008049486396679129,-0.006909295209114319
