t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2300062294811624,-0.057187163287405696,-0.15390733847655724,0.09730603063746912,-1.8053663783860543,1.264411894796865,-2.2132641019853736,1.2296998013753182,0.8603523080087143,0.09730587905744414,-1.8053689620134605,0.7366096865704321,-1.1244039508471815,1.229700197362945,0.24892498137842267,-31.81107660964081,-4.102632713171792,1.4142968377131204,0.3170641301957458,-3.794426673955172,6.249259972891517,-20.33842062453249,12.313053064598252,7.817144648181536,0.3170899600623491,-3.7944014721460912,13.93635656456582,-33.970982861990606,12.313069501519474,13.598478762867973,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.19889299439346697,-5.146844695866512e-05,-0.0001385166046289015,8.757542757372221e-05,-0.0016248297405474488,-0.32886202929468283,0.6280080623082132,0.0011067298212377864,-0.29922568292279217,8.757529115169973e-05,-0.0016248320658121145,-0.3293370512820866,0.6289880364442375,0.0011067301776266504,-0.2997759675167594,-0.036900186884434874,-0.0017156148986221709,-0.004617220154296717,0.0029191809191240737,-0.054160991351581624,0.037932356843905946,-0.0663979230595612,0.03689099404125955,0.025810569240261427,0.0029191763717233243,-0.05416106886040382,0.022098290597112963,-0.033732118525415446,0.03689100592088834,0.00746774944135268,-0.3378818367973011,0.14316074227936504,0.1405995237999882,0.041352443487141954,-0.32159143028545145,0.02585367226680546,0.2646961065784126,0.5595437573720119,-0.20486586966489995,0.04441516572251203,-0.32251426814843853,0.218837233465365,-0.09235203363425626,0.5614010876179236,-0.06299422688334744,-29.06436748439713,-4.935213293977089,0.9322875673102158,0.1266555776145431,-1.9340714843710418,6.175292798859399,-21.521195044022605,8.252430369869632,8.38441129949365,0.12561359939512473,-1.9323757972194948,11.915330457848212,-31.697959911122293,8.250582704149092,12.755846971558517,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.19748189513381637,2.5907774134098277e-05,-0.00015049363783781365,0.00021236805428587218,-0.0035390917683518035,-0.3277007902843255,0.6262543511123468,0.0027170490241103834,-0.2986357451282827,0.00021512423145366027,-0.0035399269729578238,-0.3284771490540544,0.6278929560582042,0.0027187213341094314,-0.2996086298377138,-0.0470366419883539,0.0025792073697587805,-0.0003992344402970714,0.004159754223738332,-0.06380873426014516,0.03870796701191011,-0.05845703986220882,0.0536773067624199,0.01966459315031443,0.004251631343398685,-0.06383649690485697,0.02866340760107391,-0.03650267953444313,0.05373303854942605,0.005577922634852257,-0.06098314393516091,-0.1358558165160879,0.09021792379971671,0.008515302739056096,-0.13674541020598951,-0.05932043455402436,0.24583698149263,0.306821118120979,-0.12155121310502182,0.00985910452106964,-0.1368826308913782,0.09533127688658283,-0.023754311507218517,0.307442545848744,-0.011351129372997093,-28.008711390081285,-4.473848033431624,0.5186142330647675,0.05565257319021127,-0.9005337363359917,6.530993915461388,-23.2014604793703,5.341022070349949,8.902375191652988,0.050828237752980676,-0.8973306637849979,10.558067295334562,-30.383078653598318,5.336609717899872,12.029344364951028,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.1960159110446241,-1.898623963761742e-05,-8.127453962698075e-05,0.0003448244534631726,-0.005576424665341549,-0.32659293966506686,0.624721893199824,0.004603507233291861,-0.29815520342556784,0.0003515463658245835,-0.005578216247905774,-0.32753144867682427,0.6267764967918144,0.004607410781856083,-0.2994515081751039,-0.04886613630640873,-0.0014964671257238567,0.00230730327369443,0.0044152133059100155,-0.06791109656632485,0.036928353975289374,-0.05108193041742992,0.06288194030604927,0.016018056757163775,0.004547404479030774,-0.06794297583159832,0.0315233459076714,-0.03721530887965969,0.06295631492488837,0.005237388753662343,0.032266190637813,-0.215963728116483,0.04786388451444523,-0.0026390918898755444,-0.04419032046899929,-0.07261948818512565,0.1950113765436754,0.16200112201045158,-0.07585516302788164,-0.0019209014019594406,-0.044104588129442845,0.03960252582723456,0.0033580828338699575,0.1622145882723771,0.004770808995090192,-27.480201409463433,-3.575294300382816,0.25554886132504184,0.017219192373693685,-0.23544064499743514,6.95065952865501,-24.598449975000893,3.1435744542637853,9.206159257574765,0.009827893797362635,-0.23172278858517242,9.56885484624549,-29.32102509287391,3.1378356573708,11.303502187193494,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.19457896652700588,-0.0002582476087141678,3.1022054646852854e-05,0.00047490566993958506,-0.0076535288507533945,-0.3255504465851748,0.6233649455261904,0.0066357664522827455,-0.297742931369578,0.00048623968893374324,-0.007656199652170221,-0.3265501060263496,0.625663059799975,0.006642093359047873,-0.29929009278439844,-0.04789815058727434,-0.007975378969218346,0.0037432198091277872,0.004336040549213749,-0.06923680618039484,0.03474976932973561,-0.04523158912111966,0.06774197396636282,0.013742401866327327,0.004489777436971991,-0.0692661134754816,0.03271142168248843,-0.03711456639464359,0.06782275257305968,0.005380513023515049,0.06364890581031091,-0.21575670508188116,0.02129974650356381,-0.006398189437305746,0.00300965583553392,-0.0650684009217457,0.1529102072886417,0.07467327418987679,-0.053078508627550036,-0.006062120779024127,0.0032124291385251524,0.011712733132554831,0.023126555154703965,0.07465172015315602,0.003162009805237176,-27.156393658402166,-2.624469926791248,0.10020407002630762,-0.018082806732747477,0.2277268066857332,7.322478463276539,-25.729686801458058,1.4457401336374767,9.402018007467127,-0.025718595878989985,0.23091552952250202,8.808877375424665,-28.465323769197607,1.4402858590555496,10.662544202232647,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.19319930602461693,-0.0006916900123644112,0.00016248842077389388,0.0005992285159224223,-0.009727924345913259,-0.3245665150661123,0.6221456170391165,0.00873523161804452,-0.297378429971353,0.0006154771033417812,-0.009731291870209997,-0.32555822191605566,0.624570436707775,0.008743962484377504,-0.2991258315848683,-0.04598868341296501,-0.01444808012167478,0.004382212204234702,0.004144094866094577,-0.06914651650532881,0.03279771730208324,-0.04064428290246041,0.06998217219205913,0.012150046607500827,0.004307913813601267,-0.06916974060132584,0.03306280367646507,-0.036420769740002475,0.07006230417765437,0.005475373317672164,0.0727710090117526,-0.18602761111185895,0.006518889327438604,-0.0077261674498245725,0.026936181656175506,-0.053104478811690115,0.11915809249944687,0.020520106054306098,-0.039774885745828215,-0.007563651991091547,0.02717516523977359,-0.0038756709120377764,0.037188044419849575,0.02040248108963283,-0.0030647455264443124,-26.920282891257433,-1.769160532831274,0.01142752573735486,-0.05459634055109437,0.570288435949113,7.619182916312019,-26.630216703983425,0.12163016595403195,9.536524910851726,-0.060255651430829456,0.5721197344753112,8.2107287489541,-27.78513260580882,0.11784384284911259,10.129576290620683,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.19188513943033855,-0.0012925572660153276,0.00029982178729562965,0.0007165978112004175,-0.011778077277582566,-0.3236303775779803,0.6210335308352922,0.010853164879255169,-0.2970497259702992,0.0007379072309578368,-0.011781926439533977,-0.32456982590958255,0.6235112828555528,0.010864193842687804,-0.2989643286563119,-0.04380555314261243,-0.020028908455030546,0.00457777888405786,0.00391230984259984,-0.06833843105564355,0.031204582937732536,-0.037069540127477006,0.0705977753736883,0.010956800035125981,0.004081004253868521,-0.06835448564413264,0.03294653354910394,-0.03530512840740699,0.07067437861034336,0.005383430951878835,0.07398033318686714,-0.14864198366780945,-0.0010359135135373787,-0.00811985673467408,0.03821118235257792,-0.041958255525287314,0.09255632582789985,-0.012946593755543745,-0.030838796225907572,-0.007984897751299513,0.0384376799566013,-0.013267724547603166,0.04638388253715675,-0.013070427525804007,-0.009177648773174951,-26.72788741951301,-1.0549020132923645,-0.03837457005158101,-0.09113054008405193,0.8350703085573598,7.842765314554279,-27.33584961332285,-0.913675866245951,9.631732571282392,-0.09313647828780618,0.8349859960072724,7.735627285499372,-27.250889167627175,-0.914815978265748,9.701580062677433,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.19063755513592837,-0.0020272023049672724,0.0004362228316551818,0.000826659235417206,-0.013793840145134552,-0.3227320025198211,0.6200047453247131,0.012959446206085828,-0.2967487768858488,0.0008531509505977229,-0.013797967096897016,-0.3235933708552023,0.6224938744976141,0.012972661816224881,-0.2988110856116514,-0.04158614314700642,-0.02448816796506483,0.004546701478651739,0.0036687141405596173,-0.06719209558506621,0.029945835271973916,-0.034292850352640014,0.070209377561022,0.010031636148348753,0.0038414573213295354,-0.06720135524543461,0.03254850181267585,-0.03391361193129228,0.07028226578456924,0.005108101488683587,0.07238679095483036,-0.11265457671191736,-0.004505774087876446,-0.008056219353399285,0.04238671494494639,-0.03305811864902353,0.0719506475217031,-0.03281344886897841,-0.024305479343865954,-0.007860136975523346,0.0425748570421689,-0.019086026786055754,0.05152907881415558,-0.032891899532160096,-0.01372509057591742,-26.561920289370985,-0.48375757508114847,-0.06578630711303989,-0.12616018472728055,1.0468302907760159,8.004158702962275,-27.880627263149105,-1.7237476316537497,9.700264256802427,-0.123453819722149,1.0445121749298947,7.357052578896018,-26.834896113066147,-1.7216616448000868,9.366263057733573,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.18945511895337752,-0.002863236462959943,0.0005685686793356451,0.0009294700622159352,-0.015771454969236088,-0.321863379768446,0.6190407153969034,0.015036195428934408,-0.2964697027328078,0.000961320546959638,-0.015775690382922102,-0.3226340932249295,0.6215228423106081,0.015051527080183015,-0.2986701951485092,-0.03941453941836151,-0.02786780526642235,0.0044115282560154455,0.003427027559957639,-0.06592049413671781,0.02895409171250321,-0.03213433092698892,0.06922497409495264,0.009302471768032774,0.003605653212063835,-0.06592410953416954,0.03197592100909418,-0.032367739566867615,0.06929550879860444,0.004696348771406064,0.06981366432368219,-0.08152579534094961,-0.005766279915953021,-0.007711745808833825,0.04247723547545945,-0.026440691847028575,0.056200724669906776,-0.043483828211151376,-0.019309737138200944,-0.007411370125453232,0.04261697026578304,-0.022580125308252263,0.05345808420963749,-0.04349336871575815,-0.016500707554541805,-26.414892105720583,-0.040421627924498646,-0.08042203377082217,-0.15883107582716238,1.2213044455496607,8.115972883449444,-28.295540895242336,-2.359040403124048,9.750642669513216,-0.15088116634648754,1.2166157111728122,7.054654940055428,-26.51221824190169,-2.353467025505904,9.108873046214072,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.18833551506871798,-0.003772643836759468,0.0006957248750917508,0.0010253403177867138,-0.01771084028140971,-0.3210185536397332,0.6181272661212966,0.01707380920639295,-0.2962080073431912,0.001062819910208645,-0.017715058395707983,-0.3216951377074341,0.6205999223993907,0.017091248312296966,-0.2985441553221661,-0.037320129488651044,-0.030313579126650836,0.004238539858536855,0.0031956751856926243,-0.06464617707245403,0.028160870957092354,-0.030448309186891717,0.0679204592486181,0.008723179653886746,0.003383312108300238,-0.06464560042619605,0.031298517249846614,-0.03076399704057849,0.0679907077371317,0.00420132754476981,0.06693720986866225,-0.05620094755140048,-0.005869159159889392,-0.0071810091569375345,0.04023841241672699,-0.02169314155958091,0.04427726126118614,-0.04791444384454735,-0.015402561776909351,-0.00676469786560574,0.040329713562400116,-0.024407898786080295,0.05293915518984704,-0.04785012274442124,-0.01772545028143213,-26.282965067239214,0.2960438139054061,-0.08785064469296111,-0.18890013405842776,1.3693269159969748,8.189965790084925,-28.607863095681736,-2.860573364010724,9.789162418197478,-0.17555801151445996,1.3622507146780851,6.811955374319681,-26.261176865261838,-2.8514719623561726,8.914960499787215,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
