t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20362325727647068,0.8355665725835593,0.22021065959493047,0.5410109485014694,0.14110791906298914,0.25417426728771275
0.03,0.00018318751193753844,0.0007519825927637307,0.8797483610360234,0.00024345492372628556,6.349856276995768e-05,0.0001143784188233421,0.9999999618076042,0.00610869771829412,0.025066997177506777,0.006606319787847914,0.01623032845504408,0.0042332375718896744,0.007625228018631382,0.07225729899623623,0.38010056870730713,-0.01949384595351855,-0.2047271463149123,-0.07245450867335279,0.11321605474897112
0.06,0.00043107742312115344,0.0018460652728808065,0.8799296653018096,0.00039478958573873485,9.436965365889011e-05,0.0002797019653006139,0.9999998785011737,0.008276416688181206,0.03647001423872599,0.0060215044092423575,0.010088514065596712,0.002059602311689091,0.011021709661100516,0.009535290762286763,0.2080136142019886,-0.022720530203643285,-0.14980417037903315,-0.06065361279222259,0.07509892050178735
0.09,0.0006870106715602148,0.0031274320285072416,0.8800909319220167,0.0004787231839829059,9.791442076768229e-05,0.00047881559426694767,0.9999997659862256,0.008562475411049809,0.04271042266478565,0.005339888503133059,0.005594388954225717,0.00023999392792241336,0.013274677276154136,-0.010272378496582135,0.10987673573985668,-0.020307587076562328,-0.105616360290826,-0.04558893238134232,0.046015270373438
0.12,0.0009330400870888681,0.0045077826785538495,0.8802341794165421,0.0005151412588497607,8.091149884196784e-05,0.0006986308992389371,0.9999996199987675,0.008254304056152345,0.04600672473698135,0.004730660890836189,0.0024258981455009374,-0.0011276740435178562,0.014655135387357276,-0.014335620830157936,0.050623031760977044,-0.017901279599168873,-0.07092694713362935,-0.03508688701614915,0.02583037612568706
0.15,0.0011654611340553794,0.005933794623332842,0.8803614334604004,0.0005196541641979224,4.809119356275349e-05,0.0009300642810816413,0.9999994313134482,0.007824235431247608,0.04752541568981066,0.004193622502861123,0.0002980897314920571,-0.0021802806540023303,0.015430046671127889,-0.013362615870642358,0.013796623733147106,-0.015710178656574314,-0.044404142604132724,-0.027167607514471115,0.01244056793295556
0.18,0.0013851511333846116,0.007372322841768721,0.8804745643265149,0.0005041968271965824,3.023975699751517e-06,0.0011670904704692924,0.9999991918377978,0.0074233569551283365,0.04793931440180507,0.0037223171431638932,-0.0010340345466319245,-0.0029953088794364637,0.015803263709116555,-0.011151098849580876,-0.009008097783225644,-0.0137598177058047,-0.02468022824873084,-0.020930879852983253,0.0037859121271894836
0.21,0.001594130990134612,0.008802839221061494,0.8805752645394199,0.0004776443644031699,-5.147595136003713e-05,0.0014058155339300102,0.9999988964437772,0.00708882398964091,0.0476690714683083,0.0033095226119897523,-0.0017744413940938497,-0.003623235275025961,0.01591684107293224,-0.008978171148539715,-0.02256989406612475,-0.01204745986279221,-0.01058377119960241,-0.015901551538064496,-0.0016238038463094462
0.24,0.0017944006315916813,0.01021313343607107,0.880665043665765,0.00044633927792654346,-0.00011313791194591997,0.0016438061375845853,0.9999985429401604,0.0068194788551847185,0.04699197464632456,0.0029480988161059863,-0.002091954530081922,-0.004100281821167896,0.015868126957542958,-0.007206559892631859,-0.029863621642709504,-0.010559049889542926,-0.0009641022359812013,-0.011821945204772533,-0.004818300309767043
0.27,0.0019876021663742297,0.011596636262853328,0.880745231716818,0.0004146093088877097,-0.00018011947853069352,0.0018796259850351754,0.9999981313293794,0.006603282058405763,0.04609606599704328,0.0026313273194196983,-0.002120877597161358,-0.004454940177311071,0.015723577948249946,-0.005883276146549932,-0.03289806488740421,-0.009275623255481591,0.005181321603293654,-0.008511990713891748,-0.006501657445818765
0.3,0.0021749711217192856,0.012950611898050406,0.8808169880765306,0.000385218631750344,-0.0002509258272670424,0.0021125188100932233,0.999997662950825,0.006426783774009265,0.045109124050421154,0.0023530586217552505,-0.001965437949062548,-0.004710299898727824,0.015528528224875384,-0.004954616213742824,-0.03309590846491872,-0.008175326655786463,0.008705881278714855,-0.0058322404985418075,-0.007164762931535229
0.33,0.0023573812913518103,0.014274877578776234,0.8808813149316387,0.00035975192242955093,-0.0003243471450640225,0.002342187345886249,0.9999971397638698,0.00627814528759698,0.04411624679647359,0.0021077988220816564,-0.0017042615107011024,-0.004885267113684078,0.015313585336929328,-0.004342843319193435,-0.03148731935307092,-0.007235325929218384,0.01031424960770444,-0.003669720462696091,-0.007156673963065963
0.36,0.002535413307046623,0.015570876401495494,0.8809390734672459,0.0003389315036052475,-0.00039940778387450324,0.002568636163033026,0.9999965638476565,0.0061478599880211765,0.04317162721588146,0.0018907390442051049,-0.0013948340224699692,-0.004995358727564961,0.015098885118037348,-0.003972675895804301,-0.0288197059941373,-0.0064330567484862655,0.010573066110794116,-0.0019301728851672806,-0.006727944940310593
0.39,0.0027094223719192094,0.016841004612076237,0.8809910013675207,0.00032287236923204596,-0.00047532372748207484,0.002792058875891508,0.9999959371057568,0.006028679711147048,0.042307036036057344,0.0016977473417505169,-0.0010776420391461457,-0.005053263914119979,0.01489704676982803,-0.00377927382942822,-0.02562819397720384,-0.005747209268558429,0.009926655388593275,-0.0005343633031245076,-0.006058105068688313
0.42,0.002879597409839866,0.01808812996249211,0.8810377303333364,0.00031128216092976086,-0.0005514667550224285,0.003012757343875598,0.9999952611292822,0.005915301496264201,0.04153819021674123,0.001525331063693764,-0.0007798423774883474,-0.0050692948132137145,0.014715303617767381,-0.0037108674843420175,-0.02228867734878648,-0.005158580766567944,0.008698256297954288,0.0005906258373684636,-0.005272696738275684
0.45,0.0030460088751808633,0.01931525338884254,0.881079802477929,0.0003036066402842753,-0.0006273314412353372,0.0032310851880547687,0.9999945371684679,0.00580397547173394,0.04086952989627764,0.0013705736406967256,-0.0005188946885497188,-0.00505157603809266,0.014557122715619111,-0.003720398361659605,-0.019039604584234482,-0.004649412567268918,0.007205892189672269,0.0014726660445703033,-0.004465355904986978
0.48,0.0032086523788603188,0.020525294442156224,0.8811176859734418,0.00029917285662373386,-0.000702522310780647,0.0034474056973580456,0.9999937661565508,0.005692363520884152,0.040298341758750605,0.001231091263678658,-0.0003027179228595507,-0.0050073960567555515,0.014423162038469502,-0.0037830623584120815,-0.016054233999887924,-0.004206115342431538,0.005532256200263319,0.002198988893823639,-0.0036844155932005407
0.51,0.0033674724024798054,0.021720935335510037,0.8811517872034171,0.0002972263105561199,-0.0007767145265664829,0.0036620700956455075,0.9999929487819796,0.0055788716501317896,0.03981671473875397,0.001104907803405712,-0.00013675023685165113,-0.004941426389940842,0.014312629570673486,-0.00386957581110714,-0.013408887599091202,-0.0038155211910337883,0.0038689796049631298,0.002779272086385731,-0.002971941777753173
0.54,0.0035223897426866395,0.022904552311621345,0.881182462720746,0.00029701723650601107,-0.0008496492656608561,0.0038753986660931246,0.9999920855497134,0.0054627843757985755,0.039414448110781236,0.0009904421676746984,-2.068084870275724e-05,-0.004858048227349271,0.014223471317340891,-0.003963594854429431,-0.011144597295538183,-0.0034676071568009448,0.002281487408207994,0.003252330867454134,-0.00234521646662067
0.57,0.0036733172065355254,0.02407817873899692,0.8812100284790274,0.00029783003349605593,-0.0009211161323522651,0.0040876730088184356,0.9999911768469334,0.005343876530165693,0.03908011019191509,0.00088641395297067,4.7763773543482574e-05,-0.004760478301325647,0.01415311482334227,-0.0040525271687279485,-0.009265266181143428,-0.0031543051723925686,0.0008186824724507602,0.003641580054200233,-0.0018126143309320497
0.6,0.0038201717157177826,0.025243501633542925,0.8812347673369785,0.00029900527230705974,-0.0009909425076911535,0.00429913230582376,0.9999902229973104,0.005222300715103854,0.03880215220648078,0.0007917847977988929,7.232424771700538e-05,-0.00465123089969964,0.014098736393414309,-0.004128425748611164,-0.007752315964288936,-0.002868984198594937,-0.0004943200350524535,0.003967890785588679,-0.001373636554971469
0.63,0.003962882041326173,0.026401878407485372,0.881256935278007,0.00029995099074471224,-0.0010589840722521394,0.004509973573789444,0.999989224302193,0.005098447942645519,0.038569582727552114,0.0007057152718410449,5.7494646665431776e-05,-0.00453219417613198,0.014057527296765165,-0.004186375974455814,-0.006573553070147398,-0.0026066032732270372,-0.0016496342032397138,0.004246544931277185,-0.0010231991903353332
0.66,0.004101393642290063,0.027554365869228898,0.8812767661916202,0.00030014623642639294,-0.0011251178702679453,0.004720353973811172,0.9999881810703448,0.004972856663411844,0.038372376135447694,0.0006275171736442337,8.005620568240365e-06,-0.004404797828193665,0.014026831321055104,-0.004223976432976784,-0.005689699826692429,-0.0023632935233335317,-0.002650887677678071,0.004489406830820997,-0.0007531297722387365
0.69,0.004235671101250458,0.02870175559322549,0.8812944755835649,0.00029913942732140355,-0.0011892369338007474,0.00493039450505169,0.9999870936372843,0.00484613737042254,0.038201685140646924,0.0005566183679442278,-7.152100976210177e-05,-0.004270115623269035,0.014004237427887943,-0.004240820185552607,-0.005059044539492685,-0.0021360404497530183,-0.003508920097667456,0.004706387197686013,-0.0005534195509895312
0.72,0.004365698652003721,0.029844611473138563,0.8813102634957923,0.00029654346440206603,-0.0012512458039741002,0.005140184519546881,0.9999859623759809,0.004718912764855962,0.03804991380446214,0.0004925371544516372,-0.00017678861269212543,-0.0041289240073384545,0.013987634841358258,-0.004237586425947626,-0.004640593949670979,-0.0019227227544273973,-0.004238853875841997,0.004903737698597865,-0.00041406895738838045
0.75,0.004491479642645706,0.03098330662450196,0.8813243166001121,0.00029202892027895987,-0.001311057713063641,0.005349786228106206,0.9999847877013411,0.004591785172077533,0.037910695985972014,0.00043485547181881524,-0.00030395422896738536,-0.0039818118763805185,0.013975212772636606,-0.004217171413634091,-0.004398171858343236,-0.0017218441214579272,-0.004869772939169792,0.0050928748316820815,-0.0003239592742740882
0.78,0.004613033959793871,0.03211805593389742,0.8813368096952569,0.00028531092837225173,-0.0013685894821832815,0.005559239699971406,0.9999835700722596,0.00446527002966851,0.03777875083022172,0.00038320014817507745,-0.0004500474171424791,-0.003829025631430056,0.013965493994408384,-0.004177444747163861,-0.0042891048905193685,-0.0015314006365967359,-0.005369692626906897,0.005254347507587909,-0.0002777367218733673
0.81,0.0047303998293374075,0.033248954503785996,0.8813479076766663,0.0002761636275368822,-0.0014237701668254141,0.005768565298204304,0.9999823099768131,0.004339946687253594,0.03765007768350614,0.0003372581290771754,-0.000611138195949686,-0.003671395206202419,0.013957161892752184,-0.004127340679332292,-0.004296093909918586,-0.001351892638284724,-0.005829163197265785,0.0054247658504138485,-0.0002613929926535974
0.84,0.004843625841804847,0.03437599315322774,0.8813577651808099,0.00026437932232771906,-0.0014765247825554034,0.005977769941034475,0.9999810079419871,0.004216126466873625,0.03752119486620858,0.00029670134992863367,-0.0007860130918676595,-0.0035086522306900032,0.013949320102972576,-0.0040653186579611145,-0.004385347623724112,-0.001181707154238154,-0.006213517868250307,0.005582532242307536,-0.00027177981442250143
0.87,0.004952772176166866,0.03549908885955527,0.8813665281349577,0.0002497841384780163,-0.001526783919750415,0.006186848542552642,0.9999796645151631,0.004094166907134792,0.037389634437496856,0.00026125013530148907,-0.0009724186279151687,-0.0033411762634207773,0.013941166708539902,-0.003995107094176831,-0.0045380774726577755,-0.001020540390637592,-0.006548387222057528,0.005735101682930122,-0.00030158391408008356
0.9,0.005057907184815024,0.03661810164346119,0.8813743341127668,0.0002322264689594758,-0.0015744804402756812,0.006395787292886477,0.9999782802576835,0.003974313694309488,0.037253492113317126,0.0002306339235823613,-0.0011688702445768946,-0.003169123212932874,0.0139321191911175,-0.003919090918616419,-0.004737361515100069,-0.0008680628937991486,-0.006845170454948146,0.005882237904181409,-0.0003459949109547722
0.93,0.005159105167111421,0.03773284978405545,0.8813813126949309,0.00021157184439625517,-0.0016195496035618065,0.006604565818560909,0.9999768557355637,0.0038567409667509952,0.037111371267864124,0.00020459203676838686,-0.001374225358225339,-0.0029926560758074317,0.013921739343788857,-0.0038395936288662114,-0.004969848828917822,-0.0007239254843831588,-0.007113339047066347,0.006024144591371794,-0.0004009226454062542
0.96,0.005256444204235598,0.03884312181710339,0.8813875858341906,0.00018769866975068778,-0.0016619289931654056,0.006813159019017273,0.9999753915099174,0.0037415531578850088,0.03696227580299659,0.0001828742722368921,-0.0015876255296373293,-0.002811931738066278,0.01390971166442667,-0.003758649765586597,-0.005225264331046198,-0.0005878463180035709,-0.007360657690014705,0.006160559044218417,-0.00046319514186343724
0.99,0.00535000426313592,0.039948685764835866,0.8813932681491454,0.00016049473070017348,-0.001701558651389596,0.007021538490252526,0.9999738881274987,0.003628793664917411,0.0368055178730652,0.00016523888269678497,-0.0018084452603377703,-0.0026271149667397254,0.013895815810170766,-0.003678113237302938,-0.005495914218256459,-0.0004595214912139767,-0.007593304007567525,0.0062914391203747755,-0.0005302707907262061
1.02,0.0054398654732944725,0.04104929604143982,0.8813984672291296,0.00012985441378220841,-0.0017383811124445652,0.007229673665333143,0.9999723461114471,0.003518450267798323,0.036640640446517506,0.00015145323796036567,-0.0020362443805647962,-0.002438371793128482,0.01387990768644898,-0.0036008426234968027,-0.005778681592680801,-0.0003390438747743474,-0.00783037458500857,0.006423043713731147,-0.0005989850112122497
1.05,0.005526105543233141,0.042144696223190156,0.8814032835636432,9.567009199205336e-05,-0.0017723386445288067,0.00743753322498415,0.9999707659539302,0.0034104249890934187,0.036467279998737084,0.00014128192171713525,-0.0022711556181150535,-0.0022456804817165476,0.013861938136112611,-0.0035229452967140418,-0.006059796672562179,-0.00022467280005233903,-0.008018262766068318,0.0065282824711161425,-0.0006732461931662215
1.08,0.005608803095856008,0.04323463149066738,0.8814078121621254,5.7856340620137344e-05,-0.0018033852620195946,0.007645083380357504,0.9999691481012541,0.0033047366301919975,0.03628548609856022,0.00013454173771556508,-0.002511703501097103,-0.002049832007583063,0.013841740750317626,-0.0034531174849021795,-0.006351633284293001,-0.00011853399555405986,-0.00824606785274895,0.006646589731246877,-0.0007440581243187694
1.11,0.005688030023267454,0.04431883737684539,0.881412140630557,1.630970823622637e-05,-0.0018314692739156994,0.007852291853507904,0.9999674929551157,0.003201143105644932,0.03609493710003143,0.00013098571784894329,-0.0027590855366795715,-0.001850434315645657,0.013819419006588063,-0.0033873000817425947,-0.006642631787027398,-1.871346519788375e-05,-0.008457912667893197,0.006750882454610974,-0.0008161935007855448
1.14,0.005763854985172583,0.0453970502184579,0.8814163509114864,-2.9066043616470464e-05,-0.001856545284529991,0.00805912577340837,0.9999658008584793,0.0030995241031926543,0.03589565814642061,0.00013042431389300677,-0.0030128229167163674,-0.0016479078420073277,0.013794933201564497,-0.003327322839609792,-0.006934535433305022,7.457368802210596e-05,-0.008669688037386436,0.006847576125807109,-0.0008877597757184219
1.17,0.005836341789345552,0.04646900555715492,0.8814205191076174,-7.836711210003016e-05,-0.0018785713599772783,0.008265552515761096,0.9999640720895178,0.0029997044180043605,0.03568762208342146,0.00013266152453366995,-0.0032729135578379604,-0.0014424805582331144,0.013768300408292944,-0.003273741307280531,-0.007227080670534569,0.00016155891177227488,-0.008882317675205087,0.006936461803917382,-0.0009584703468092926
1.2,0.005905548888853384,0.04753443836217388,0.8814247157035944,-0.00013169006623881194,-0.0018975091257191772,0.008471539831836319,0.9999623068544743,0.0029014921787859447,0.03547080966330542,0.0001375082918868382,-0.003539383088094113,-0.001234386704115593,0.013739546297888665,-0.003226923910848001,-0.00752036105916698,0.00024242230217552674,-0.009096383327086954,0.007017106232446224,-0.0010281608108613227
1.23,0.005971529052180892,0.04859308293330971,0.8814290057421557,-0.00018913210516766156,-0.0019133239640603704,0.008677055922677321,0.9999605052805686,0.002804684461460505,0.03524519883153041,0.000144780960952104,-0.0038122745879067216,-0.0010238735171422062,0.013708701473562826,-0.0031871406062862206,-0.007814687609014825,0.0003173299742966762,-0.00931223440359119,0.00708923028221875,-0.0010967262459793403
1.26,0.006034329125042824,0.04964467260887906,0.8814334489885174,-0.0002507912122259056,-0.0019259851415765147,0.008882069486825413,0.9999586674091252,0.0027090702432719183,0.03501075820325997,0.0001543008601810043,-0.004091641620014457,-0.0008111966086756438,0.013675799686183446,-0.003154597187744912,-0.008110477948525485,0.000386436289352865,-0.009530071928150363,0.007152768281883937,-0.0011641109020850138
1.29,0.00609398985174507,0.05068893937808158,0.8814381000852144,-0.0003167662429874732,-0.0019354658400080468,0.009086549746127175,0.9999567931890061,0.0026144323276395707,0.0347674438648042,0.00016589394886159023,-0.0043775437778589684,-0.0005966135602191257,0.013640876359120896,-0.003129279351432146,-0.008408179421056872,0.00044976112817174396,-0.00975002312528872,0.00720672480831297,-0.0012302655844536048
1.32,0.006150545895831612,0.05172561346961251,0.8814430085877403,-0.0003871569762501716,-0.0019417436052779503,0.009290466468882177,0.999954882469223,0.0025205539470966065,0.03451519848217249,0.00017938678270674254,-0.00467004447161763,-0.00038041181596973664,0.013603968391587288,-0.0031114655625970045,-0.008708184742108216,0.0005075066279260909,-0.00997213811235298,0.0072521602909532135,-0.0012951165806214249
1.35,0.006204025596042586,0.052754422984374966,0.8814482191643428,-0.00046206413857757686,-0.0019447998711143843,0.009493790003948547,0.9999529349932196,0.002427209980218696,0.034253952939909245,0.00019461198154452526,-0.004969208614988219,-0.00016284700724114026,0.013565114894168645,-0.003102146478084933,-0.009012582548471038,0.0005592135206482496,-0.010206394693845766,0.007293442865439204,-0.0013567259678843868
