t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,0.20660062129271667,21.290266375509905,251.1346095190569,-14.890206484806948,-0.607117284010201,-2.6359998386755845,1.0959643548682858,19.180637478172166,401.5416891475322,-13.003866412525328,-1.4707053603302556,2.8202248573794404
0.03,-0.265151012492174,13.838572473278928,262.9182906690397,-10.11083589442911,-0.8412554536425485,-2.2514868704014197,0.12093418182947908,12.059694300729932,374.6873075527349,-8.433640552759252,-1.5788259583391184,2.6347097380109323
0.06,-0.6502629108811155,9.23348718402947,278.926467666222,-6.791518122119374,-0.8827340796596109,-2.1323018226863493,-0.4060929351175501,7.638011100038829,357.7052849276824,-5.214658255323917,-1.4475931084953308,2.4833268961429162
0.09,-0.6171773871355434,6.126124958563154,292.40402871574645,-4.334157615494443,-0.7502271908480376,-2.1026413185610857,-0.4854791010493582,4.609756137199375,344.02906078083214,-2.8115311617094663,-1.1671128581437396,2.361414871291159
0.12,-0.4624269641208617,3.9740088456701774,303.37702361307413,-2.4606225703852913,-0.5782616504982899,-2.0931000928241237,-0.41224234151927,2.4630670080870507,333.041013622448,-0.9712602550226055,-0.8702957044148705,2.2686721184950147
0.15,-0.2949447100120585,2.481859132313027,312.14047428668664,-1.0156862029204914,-0.4149549059021587,-2.0845260433174024,-0.3035416740922385,0.9258144607495508,324.3234443560643,0.4511224516245575,-0.6052170887254198,2.1979072852510133
0.18,-0.14869306584918993,1.467415420112669,319.03308166533935,0.1015060526636096,-0.2748759688840129,-2.0730683643717382,-0.2007080791305381,-0.16601157760644675,317.4957427591097,1.5519345663568997,-0.38504526096160774,2.1428493236214465
0.21,-0.03129075868977509,0.8054755094633681,324.3880305225822,0.9647545436464139,-0.1606618431461548,-2.058967192076253,-0.11638835013811386,-0.9237366205838481,312.2094434889066,2.4027353664279487,-0.20985203926082163,2.099130998421375
0.24,0.05844433721601324,0.4038577972076822,328.51135280408,1.6318848793537297,-0.07083489929992465,-2.0432148980770313,-0.05256598889631962,-1.429714047956738,308.15280983375357,3.060118119773426,-0.07506402218777773,2.0638444112319303
0.27,0.12432426477641005,0.1922342261141471,331.67230606497554,2.149531358870284,-0.0026079673578338247,-2.026694251933849,-0.007488642867458004,-1.747962833698029,305.05433377569904,3.569985047139212,0.02522218933290299,2.0350056453370806
0.3,0.17062876615885525,0.11635920487706221,334.1004737261191,2.5554861255354484,0.04709570900694826,-2.010032863160323,0.02169701562985489,-1.929253214855006,302.68359594356417,3.96967758869189,0.09693890418411807,2.011194430096628
0.33,0.2013769324217358,0.13455722941993656,335.98653154485277,2.880136870154703,0.08126579311931831,-1.9936374366656424,0.03795147917543684,-2.0138994672799018,300.84973993395664,4.289306074864489,0.1455450126676722,1.9913433425924603
0.36,0.2201032448315629,0.21522800966467134,337.4850918903059,3.1475640741804236,0.10266208933820707,-1.977753566258484,0.043984230134593794,-2.033595244335664,299.3983205428245,4.552784965987499,0.1758514800679893,1.974621081295792
