t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ALWristRoll,q_ALWristYaw,q_ALWristPitch,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_ARWristRoll,q_ARWristYaw,q_ARWristPitch,q_HeadPitch,q_HeadRoll,q_HeadYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ALWristRoll,qd_ALWristYaw,qd_ALWristPitch,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_ARWristRoll,qd_ARWristYaw,qd_ARWristPitch,qd_HeadPitch,qd_HeadRoll,qd_HeadYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ALWristRoll,qdd_ALWristYaw,qdd_ALWristPitch,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_ARWristRoll,qdd_ARWristYaw,qdd_ARWristPitch,qdd_HeadPitch,qdd_HeadRoll,qdd_HeadYaw
0.0,0.2,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2557465019004823,-0.05904479185461753,-0.13613871107109077,0.08099448771224615,-1.6155927971054211,1.1615490700315263,-2.082440378693832,1.1248266877792048,0.8007488634750644,0.08099443623200386,-1.6155950391570855,0.7162331298329718,-1.1478333568090875,1.124827100827133,0.2695318673836482,-31.784192039232497,-4.095317419583425,1.3035313709661647,0.29193081144312805,-3.4892481659537564,6.451443277605955,-20.69856522380803,11.531949118413689,7.967459542082515,0.2919551321861942,-3.4892243345605936,13.711040155956367,-33.577019022862636,11.531964575248749,13.435195315122948,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0.19886982814828957,-5.3140312669155774e-05,-0.0001225248399639817,7.289503894102154e-05,-0.001454033517394879,-0.32895460583697167,0.6281258036591756,0.0010123440190012844,-0.29927932602287244,7.289499260880347e-05,-0.0014540355352413768,-0.32935539018315035,0.6289669499788718,0.0010123443907444198,-0.29975742131935473,-0.03767239505701447,-0.0017713437556385258,-0.004084161332132723,0.0024298346313673847,-0.04846778391316263,0.03484647210094579,-0.062473211360814955,0.03374480063337614,0.02402246590425193,0.002429833086960116,-0.04846785117471256,0.021486993894989155,-0.03443500070427263,0.03374481302481399,0.008085956021509445,-0.3349277204316934,0.10871046946761709,0.12937240186944265,0.037265526157682416,-0.2902658587624387,0.026710675805929895,0.25769987234946257,0.5170163394700467,-0.201115461902873,0.03952235454056563,-0.29091491408496495,0.2126432665525897,-0.08529919051647994,0.5183524594153823,-0.06391957602454568,-29.05536392824691,-4.759002417990963,0.8547540318243907,0.11976744300323651,-1.7900463785375378,6.333415750766206,-21.810233433782976,7.752658275113795,8.506412707154302,0.11863543950481074,-1.788557275086545,11.75009659024191,-31.419161368534134,7.7509727932710035,12.636956734126317,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.1974382213481906,-8.441202817456171e-06,-0.00012861451824546497,0.00017932905142395726,-0.0031693063076759526,-0.32788517206571793,0.6264835372034656,0.0024900027435256107,-0.29873965596145746,0.000181360104304116,-0.003169894493159222,-0.32851940142640335,0.6278571306862788,0.0024912059949626832,-0.2995723702571315,-0.04772022666996527,0.0014899703283899866,-0.00020298927604944306,0.003547800416097857,-0.05717575967603579,0.03564779237512369,-0.05474221519033108,0.04925529081747754,0.01798900204716574,0.003615503723177085,-0.05719529859726151,0.027866291891566846,-0.036993976419767025,0.04929538680727546,0.006168368740773075,-0.05947913554580708,-0.14019529385406493,0.08254710155117273,0.007358181169024647,-0.12256696811169832,-0.056588092874960694,0.2387032849883326,0.28442425219031975,-0.11810409819690904,0.00847581799982322,-0.12268026405916999,0.09058340623096228,-0.017957207708946044,0.28493554100782603,-0.012702910138159496,-28.005320002481334,-4.261043774763382,0.47343876236608884,0.054674337316909676,-0.8428856136727845,6.644320723061047,-23.407576909755722,5.032033608231326,8.988303153332064,0.05017150353167266,-0.8400908227906251,10.444691422083233,-30.188563462853693,5.0281046829022,11.941770279397424,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.19595308332610042,-8.9917857434415e-05,-6.041180513089281e-05,0.00029238542695901517,-0.004994889369257555,-0.32686666757805166,0.6250561037042451,0.0042236432950212245,-0.2983062795884197,0.00029745345219926944,-0.0049961656887303205,-0.32760188760404846,0.6267311499067477,0.0042265095860879905,-0.2993987518140327,-0.04950460073633948,-0.002715888487231961,0.0022734237704857387,0.0037685458511685964,-0.06085276871938674,0.033950149588874864,-0.047581116640681105,0.05778801838318713,0.014445879101258469,0.0038697782631717816,-0.06087570651903661,0.030583794078495714,-0.037532692651035406,0.05784345303751024,0.005787281436628291,0.033405428009523064,-0.2095620493304029,0.04350845265160075,-0.0024976021238956037,-0.038942503475624335,-0.07031143652724836,0.19035001158908926,0.1508772906752256,-0.07364887059020475,-0.002059013859081915,-0.03880859361524358,0.03636594385790204,0.007746703756765783,0.15094606921638842,0.0034658715671866958,-27.47986719642569,-3.3794683045599365,0.23127108670650012,0.01842513032488539,-0.23254580412631298,7.026736955659573,-24.738308949765706,2.9730532911407126,9.263524445230027,0.011727817395375931,-0.22931876484718677,9.497902772085755,-29.19655963447952,2.9680059221898016,11.242776963962141,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.1944980101892188,-0.00036000035644873644,4.694851537012002e-05,0.00040319396058256703,-0.006855520683967219,-0.32591144338325995,0.6237999852154549,0.006093073408124542,-0.29793918719891316,0.00041169368762124914,-0.006857364618555138,-0.3266516444322215,0.6256121411605977,0.006097664639508047,-0.2992220140865234,-0.04850243789605379,-0.009002749967144048,0.0035786773500337613,0.003693617787451728,-0.06202104382365547,0.031840806493057414,-0.04187061629300843,0.0623143371034439,0.012236412983552327,0.0038080078473993243,-0.06203996432749392,0.031674772394232775,-0.037300291538332433,0.06237183511400189,0.0058912575836438915,0.06460567169317954,-0.20651990151040422,0.019182157287612966,-0.005882772342772569,0.0038836321306945365,-0.06341592154606701,0.14998718233925956,0.06987758480011053,-0.05165407586014226,-0.0058123696678080705,0.004127045636771243,0.009473503065038358,0.02643871625969041,0.06972416012820304,0.0020392851918131782,-27.157652826521804,-2.461669898279417,0.08786897415975634,-0.01506877901756926,0.19238096465515817,7.3688448927795065,-25.817080927515438,1.3796460068751941,9.436731725131299,-0.021844351997271364,0.19512447245598138,8.771720935097015,-28.397582324062675,1.374920950553957,10.623874071911024,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.19310108215686106,-0.0008159507668224217,0.00017157277742998453,0.0005087079990976236,-0.008712656729759257,-0.3250132935178597,0.6226788551907699,0.008025393347547958,-0.2976185834776807,0.0005207027903422016,-0.008714849207306861,-0.325692875107636,0.6245169272590815,0.008031571437043486,-0.2990434410023414,-0.0465642677452584,-0.015198347012456174,0.00415414206866215,0.003517134617168551,-0.061904534859734635,0.029938328846675404,-0.037371000822830645,0.06441066464744721,0.01068679070774806,0.003633636757365082,-0.06191615295839078,0.031958977486183926,-0.03650713005054172,0.06446355991784798,0.0059524361393982865,0.07366520085317063,-0.17718177440551158,0.005693009001687788,-0.0071178897434194255,0.02567691343285894,-0.05213988215325571,0.11765627801662504,0.01940334363651175,-0.03896134537285434,-0.00720476921101465,0.025951182373901815,-0.005402043820652125,0.039595197761741474,0.019165102818902824,-0.003925555830619487,-26.922475987993053,-1.6399696517264806,0.005383419586888381,-0.049549870450878344,0.5059806249325691,7.642550572382934,-26.6770564170425,0.135884101322136,9.55363257903433,-0.05439519824427714,0.5075119878650206,8.200137949261192,-27.76263642631906,0.13271916552429977,10.108495604928299,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0.19177045280527116,-0.0014313647741610674,0.00030132074759136804,0.0006078159368436026,-0.010546683553461724,-0.32416206954639737,0.6216636158162999,0.009975176296244235,-0.29733304496728385,0.0006232276007732409,-0.010548977731922073,-0.32473896762248905,0.6234573490355508,0.009982726827115937,-0.29886840091840705,-0.04435431171966328,-0.020513800244621523,0.004324932338712784,0.0033035979248659682,-0.06113422745674887,0.028374132382077734,-0.033841312482331895,0.06499276495654256,0.009517950346562429,0.0034174936810346425,-0.06113761748717372,0.03179691617156436,-0.03531927411768948,0.06503851300241506,0.005834669464479702,0.0748687623699098,-0.1413812018509535,-0.0011816390866787874,-0.007499184839183215,0.035944780546481425,-0.041556824710511364,0.09213834780587149,-0.011916341217300896,-0.030488328325873226,-0.007604223810105282,0.03620482084012622,-0.014299043690670032,0.048103751840585574,-0.012155004253372681,-0.009797932613537341,-26.7307506118536,-0.9540773055801217,-0.04143609223694867,-0.08388816426091053,0.747404419841968,7.848776160329345,-27.35209615250273,-0.8369687531270592,9.635444988669892,-0.0852862992743433,0.7472299766533106,7.745725951497621,-27.26394602874112,-0.8376934481602413,9.694117434012234,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0.1905072053398142,-0.002174021863165571,0.00043000524257474064,0.0007001746082343168,-0.012348360074672356,-0.3233482467171745,0.6207313009548553,0.011914234537844941,-0.29707494595238026,0.0007189086097751854,-0.01235052191778117,-0.32379792927666373,0.6224410641886767,0.011922942713360354,-0.29870217897382484,-0.04210824884856599,-0.024755236300150127,0.00428948316611242,0.003078622379690472,-0.060055884040354425,0.027127427640762394,-0.03107716204815575,0.06463527472002353,0.008603300496786231,0.003189366966731484,-0.060051472861969935,0.03136794486084426,-0.03387616156247191,0.06467386287481389,0.005540731486073582,0.07330534576284009,-0.10724818517896217,-0.00432038517368083,-0.00745274387753625,0.03973260116607591,-0.03307369611090394,0.07233825478010658,-0.030584252147775715,-0.02430532768903504,-0.007494254397698796,0.03995536503241226,-0.019769335994055837,0.052759102335357966,-0.030776601143770677,-0.014157591660023172,-26.565374077876427,-0.40445141085567765,-0.06773670013421056,-0.1167049474472544,0.939416721541165,7.997392684178805,-27.874406588287638,-1.5981773068069631,9.694012706981455,-0.11369228916414274,0.9372522034912343,7.38315836936616,-26.875556296665945,-1.5959334640265896,9.369048716109342,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0.18930993268554377,-0.0030132023188311407,0.0005548013909018005,0.0007858258101352484,-0.01411427725483352,-0.32256419021445143,0.6198640905227127,0.013825766952512648,-0.2968387217323968,0.000807844789819201,-0.014116106275111097,-0.32287468333323305,0.6214722625339044,0.013835459658575376,-0.2985486988617366,-0.03990908847568079,-0.02797268185551899,0.0041598716109019955,0.002855040063364384,-0.05886390600537215,0.026135216757435277,-0.028907014404752553,0.06371774715559027,0.00787414066611518,0.0029645393348005197,-0.05885281191099757,0.030774864781022582,-0.032293388492411174,0.06375056484050076,0.0051160037362728865,0.07078961182543253,-0.07786700832850624,-0.0054381227573685464,-0.007137604547111209,0.03977565692335361,-0.026732985627347716,0.057160525773042536,-0.04066385610701673,-0.01956663918963386,-0.007077166464000584,0.03995265264268255,-0.0230191263254369,0.05437061086774975,-0.040789433233612726,-0.016806547690521256,-26.41894797720658,0.024031505475708908,-0.08230691018854244,-0.14724739461798167,1.0965694134448476,8.100056305367898,-28.27332733764551,-2.194958878045269,9.737160374222958,-0.13933181305498354,1.092289181650007,7.093106062702079,-26.574134928367574,-2.1894999278641842,9.119157959957537,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0.18817637068191623,-0.003922463081992366,0.0006747032287472286,0.0008650531679437798,-0.015844396343763667,-0.32180419339879296,0.6190483245637659,0.01570070189668404,-0.29662010748768397,0.0008904115200456161,-0.01584573324506261,-0.32197215460349526,0.6205523944289131,0.015711266113880146,-0.29841034464256994,-0.037785400120917814,-0.03030869210537418,0.0039967279281809395,0.0026409119269510477,-0.05767063629767154,0.025333227188614846,-0.027192198631561276,0.062497831472379764,0.0072871414904261645,0.0027522243408805024,-0.05765423233171709,0.030084290991259477,-0.03066227016637868,0.06252688184349238,0.004611807305557249,0.0679497235864659,-0.05401862465603102,-0.005497431078546278,-0.006648495348827055,0.037699759897876106,-0.022209899001637723,0.045654155937427277,-0.044902310979409776,-0.015847991491455105,-0.006477198543137774,0.03783159729661634,-0.02471879231092089,0.05366858533568575,-0.04495780483148337,-0.017950207770127236,-26.287676640580894,0.35144715818146954,-0.09024651615870295,-0.17531986794749466,1.228931478403796,8.16769582836684,-28.574693652110724,-2.66578696764854,9.77057201776156,-0.16235081753985744,1.2225150886688896,6.859941444818986,-26.33942377641113,-2.6570618117901845,8.930577049919062,-0.25,0.1,0,0,0,0,0,0.25,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
