t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,105.17617439090911,5.478553121538645,149.91729032960012,-5.225105877888028,15.996147135101237,-16.911206851166995,105.13657445681882,-7.009229120295953,149.8606148912003,5.994467697595089,15.990477117191856,17.292398089970415
0.01,106.96888380142666,6.009025054782585,152.61639323671088,-5.515107023395657,16.244333803119495,-17.20652120772798,106.99525006807865,-7.040676230576293,152.65394255018845,6.106195976115708,16.24808406554261,17.484133771328555
0.02,97.54528083535804,5.66969298982343,139.25502551226657,-5.104249738775474,14.88508938626065,-15.428867604769776,97.52979608490669,-6.491522560605461,139.23279127764997,5.569346917896658,14.882859908508093,15.58195303115312
0.03,77.81209759853189,4.508068810001853,111.13113769820761,-3.9752458957461916,12.04834000390072,-11.665110266268911,77.75223216761198,-5.277449155208763,111.04549402963944,4.4418439628767326,12.03976725770009,11.71111937891007
0.04,58.837895189311105,3.0462220578927677,142.58180519814147,-2.680858044819009,15.166619262530162,-7.699072924132607,58.53361223465964,-4.191070029820972,140.6082679814281,3.3929448905690975,14.969287108030317,7.723324940166822
0.05,42.682369284758835,1.272092425332927,234.72191855733246,-1.1610417126843378,24.351804643099772,-3.5084451271105457,42.36788524983319,-2.281456734178613,232.9034576725212,1.7516502794207964,24.16997804687813,3.490239962266594
0.06,31.364058910800207,-0.20516139009727724,265.5294027610091,0.05949654437602918,27.40571973425413,-0.4336078300628151,31.044766713295612,-0.6374752121766595,263.8533877469713,0.40631546211155295,27.238136083116277,0.3548590210783184
0.07,22.995659498237366,-1.4687567388980192,276.5950786531196,1.0597995987503623,28.486634480991825,1.8378059399106026,22.675084606680873,0.7797815783726876,275.04647286103284,-0.7067975410988406,28.331790503843365,-1.9674606744768648
0.08,17.050672540122864,-2.566674763635867,281.69235193501083,1.8938615514670876,28.971570426936037,3.5304225212350735,16.73111799738926,2.013922804888976,280.25569484956907,-1.6406474530891864,28.827920435767147,-3.698317994467676
0.09,12.99033340178204,-3.527124803585132,285.04739417264994,2.5961583967203135,29.282998624332365,4.794576709282413,12.673506151388988,3.094687800898211,283.70848810082583,-2.430576878700195,29.14912317324869,-4.988451413576215
0.1,10.40437743916874,-4.367287169657229,288.01152873381983,3.1890996471117,29.555969251819214,5.732461881427418,10.09157476387908,4.04171756201315,286.75779313326404,-3.1002001879672356,29.43061056830019,-5.941278603755011
0.11,8.983184504919697,-5.098501523251556,290.98911572787785,3.6881109692368725,29.830863559099658,6.4163506022711205,8.675423178821191,4.868796741859546,289.809656835833,-3.6661709623787218,29.71293250921592,-6.630360816673535
0.12,8.497474358387471,-5.728121096151595,294.08442085927396,4.103875315865451,30.11806701375452,6.898283557542465,8.195590768709698,5.585630269040178,292.96998440602636,-4.14039952388029,30.0066383777784,-7.108878410184614
0.13,8.78605329613392,-6.259851603249538,297.34268874973844,4.443192875307585,30.422070771947496,7.215456710638258,8.490789089937364,6.198256718991236,296.28557564736604,-4.5309427121355705,30.3163748183569,-7.414943171778318
