t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0409193412113815,0.0019761854804918808,-10.367926576012893,-0.016390761963579074,-6.827863471581834,-0.04245869675517783
0.01,-0.0002037379639224223,1.972015918437308e-07,0.8785131377472051,-8.195380822588148e-07,-0.00034139316694727453,-2.122934796519298e-06,0.9999999417227619,-0.020409193412113814,1.9761854804918807e-05,-0.10367926576012894,-0.00016390761963579076,-0.06827863471581834,-0.0004245869675517783,2.16225472321811,-0.000646800706074608,-8.91087650199446,-0.0021496981929863476,-18.426974489348304,0.0005087882655410159
0.02,-0.00018785370885374098,3.250994822792345e-07,0.8765852852061189,-1.7485247839038003e-06,-0.0016041343833978368,-4.219709463252349e-06,0.9999987133651806,0.0012133538200672887,1.3293847744172727e-05,-0.19278803078007356,-0.00018540460156565424,-0.2525483796093014,-0.00041949908489636814,-0.1074941849486244,-0.003514273607893331,-1.895537581373746,-0.00340436955797907,-2.9524827489982997,-0.000573315709105654
0.03,-0.00017668998716454632,9.680981849479788e-08,0.8744678808201916,-2.848303440856129e-06,-0.003014496540365537,-6.345157098995081e-06,0.9999954563707949,0.00013841197058104475,-2.184888833476058e-05,-0.21174340659381102,-0.00021944829714544493,-0.28207320709928435,-0.00042523224198742467,-0.4556581270095261,-0.0021191241967728203,-0.6812211395524304,-0.0016646974215967503,-0.5105631147063221,-8.703264221990303e-05
0.04,-0.0002045556471432982,-3.480958638739214e-07,0.8722820564801314,-4.031459641760297e-06,-0.004450380604945154,-8.475121667167077e-06,0.9999900969631603,-0.004418169299514217,-4.3040130302488784e-05,-0.21855561798933532,-0.00023609527136141242,-0.28717883824634755,-0.0004261025684096237,-0.43513004912377795,-0.0012353734736389177,-0.46879357598008475,-0.0012390284413043573,-0.1421798335175808,-0.0001042201740044657
0.05,-0.000269154201021308,-9.213659344894725e-07,0.8700488340707773,-5.276595330962884e-06,-0.00589336436160529,-1.0610526670355848e-05,0.9999826339072472,-0.008769469790751997,-5.539386503887796e-05,-0.22324355374913615,-0.000248485555774456,-0.28860063658152335,-0.0004271447701496684,-0.3651255529315307,-0.0007511797792119773,-0.4325064425609897,-0.0010155055348748387,-0.11953391276308878,-0.00018075986221396945
0.06,-0.00036323096182443523,-1.574847520003207e-06,0.867771704092896,-6.572504512619085e-06,-0.007342312380899966,-1.2755215015278313e-05,0.9999730447582115,-0.012420725320067305,-6.290566283099774e-05,-0.22756861817474605,-0.00025864061112320437,-0.2897959757091542,-0.0004289523687718081,-0.29955712628452247,-0.00047160385691115414,-0.42870163607512124,-0.0008271572300101449,-0.15772012467691354,-0.0002500090936568833
0.07,-0.00047995018597691056,-2.2809131941344634e-06,0.8654509622916554,-7.909765352245059e-06,-0.008799130685421808,-1.4912628370414882e-05,0.9999612867577574,-0.01541629658291253,-6.762170140010928e-05,-0.23185563453549726,-0.0002669121834233058,-0.29137317695592335,-0.0004314524597083769,-0.2430728356950702,-0.0002996670037806598,-0.43128442317359683,-0.0006405495408944861,-0.20634084393969943,-0.0003064046263224762
0.08,-0.0006133635965663275,-3.0227301140658675e-06,0.8630863051385909,-9.27905455280244e-06,-0.010266246812786846,-1.7085529679469004e-05,0.9999473005105632,-0.017847024939863232,-7.061837143791587e-05,-0.23616847876723324,-0.00027331767883225064,-0.29343658539532036,-0.00043451650597160166,-0.19114394287344716,-0.00018925964526850247,-0.4352590526625151,-0.000449382940948595,-0.25651445560063735,-0.00035577856320381795
0.09,-0.0007579590477194123,-3.7896437811592477e-06,0.8606773290055462,-1.0670828058429345e-05,-0.011746165679396387,-1.9276293520446612e-05,0.999931011173466,-0.019758464368597704,-7.25109678906009e-05,-0.24052106929385839,-0.0002778115082417366,-0.29600172995132673,-0.00043807429160363983,-0.13754880673663283,-0.00011442498599317785,-0.43959345950900763,-0.0002535817106360527,-0.3069396797426336,-0.0004045979002234301
