t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,11.829218040924196,-0.38599631842609483,16.86098618247513,0.3584052781825784,-1.6875840884165025,1.1201185438507424,11.834271707580921,0.5483645578889718,16.86822795403361,-0.47678752390349044,-1.6883060187689385,-1.2956241882641881
0.01,27.098553747197204,0.36907184068242704,81.93094913490494,-0.31276794348408704,8.193137755766212,-0.8178537207908824,27.161192166029853,-0.2330288746102676,82.3335998234623,0.22377975886077453,8.233399041381638,0.7147166722374104
0.02,-2.089546707814585,0.41010212421040815,262.68912992381485,-0.3745181297260914,-0.8410665411427253,-0.9719225206846132,-2.086820218746878,-0.3749757134189016,263.17329263165544,0.31894571199244154,-0.8443232971842031,0.9629834085142019
0.03,-5.331261851363175,0.5246836628793305,295.52682084729315,-0.4715168126808393,-2.0570070319612777,-1.212188094194633,-5.328363282185002,-0.49310068214898056,295.8952011692729,0.41911120509165256,-2.059170651773713,1.2129015780495889
0.04,-4.877457685921962,0.6367531878639943,301.8943147614526,-0.5618327652099819,-2.084157627036528,-1.4275898420043038,-4.874978012675889,-0.6024518483837961,302.16382424315975,0.5126476175532403,-2.085422763168224,1.4286315187552097
0.05,-4.07207544271461,0.7377635371051106,303.4745049035667,-0.6414531487509172,-2.0279748493356378,-1.6084819594949162,-4.069885571931215,-0.704089042702515,303.65347833415984,0.5976712425784803,-2.0282555993670615,1.608953673377286
0.06,-3.397596241823616,0.8303029260962143,304.096898316645,-0.7130070455919292,-2.043659008895104,-1.7627399690501602,-3.395595763841254,-0.8003271955173132,304.1911791330864,0.6763205853879541,-2.0428623151573637,1.762845002201658
0.07,-2.8598672717341707,0.9187722019685602,304.49150272490795,-0.7802718233322411,-2.1233207782981767,-1.90080487214514,-2.8580204121152075,-0.894625225849135,304.5059239612947,0.7518742178503084,-2.12137563239503,1.9008059361371337
0.08,-2.3847267257422224,1.0079275164618633,304.83290781327133,-0.8472135803824833,-2.2322083040347627,-2.032897861517463,-2.3830529460736574,-0.9910256239316387,304.77167148396444,0.8279501503358894,-2.2290653272538252,2.032988606362719
0.09,-1.8847557692963521,1.1029036094628701,305.1933647294522,-0.91801357568161,-2.331508069361438,-2.1689815604486986,-1.8833187766717123,-1.0941337275260923,305.0601637651883,0.908475741895694,-2.3271352016120703,2.1692912055318145
0.1,-1.2657962262607856,1.2095838483835863,305.62972856140766,-0.9973561915003386,-2.3800135678520187,-2.3193893747589533,-1.2646990878983704,-1.2094048443796617,305.42780264481485,0.9979315467085433,-2.3743929660589798,2.3199994200953564
0.11,-0.42151060494957243,1.3351219981647389,306.20403238233405,-1.0908307842197338,-2.3315228494954274,-2.4956546589167963,-0.42089739206479265,-1.3436118542632365,305.9362055009938,1.1017258282239135,-2.324649731009859,2.4966106909762007
0.12,0.7754509256749939,1.488619985705421,306.9921126561497,-1.2054444707244867,-2.130963839853332,-2.71148401128206,0.7753867943978628,-1.5054841365034508,306.66082431802346,1.2266870790847808,-2.1228473701917094,2.712801140023939
0.13,2.484690740959634,1.68202096324996,308.0908430346409,-1.3502865234174415,-1.7095479268846612,-2.983928576661748,2.483690539909242,-1.7065661248938326,307.6981759782469,1.3817096393854782,-1.7002143268901695,2.9855906278352697
0.14,4.912373045011421,1.931309833248654,309.6265460915613,-1.5374097900711339,-0.9786500831263314,-3.3348483209220725,4.910087286599729,-1.9623813386978306,309.1742508940762,1.578614627746811,-0.9681483631453658,3.3368004361362074
