t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7497527407977789,-0.010852537717568195,-9.877120388670908,-0.06618842492643245,-8.105382505638213,-0.05976327032342138
0.01,-0.00017457496899803273,-1.0880006259402517e-06,0.8785622171608072,-3.309421155719077e-06,-0.000405269114186794,-2.9881634343636467e-06,0.9999999178685285,-0.01749752740797779,-0.00010852537717568194,-0.09877120388670908,-0.0006618842492643245,-0.08105382505638213,-0.0005976327032342138,1.7999828283325812,-0.006903460079174714,-5.320652522458264,-0.0032895363258846552,-10.964232208547795,-0.00234317543631285
0.02,-0.00016687107083294587,-2.8790000125560483e-06,0.8770424513432307,-6.7849075670783015e-06,-0.001358749442781222,-6.091736032970151e-06,0.9999990768579776,0.0005023008753480239,-0.00017755997796742908,-0.15197772911129173,-0.000694779612523171,-0.1906961471418601,-0.0006210644575973422,1.2908957003840662,-0.006492031793189357,-1.6214041989597323,-0.0021817328064591135,-2.5546734103156368,-0.0013764672963577085
0.03,-2.637041540296461e-05,-5.3347611984161534e-06,0.8753610555909519,-1.0370157902039306e-05,-0.002439961845715332,-9.263407015512513e-06,0.9999970231919896,0.013411257879188686,-0.00024248029589932265,-0.16819177110088906,-0.0007165969405877622,-0.21624288124501645,-0.0006348291305609193,0.7523847425989345,-0.004734120690900484,-0.6070416060340573,-0.0012233485232578944,-0.1592186588420148,-0.0012251086427609859
0.04,0.00019337862999907774,-8.280126970073112e-06,0.8736197148103502,-1.4016487530320396e-05,-0.003529132279762933,-1.2496389007249304e-05,0.9999937724169737,0.02093510530517803,-0.0002898215028083275,-0.17426218716122963,-0.0007288304258203411,-0.2178350678334366,-0.0006470802169885292,0.4290206301208954,-0.0034099162734273214,-0.3099853132936641,-0.000917535977914441,0.5648940499571324,-0.0013370634926017644
0.05,0.0004600235266825697,-1.1582909588827088e-05,0.8718482013762144,-1.7708088607186693e-05,-0.0045900541243510335,-1.5796767128815e-05,0.9999894653645214,0.025225311606386986,-0.0003239206655426007,-0.17736204029416627,-0.0007380057855994855,-0.21218612733386527,-0.0006604508519145469,0.24041941557147695,-0.0024789274259286453,-0.21513746915960041,-0.0008008776322855349,0.8052503590983164,-0.0014751873462685028
0.06,0.0007546155363920616,-1.5150209241388538e-05,0.8700559794559838,-2.1438739421353546e-05,-0.005610708923407217,-1.9171783530770704e-05,0.9999842594352173,0.027629505762101755,-0.00034870993980188713,-0.1795134149857623,-0.0007460145619223409,-0.2041336237428821,-0.0006752027253772319,0.1304276182854629,-0.0018055127209848365,-0.18096092355225402,-0.0007355929964031338,0.890654842480977,-0.0015822202387550943
0.07,0.0010660481568883782,-1.8914908419611936e-05,0.8682464137026099,-2.520485033366622e-05,-0.006586826108785232,-2.2627051701900216e-05,0.9999783060519586,0.028933781944956383,-0.0003667650670117355,-0.18132302422128482,-0.0007533704918863723,-0.19522707531807232,-0.0006910249277647828,0.07204731047291446,-0.0013004582290761513,-0.16660957161285772,-0.0006803229431092683,0.9187567519399025,-0.0016525571834613562
0.08,0.0013883688067636557,-2.2826783634752877e-05,0.8664208872544197,-2.900337009907964e-05,-0.007517000487369636,-2.6166307322953232e-05,0.9999717461897619,0.029654255049685527,-0.000379769649302497,-0.1829891199374134,-0.000760173721317465,-0.1860395077986733,-0.0007075504995993964,0.05301582286204365,-0.0009096133740533752,-0.15982876312682848,-0.0006230717878817904,0.9203952553812655,-0.0016930441509679373
0.09,0.0017195564053582733,-2.684714106995663e-05,0.8645800521708059,-3.283117823916338e-05,-0.008401150233401742,-2.9791760158419666e-05,0.9999647087319234,0.030184413278305965,-0.0003888657830430307,-0.1845874075686817,-0.0007664044391962829,-0.17683555524486064,-0.0007244809411090758,0.06806646500895752,-0.0005972980323253885,-0.15687428087897715,-0.0005609280123916038,0.9059418739860092,-0.0017125076572962472
0.1,0.002060997668143169,-3.094531873587927e-05,0.8627242255734617,-3.668493861882521e-05,-0.00923999826296204,-3.3504536042282505e-05,0.9999573090706232,0.030865077928395542,-0.0003948387633662846,-0.18615615037747146,-0.0007720137193201989,-0.16777613650500053,-0.0007416060176820382,0.11582812350235017,-0.00033721988571014383,-0.15667705674597343,-0.00049383765557931,0.8789814633955046,-0.0017194076987253615
0.11,0.002417353155732525,-3.509614813010856e-05,0.8608535177693414,-4.056109851144335e-05,-0.010034892941662958,-3.730509672219232e-05,0.9999496476757099,0.03202335916341904,-0.000398210962223386,-0.1877229209449312,-0.000776952095875992,-0.1589863218710455,-0.0007588000946692918,0.19775345443163417,-0.00010791348113131649,-0.15909939101582538,-0.0004227224685499076,0.8404892253549221,-0.001721722144108928
0.12,0.0027967060658786835,-3.9277925264794047e-05,0.8589678690641056,-4.445593759878989e-05,-0.010787759275275066,-4.119363350309111e-05,0.9999418085951666,0.03400089370773539,-0.0003992900970346992,-0.18931391485508947,-0.000781179320561491,-0.15058142961749627,-0.0007760173161103811,0.31787953662263746,0.00010985134649610373,-0.1644172974801421,-0.00034896094960434887,0.790134157061253,-0.001727446494936502
