t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9652427424917569,0.01860172653056858,-9.504489195400884,0.03062498026566335,-12.889377811945128,0.0016892160911715637
0.01,9.713678203979916e-05,1.8616361503267827e-06,0.8785996135533661,1.53124890728437e-06,-0.0006444688459847037,8.446079871188464e-08,0.9999997923287558,0.00965242742491757,0.0001860172653056858,-0.09504489195400885,0.0003062498026566335,-0.12889377811945127,1.6892160911715637e-05,2.1115880542067007,0.003853097022311347,-2.6778567372587565,-0.0018981397349284723,-5.652346763135085,0.0012809447542116992
0.02,0.0004075186959437676,4.112695491152834e-06,0.8773820639683891,2.9675723653723766e-06,-0.0015715544725544257,2.3247483055430303e-07,0.9999987651030772,0.030768307966984577,0.00022454823552879927,-0.12182345932659641,0.0002872684053073488,-0.18541724575080212,2.970160845383263e-05,1.445703701191988,0.002219041823664697,-0.8416056261091125,-0.0011346011675968937,-1.1807737748365525,0.0015122914271397461
0.03,0.0008651460948197277,6.58991480509045e-06,0.876081547600193,4.347057991699566e-06,-0.00255767724868242,4.5583875648118615e-07,0.9999967291286441,0.04522534497890446,0.0002467386537654462,-0.13023951558768754,0.0002759223936313799,-0.19722498349916764,4.482452272523009e-05,1.0112138550050176,0.001797356645649173,-0.3303965501627495,-0.0007764656038062867,0.09438346568231992,0.0015065041264240298
0.04,0.001426652334956036,9.251095154132952e-06,0.874749511624979,5.687521457382228e-06,-0.0035390783942666243,7.544484065548493e-07,0.9999937374259912,0.05533748352895464,0.00026471222022193797,-0.13354348108931502,0.00026815773759331703,-0.19628114884234443,5.988956398947038e-05,0.7489642183932901,0.0015152781492689948,-0.1782752873031157,-0.0006315948326899301,0.5095826022398029,0.0014066485273502294
0.05,0.0020657753385493792,1.2068067291203107e-05,0.8734013407390326,6.996131922804207e-06,-0.0044949972603338315,1.1234224761585408e-06,0.9999898974236798,0.06282712571288754,0.0002798650017146279,-0.13532623396234617,0.00026184178926641775,-0.1911853228199464,7.395604926297268e-05,0.5808502699972315,0.0012574461522212865,-0.12863351994778327,-0.0005570531413047197,0.6674247445750296,0.0012874743949501388
0.06,0.0027656394038385033,1.5015131846442341e-05,0.87204208585199,8.276557006758695e-06,-0.005417541274882878,1.556876890469935e-06,0.9999853249801267,0.06863562841285985,0.0002924394632368408,-0.136612569161824,0.00025627125785337057,-0.18451107537419612,8.683079321247408e-05,0.4660098736696803,0.0010254984839786485,-0.10986166090047789,-0.0005050329815803334,0.7400594264432669,0.0011720498426603942
0.07,0.0035146865507176836,1.8069194939897435e-05,0.8706736593829538,9.531348971949962e-06,-0.00630307844708353,2.049101116431917e-06,0.9999801353562201,0.07329572714955665,0.0003026944480766273,-0.13771118577082878,0.00025122092803756723,-0.17711048110976343,9.855129163907803e-05,0.38473905622518245,0.0008236452058124344,-0.10107046812940901,-0.00045981411870776867,0.7799960465187183,0.0010663054092574509
0.08,0.0043047092195268805,2.1210176049395434e-05,0.8692969438229948,1.0762727587359978e-05,-0.00714961187684614,2.5948648237125435e-06,0.9999744411370927,0.07714311771180847,0.0003109309001347516,-0.13872189045212285,0.00024662278685048955,-0.16931052064457625,0.00010921434573165254,0.3266468223610346,0.0006503495232381418,-0.09590043336937093,-0.0004161208342662315,0.8046315614663726,0.0009711569705650458
0.09,0.005129812160302516,2.4420850294818086e-05,0.8679124403993649,1.1972841788215209e-05,-0.007955909885051803,3.1894676122449932e-06,0.9999683511713655,0.08040958593541882,0.00031743439536713303,-0.13968089478581655,0.00024246157850782722,-0.1612642050299125,0.00011892591543730299,0.285448989507433,0.000501542845287889,-0.09231506041603765,-0.0003721050747991228,0.8205112382149053,0.0008860635499232661
0.1,0.005985784870095961,2.7686441689859877e-05,0.8665204812324054,1.3163860619018893e-05,-0.008721178726923193,3.828713378174728e-06,0.9999619697036817,0.08326407583049315,0.0003224498238200119,-0.14060404538997692,0.000238740527759836,-0.15305909264776346,0.00012778655093653566,0.2568997048398103,0.00037279773616102907,-0.08961047607590977,-0.0003270672428665744,0.8305800402670371,0.0008100415556808738
0.11,0.006869677857588082,3.0994182121150234e-05,0.8651213052978983,1.4338007192070834e-05,-0.009444915320094836,4.5088616219852795e-06,0.9999553956795713,0.08583307287889126,0.0003261778011816222,-0.14150015015073603,0.00023546985533117026,-0.1447532922450931,0.0001358869664933444,0.23794202432482692,0.0002601522269861656,-0.08751035150460318,-0.00028070593973694713,0.8364447061629718,0.0007419818467763184
0.12,0.007779497719671752,3.4332917348051426e-05,0.8637150895512732,1.5497573048995386e-05,-0.010126826884349979,5.226572163043749e-06,0.999948722240177,0.08821249312213954,0.0003287793234514839,-0.14237525366578205,0.0002326627959338008,-0.13638884518346336,0.00014330678496110756,0.22631322300803447,0.00016030087016372097,-0.08588407240006468,-0.00023286461228599897,0.8391231134063375,0.0006807689821546337
0.13,0.00871398152560617,3.7692778662891616e-05,0.8623019640405639,1.6644925518169104e-05,-0.010766780025462674,5.978849436000571e-06,0.9999420363876513,0.09047562535221988,0.0003303823321531211,-0.14323409438978268,0.00023033414981094081,-0.1279976140494,0.00015011447478265389,0.22032849778890906,7.055962037741392e-05,-0.08465668895345324,-0.0001834415385604249,0.8393174974065118,0.0006253330178026539
0.14,0.009672428881140957,4.1064916543279354e-05,0.8608820205047587,1.7782512518626528e-05,-0.0113647656025772,6.762989023717414e-06,0.9999354187850547,0.09267891033010897,0.00033108792835689525,-0.1440806612793172,0.00022849973442533655,-0.11960443907533487,0.00015636780496068042,0.2187447525688313,-1.122941732126237e-05,-0.08377947922031659,-0.00013235710560932645,0.8375294485467251,0.0005746721957581302
0.15,0.010654578069957517,4.444128675795342e-05,0.8594553177703022,1.891286640999797e-05,-0.011920873629463646,7.576527573664337e-06,0.9999289436539028,0.09486635785579728,0.00033097563418368263,-0.14491845607152037,0.00022717616336924329,-0.11122914458986762,0.00016211452691826172,0.2206678458236766,-8.679501336750217e-05,-0.08322024096419156,-7.954060287385101e-05,0.8341173875899912,0.0005278578026280956
0.16,0.011660517020671033,4.7814479279790084e-05,0.8580218851913922,2.003860752293341e-05,-0.012435275335949594,8.417196336804613e-06,0.9999226787381733,0.09707303631403405,0.0003301076840500076,-0.14575065848116228,0.00022638075734050477,-0.1028879707139677,0.00016739310494454267,0.2254881093135701,-0.00015751920190765212,-0.08296031380161928,-2.4927651704587106e-05,0.8293298677490455,0.00048402884251075307
0.17,0.012690622674543134,5.1177581861736285e-05,0.8565817246384486,2.1162447481207086e-05,-0.012908210724419762,9.282878051969415e-06,0.9999166853102677,0.09932791740716976,0.0003285324920309311,-0.14658026161917848,0.0002261314808234589,-0.09459467203647724,0.0001722333933696502,0.2328368580065039,-0.0002245012987789341,-0.08299416277246241,3.153835421576545e-05,0.8233265265209937,0.0004423771335755333
0.18,0.013745524426711293,5.452407199579053e-05,0.855134811236913,2.2287192235859618e-05,-0.013339980573742742,1.0171566417294466e-05,0.9999110182001759,0.10165628598723479,0.00032628747904314177,-0.1474102032469031,0.00022644686436561654,-0.0863614067712673,0.00017665716470540555,0.24255997699179943,-0.0002886043859381404,-0.08333022332989515,8.990040073009187e-05,0.8161913163661794,0.0004021245332759271
0.19,0.014826089020232143,5.784773275524045e-05,0.8536810929044487,2.3415744521415285e-05,-0.013730942229016664,1.108132699293774e-05,0.999905725833396,0.10408188575715278,0.00032340143518376035,-0.14824350548020204,0.00022734586837291746,-0.0781994936076055,0.00018067841003816483,0.25470646120555784,-0.0003504855121391759,-0.08399267657877285,0.00015017550681273306,0.8079400454219012,0.00036249315543246396
0.2,0.015933425767181774,6.114258968111186e-05,0.8522204886284013,2.4551105129825268e-05,-0.014081508800009841,1.201025802212336e-05,0.9999008502661212,0.10662895036920836,0.0003198965800623686,-0.14908343224598977,0.0002288476234410448,-0.07012009315338649,0.00018430334159248948,0.26953100434132793,-0.00041060863846786866,-0.085024181714207,0.00021234005334547223,0.798523180565347,0.00032266266756653117
0.21,0.017068912376772136,6.440286764215074e-05,0.8507528853288355,2.569637229694349e-05,-0.014392151628047838,1.2956449005858572e-05,0.9998964272080094,0.10932426041262164,0.0003157904936776899,-0.14993367406313185,0.0002309710239744995,-0.06213486134773302,0.00018752996826815478,0.28751074964612755,-0.00046924105823203943,-0.08648976076570669,0.00027629862651690207,0.787824308930432,0.0002817188253084746
0.22,0.01823424308874332,6.762296830755284e-05,0.849278133047286,2.6854737685773195e-05,-0.014663406098171832,1.3917934411230604e-05,0.9998924860237296,0.11219936790908291,0.0003110980830953695,-0.15079857167078892,0.00023373401023966852,-0.0542566182584287,0.00019034715652123952,0.3093772886066546,-0.0005264263024032934,-0.08848215019225947,0.00034185417467280654,0.7756542869119727,0.00023857669120175284
0.23,0.019431502338708488,7.079747129983798e-05,0.8477960380750241,2.8029477542557854e-05,-0.014895881089016632,1.4892638620257317e-05,0.9998890497045857,0.11529314079514946,0.00030583382007133656,-0.1516833931727115,0.00023715255198639658,-0.046500075389308976,0.00019273292343325704,0.3361660156189128,-0.0005819332471682648,-0.09112905308247932,0.00040864121675010523,0.7617408210371082,0.00019188534433478566
0.24,0.02066326892313886,7.392116457527017e-05,0.8463063534754691,2.9223935777332235e-05,-0.015090272581261839,1.5878307263994968e-05,0.9998861348009903,0.1186548009513386,0.00030001448759965394,-0.1525946837035363,0.00024123896415389763,-0.038882667178937895,0.00019465177687660488,0.3692860934254121,-0.0006351654096369841,-0.0946028499042928,0.00047605595066402273,0.7457130163386623,0.00013988965356759309
0.25,0.0219327577002544,7.698911368970132e-05,0.8448087662520384,3.044149560706382e-05,-0.015247382197133135,1.687241792414729e-05,0.9998837513055062,0.12234766188559272,0.0002936628335032841,-0.15354071220257923,0.00024599952366053784,-0.03142553701555127,0.00019605067341228082,0.41061562267239715,-0.0006850221115164978,-0.09913341560942968,0.0005431345021283951,0.7270803930305831,8.023968127734982e-05
0.26,0.02324400839328682,7.999678458326816e-05,0.8433028801582735,3.1685533856609316e-05,-0.015368141720015363,1.7872060511954677e-05,0.9998819024748322,0.12645381811231668,0.0002868126123881191,-0.1545320463586735,0.0002514308686818218,-0.02415473308524544,0.00019685307022505432,0.4626282103723476,-0.0007297005815747326,-0.10502460967980998,0.0006083374769464411,0.7052063003476334,9.838734496447898e-06
0.27,0.024602134214112073,8.294024062171129e-05,0.8417881928527499,3.295934730765968e-05,-0.015453644923385707,1.8873779476598237e-05,0.9998805845780003,0.13108010021604016,0.0002795156065723718,-0.15558229245547162,0.00025751424345128623,-0.017102670081769106,0.0001969514575700188,0.5285590531946305,-0.0007663234216100934,-0.1126743891778954,0.0006695392521475219,0.6792772742533089,-7.600436042320968e-05
0.28,0.026013646988027835,8.581645230573467e-05,0.8402640658332302,3.426605126098324e-05,-0.015505188241100074,1.9873335351541652e-05,0.9998797865586124,0.13636569074798646,0.00027185237235627087,-0.15670903634725056,0.00026420963597276144,-0.010309897339236016,0.0001961914139657867,0.6126209171058612,-0.0007906145446177626,-0.1225964419133394,0.0007231499717923473,0.6482743971928429,-0.00018297827386581922
