t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,23.7102612858541,0.36674573242992814,69.55752630362689,-0.280273431298883,4.514162822915026,-0.7672951494417934,23.720356322417675,-0.18167529573493602,69.67941526948194,0.20992509771794343,4.517118634075064,0.6505682371419713
0.01,-5.501508080249773,0.4665645654803795,273.68289462120134,-0.41718177340180873,-4.389804327912106,-1.168065342748243,-5.490773575943671,-0.44962776276137667,273.70925587747223,0.39816700485682227,-4.385787637100539,1.1630255169150636
0.02,-8.1046920988261,0.5745207103508836,305.3438389456039,-0.5140913590809056,-4.98755292347766,-1.4260512228688162,-8.095321467747839,-0.5694033527447276,305.32361433076665,0.4985602789960296,-4.9836083659731365,1.4318045109649142
0.03,-7.111351829326355,0.6698178989860992,311.14740204745675,-0.5944361245106309,-4.511915970703512,-1.6326274938465353,-7.103538323834616,-0.6633296202634711,311.0911899372222,0.5794528488279629,-4.508138871723032,1.6378871941291164
0.04,-5.931241474370259,0.7480314978587718,312.54618715451545,-0.6588967472842469,-4.031044678265861,-1.7922807091405977,-5.924614131053719,-0.7410363272392566,312.4569720291766,0.645410465142787,-4.027306292095547,1.7960748243518943
0.05,-4.991610670515676,0.8126439464391016,313.098107725742,-0.7110900968239549,-3.6718187418807275,-1.9159573636969909,-4.985828198508875,-0.8067088584110453,312.9771829762928,0.700007909489719,-3.6679896360609554,1.9185629640731383
0.06,-4.285822281339269,0.8674808607537962,313.4216435393386,-0.7544573013244936,-3.4206310368308404,-2.0137846407527586,-4.2806324160437725,-0.8637183948229075,313.26986024493704,0.7464116894895146,-3.416610015065325,2.015539520541607
0.07,-3.749834574865027,0.9158960855333949,313.64952029367623,-0.7919544094746193,-3.2469682686453907,-2.0942732129958768,-3.7450619967860455,-0.9150404241231771,313.46756707259317,0.7873804163768562,-3.2426803517796485,2.095432029099485
0.08,-3.320038156549781,0.9608335549402681,313.8288267381813,-0.8261438831765155,-3.122077536712213,-2.164576212106594,-3.3155674238997137,-0.9633525502868039,313.61729049154127,0.8253390381576331,-3.1174683662757494,2.165313112146436
0.09,-2.9388408154212424,1.005026364955492,313.98970570344676,-0.8593676135434644,-3.0202458575749502,-2.230978295219604,-2.9346041850212257,-1.0111837898159488,313.749083116638,0.8625241704056995,-3.0152772965435033,2.2314026809862844
0.1,-2.5516921897595464,1.0512153474622488,314.1590831138225,-0.8939327033511234,-2.9172531791818215,-2.299401384384524,-2.5476627981077313,-1.0610998522332091,313.88978319011653,0.9011529136823235,-2.9119006542692634,2.2995689299120983
0.11,-2.102723658331214,1.10238151545689,314.36504252944115,-0.9323055180790198,-2.7883875664554902,-2.3759020995778326,-2.0989135848337197,-1.1159138952363048,314.0673897717032,0.9436054047764451,-2.7826390746272085,2.3758195274183684
0.12,-1.5299537810416979,1.162008560974477,314.6396965488933,-0.9773260579134351,-2.606307796651716,-2.467186337090243,-1.5264168735533712,-1.1789313786014999,314.313937082362,0.9926293751172042,-2.6001645368741566,2.466810083560087
0.13,-0.7598883159283512,1.2343986149922366,315.02208079445364,-1.0324606660277909,-2.338653880469839,-2.581180942501718,-0.756728180072136,-1.2542481950302224,314.66839217181086,1.051582755014983,-2.3321326256167394,2.5804094066935375
0.14,0.2989134602238751,1.3250709157657892,315.5615073188386,-1.1021160355194415,-1.9452130993140362,-2.727710529341318,0.30152932637138263,-1.3471292070435348,315.18001267406294,1.124735937311337,-1.9383506111808682,2.7263688610407852
0.15,1.7638735009105584,1.4412821185176383,316.32161844032174,-1.1920441605630452,-1.374393201455864,-2.9193373401372296,1.765691749789738,-1.4645035995897906,315.91240598267143,1.2176620038262704,-1.3672532194068272,2.917152818748681
0.16,3.7887639153506267,1.5927203946286912,317.3853428921936,-1.3098777230490954,-0.5586845627455052,-3.172436439322111,3.7894129969901207,-1.6156263520139065,316.9484921627685,1.3377527238045728,-0.5513681859251865,3.1690013369493406
0.17,6.577373752913497,1.7924454113640051,318.86099547450505,-1.4658501182816785,0.5913051458651548,-3.5085996053429835,6.57631737952105,-1.812973938734241,318.39661217086143,1.4949121846781601,0.5986444790003795,3.503316888068163
0.18,10.40173499766391,2.0581767688144246,320.8901521705072,-1.6737769831385942,2.1947887267645383,-3.9564927882845238,10.398205955148354,-2.07347090675538,320.3984133360388,1.7025014724765835,2.201923941838447,3.9484980452016085
0.19,15.626440840980758,2.4140835334703583,323.6600155397847,-1.9524137957891046,4.411377960260157,-4.554344151551055,15.619347317671197,-2.4201910853050737,323.1412254458743,1.9786438078731008,4.417978333349128,4.54239524139065
0.2,22.740375225738685,2.893323080363627,327.4323024944901,-2.327377840999545,7.454904138863927,-5.3533491691867505,22.728168574477756,-2.884770058666535,326.8869532465271,2.3480712176334824,7.460493350598164,5.33567621992311
0.21,32.39478871786379,3.541811944987374,332.63900415985586,-2.8340095646686647,11.610109623145743,-6.422598575083101,32.37527731085548,-3.5110081993883986,332.0678135641836,2.844881843975546,11.614007984348495,6.396724559719619
0.22,45.43712503721462,4.424479556162009,340.2458671061835,-3.5221754013535427,17.247649558151622,-7.857351605435918,45.40721330512724,-4.3609887699064736,339.649698717909,3.5172305663868753,17.248896800065918,7.81998277615619
0.23,62.90391449856763,5.638403697265138,353.16031360938916,-4.466608824023397,24.81967789507212,-9.79785010849058,62.85922845760175,-5.5286111591891975,352.53968385388987,4.437731527962062,24.816933794684953,9.745313698694218
0.24,85.84898444909221,7.349087718433157,381.6104560091852,-5.796127507503592,34.774604905388124,-12.48622294203277,85.783287980939,-7.178810695103803,380.96384676742576,5.733664776233991,34.76601879353741,12.417045027337476
0.25,95.41086270385588,7.967041870361869,418.0910939127775,-6.247707490108443,41.809249866114584,-13.18362620014578,95.2685734400666,-7.695181742674575,417.565018607642,6.129609591290428,41.75664516439741,13.083663887103567
0.26,90.10748386987999,7.366325633173456,508.10449133365336,-5.752639437818368,47.478448088792405,-11.858525206950064,89.96922467935782,-6.998405307553613,507.38825246960465,5.562370416523987,47.44912484202049,11.718225015367208
0.27,32.00182159212535,5.349526725483388,867.309186758034,-4.185231981104868,33.50877547254202,-8.381551501009135,31.801528716770786,-4.967268957662831,866.4944797953887,3.934592444884171,33.46326729843304,8.268581973813504
0.28,-211.87982294379336,-0.6934335787481846,2167.6838636787484,0.435516486802958,-59.24120933012635,1.1496862396145,-212.1604089122545,0.5667906971209918,2167.048153320713,-0.5638541922093577,-59.281369162696244,-0.8959922700369389
0.29,-305.105115986351,3.9879594924267923,2668.766030795763,-3.657466330639809,-151.53377157004542,-8.066711594321568,-305.58912023024504,-5.489317092914314,2667.759104006128,4.131698392822128,-151.61398448978477,8.808519608444769
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
