t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_ALShoulder1,Tau_ALShoulder2,Tau_ALShoulder3,Tau_ARShoulder1,Tau_ARShoulder2,Tau_ARShoulder3,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,-0.25,0.1,0.0,0.25,-0.1,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.065409061517403,0.005683508188013553,0.01421736526035386,-3.3650070462684853,1.4180805651585922,0.11620225089943365,3.3735307076272,-1.4307887707590767,-0.116627922409696,0.010303579641671945,-0.0073561429909689835,-19.258731675891767,63.42832772878438,0.00636145980293179,-31.86890618835472,0.010303553877758276,-0.007356137912114313,-19.267200737840803,63.430028176873336,0.006361433133029948,-31.867471105300403,-0.5784694784235868,0.00884111508640741,0.02754552529312832,1.8770056484884718,0.4655456171908633,-0.06277619707828323,-1.8533160205626071,-0.45115562378857466,0.061954264641962284,-0.008089069770899241,-0.0017329297632042245,2.7391057172752165,1.0073234090974261,0.007536146404374509,-0.17151265111674052,-0.008089028679018163,-0.0017329209729935568,2.7507856306609844,0.9980863033380629,0.007536182349121497,-0.1697682491814888
0.01,0.20170654090615175,5.683508188013554e-07,1.4217365260353859e-06,-0.2503365007046269,0.10014180805651586,1.1620225089943365e-05,0.2503373530707627,-0.10014307887707591,-1.16627922409696e-05,1.0303579641671945e-06,-7.356142990968984e-07,-0.3319258731675892,0.6363428327728784,6.36145980293179e-07,-0.30318689061883547,1.0303553877758277e-06,-7.356137912114313e-07,-0.3319267200737841,0.6363430028176873,6.361433133029948e-07,-0.30318674711053,0.17065409061517403,5.683508188013553e-05,0.0001421736526035386,-0.03365007046268485,0.014180805651585922,0.0011620225089943364,0.033735307076272,-0.014307887707590767,-0.00116627922409696,0.00010303579641671946,-7.356142990968983e-05,-0.19258731675891766,0.6342832772878438,6.361459802931791e-05,-0.31868906188354723,0.00010303553877758276,-7.356137912114314e-05,-0.19267200737840803,0.6343002817687333,6.361433133029948e-05,-0.31867471105300404,6.572936655778211,-0.005593510518248246,0.0047443402601798496,0.495769544391643,-0.3346741305193326,-0.015571354297495232,-0.49014492861736514,0.3458805584320894,0.015388986868745402,-0.0013787774646978335,0.0036948103994913772,-1.7733070113528129,8.871274428938705,-0.0022578410812243987,-3.9336943502801205,-0.0013787897051216191,0.003694799775191271,-1.7710698875272897,8.86867028007714,-0.0022578333626199765,-3.9326136127103837,-14.882752679232556,0.01134127809850879,0.02205595623890455,2.993898111375711,0.2478360998809938,-0.10269971686584084,-2.978123343704292,-0.2437486688181639,0.1020646414740553,-0.007483344140102299,-0.006036860578360522,4.349653814160523,-22.55751808714024,0.007126163327975319,11.838904989901128,-0.007483314632349968,-0.006036862361780725,4.356670791174448,-22.558544940755166,0.0071261915009372566,11.836788531684276
0.02,0.20407037547788132,5.773505857778861e-07,3.317907078088757e-06,-0.25062342445481456,0.10025014869997978,2.1683314750137207e-05,0.2506256916486637,-0.1002515696983086,-2.1786685795064662e-05,1.922838181864606e-06,-1.101747558244659e-06,-0.3340290770363137,0.6435727929886507,1.0465078524639184e-06,-0.30676715067269894,1.9228318050394934e-06,-1.1017476049037357e-06,-0.3340305471363209,0.6435728726633824,1.046503290343992e-06,-0.3067667555823311,0.23638345717295614,8.999766976530721e-07,0.0001896170552053371,-0.028692375018768423,0.010834064346392596,0.001006308966019384,0.028833857790098352,-0.010849082123269873,-0.0010123893554095061,8.924802176974112e-05,-3.661332591477606e-05,-0.21032038687244578,0.7229960215772309,4.103618721707392e-05,-0.35802600538634843,8.924764172636657e-05,-3.661338136923043e-05,-0.21038270625368094,0.7229869845695047,4.103599770409971e-05,-0.3580008471801079,2.958696467897699,-0.005466689298060545,0.0034852307667628257,0.8824701575634224,-0.3906674394537548,-0.0294544232163092,-0.8790498046278055,0.3945423108509992,0.029301852735819423,-0.0013813661875126115,0.0020944559467572788,-0.9263195029629685,1.4825113411329767,-0.001709905900348474,-0.050353761942005804,-0.0013813610767456908,0.0020944548339425495,-0.9250435961266987,1.4818519214022672,-0.0017099035710828048,-0.05025520098206471,-19.28397109854827,0.018952283429034034,0.018308526858115758,2.2081141773101125,0.6589861849515534,-0.07664760966661663,-2.1964985783648947,-0.6622487944510519,0.07618040510708492,-0.005723972745843874,-0.008777707950558215,5.293742195081449,-26.43911407736169,0.007613808107765505,13.115764282944271,-0.0057239572614955474,-0.00877771378028679,5.297486453665279,-26.436312570416987,0.007613829242571717,13.11218146649689
0.03,0.20673007969640064,3.96814229483623e-08,5.5626007068184106e-06,-0.2508221011892459,0.10031942259949833,2.880096208870013e-05,0.2508261252461019,-0.1003206062884562,-2.8980394075577783e-05,2.677181780810756e-06,-1.2584352227166917e-06,-0.33622491285533446,0.6509510043385363,1.2858791345998102e-06,-0.31035244610275664,2.67717211462859e-06,-1.258435935201785e-06,-0.3362268785584704,0.6509509277012177,1.2858729102767088e-06,-0.3103517895742304,0.26597042185193315,-5.3766916282952385e-05,0.00022446936287296535,-0.0198676734431342,0.006927389951855048,0.0007117647338562921,0.020043359743820297,-0.00690365901475988,-0.0007193708280513119,7.5434359894615e-05,-1.566876644720327e-05,-0.21958358190207547,0.7378211349885606,2.393712821358918e-05,-0.3585295430057685,7.543403095890965e-05,-1.5668833029804933e-05,-0.21963314221494792,0.7378055037835274,2.3936961993271662e-05,-0.3585033991899285,2.012468756002473,-0.003982676887239994,0.002500044136712648,0.695332107790497,-0.264909188457369,-0.023309728557352527,-0.6928296936691543,0.2651392796918858,0.02319370514835023,-0.0010172349650474644,0.001234562982771692,-0.6515587625520425,0.3656581399169454,-0.0010566852066631327,0.4176905170288592,-0.001017229139293363,0.001234562322750321,-0.6507002388548528,0.36535574405036186,-0.001056682859882585,0.417660948457069,-21.640446472342973,0.02532316654569587,0.015754474371340428,1.4388881929025412,0.9819295070543075,-0.050864220953404114,-1.4300523988397102,-0.9866767515667857,0.050525699093696384,-0.0043473581539509734,-0.010217334668928893,6.049542280768729,-27.359960468252392,0.007219070776042217,12.91620351808136,-0.0043473561471694625,-0.01021734476022121,6.050676914484787,-27.354188962397043,0.007219086249316916,12.911547741302751
0.04,0.20959103079052022,-8.96255428605161e-07,8.057298749219329e-06,-0.2509512447128982,0.10036220558017114,3.35876365715278e-05,0.2509572758741732,-0.10036312895063461,-3.385473184125588e-05,3.3298018832521596e-06,-1.2916665889115552e-06,-0.3384859045506104,0.6583657815024135,1.4195818960693888e-06,-0.31389597248111145,3.3297895102883505e-06,-1.2916680332248022e-06,-0.33848828000450537,0.6583655183134579,1.419574244221167e-06,-0.31389505747128393,0.28609510941195787,-9.359368515535233e-05,0.00024946980424009183,-0.012914352365229228,0.004278298067281357,0.0004786674482827668,0.013115062807128755,-0.004252266217841022,-0.0004874337765678095,6.526201024414036e-05,-3.3231366194863506e-06,-0.2260991695275959,0.7414777163877301,1.3370276146957854e-05,-0.35435263783547993,6.526173956597603e-05,-3.323209802301722e-06,-0.22614014460349646,0.741459061224031,1.3370133394445811e-05,-0.3543267897053578,1.5555704270487283,-0.002892700754750871,0.001824377791057985,0.502468597404059,-0.1698905304994106,-0.016856900744769532,-0.5005896257720521,0.16916079588230404,0.016771638891038554,-0.0007203319252653273,0.0008291546568495178,-0.4823132149668652,0.1843253633102222,-0.0007069919958269111,0.39616039652901236,-0.0007203270415914176,0.000829154056594561,-0.4817170276902516,0.18413571936923745,-0.0007069901321159477,0.396126724023361,-23.295064560548283,0.030505206965491926,0.014072624001352483,0.8519857620825552,1.196277781276726,-0.031156328324812924,-0.8452272281108918,-1.2004485948106716,0.030913560362773453,-0.003396008025145196,-0.011079127826557476,6.63351289885707,-27.797793058607745,0.0062602379228061085,12.59919042418282,-0.003396017654319225,-0.011079142733327225,6.63238877493922,-27.78918127890628,0.006260248918612351,12.593460678012704
0.05,0.21260753892734466,-2.1214623556337715e-06,1.0734434570726046e-05,-0.25103014137681007,0.10038799950779402,3.668862097987851e-05,0.2510383675396673,-0.10038873553322479,-3.705190571783012e-05,3.910388793167031e-06,-1.241982489421467e-06,-0.34079512756738306,0.6657989912026219,1.4825854579562763e-06,-0.31739988281981335,3.910374201788969e-06,-1.2419847255883634e-06,-0.34079785315330935,0.6657985224976352,1.4825765649540303e-06,-0.31739871269593517,0.3016508136824452,-0.00012252069270286104,0.0002677135821506717,-0.007889666391188637,0.0025793927622872513,0.0003100984408350715,0.008109166549408233,-0.002560658259017982,-0.00031971738765742397,5.8058690991487084e-05,4.968409949008829e-06,-0.23092230167726455,0.7433209700208323,6.3003561886887426e-06,-0.3503910338701898,5.8058469150061856e-05,4.9683307636438884e-06,-0.23095731488039897,0.7433004184177234,6.300232073286334e-06,-0.3503655224651242,1.2573939249902288,-0.00211981805533365,0.0013849936923298611,0.3479844501891449,-0.10750612509020918,-0.011677522413960195,-0.3466098656849814,0.10675094495021908,0.011616621903023094,-0.0005108754509777214,0.0006084605987473068,-0.35616838249285365,0.15677685541652409,-0.0005243892179080945,0.31776931908916595,-0.000510871198216023,0.0006084598911417771,-0.3557606207768913,0.15666236343872697,-0.000524387718513708,0.3177404974480851,-24.56119030353144,0.034906675500347706,0.012990094593756763,0.4171768750011872,1.339245162343812,-0.016546175695871218,-0.4119682252856728,-1.342416323026488,0.01637328365343398,-0.002756726591461561,-0.011675295959882438,7.085571570606311,-28.152925162129076,0.004979993544481922,12.35365737502993,-0.0027567460931912763,-0.011675315830507144,7.082402331959161,-28.141469836912883,0.004980000834817201,12.346798283463448
0.06,0.21574978645666815,-3.5586510881957467e-06,1.355006976146575e-05,-0.251074239595703,0.10040304282290788,3.862185314683321e-05,0.25108479821859286,-0.10040366702131995,-3.908741740410205e-05,4.439888157984129e-06,-1.1314523300566478e-06,-0.343139967422405,0.6732478785883719,1.4931500980523542e-06,-0.3208720162266063,4.439871773467985e-06,-1.1314554288377467e-06,-0.34314300236419104,0.6732471929181563,1.493140113835523e-06,-0.3208705938708416,0.3142247529323475,-0.00014371887325619753,0.0002815635190739703,-0.0044098218892971875,0.0015043315113851595,0.00019332321669546953,0.0046430678925584185,-0.0014931488095157911,-0.00020355116862719302,5.294993648170987e-05,1.1053015936481898e-05,-0.23448398550219307,0.7448887385749976,1.056464009607798e-06,-0.34721334067929815,5.2949757167901624e-05,1.105292967506166e-05,-0.23451492108816788,0.7448670420521107,1.0563548881492536e-06,-0.3471881174906434,1.0429080784305,-0.0015300883878860139,0.0011039179292249846,0.22479456595002656,-0.06494269211900716,-0.007548079492129878,-0.22382354116193248,0.06440844938247048,0.0075059825937360825,-0.0003626292175056278,0.0004649073874753995,-0.2564169827819285,0.15560947999961172,-0.00042403102843024953,0.24708185090003099,-0.0003626253603101759,0.00046490647912733607,-0.2561570368538355,0.15557122380926103,-0.00042402976066568954,0.24704787128803218,-25.571401326155534,0.0387951890915137,0.012316069761057704,0.09275276664843296,1.438272356511629,-0.005636885146680744,-0.088683535994282,-1.4405038518808566,0.005514567280829248,-0.002333517086368413,-0.012136947514879481,7.44277308560009,-28.49173909155947,0.003500545464654948,12.185150291340713,-0.002333545074849498,-0.01213697218788165,7.437696147627048,-28.477416200371025,0.003500549519472703,12.177112265456616
0.07,0.21899632479383468,-5.148848659546324e-06,1.647609674512795e-05,-0.25109585835800097,0.10041159186880982,3.9800277364574916e-05,0.25110884654340226,-0.10041215766447686,-4.037233083100038e-05,4.933124601050665e-06,-9.74431431944289e-07,-0.3455104489757051,0.6807123269221218,1.4613116353054073e-06,-0.3243194414483093,4.933106809115984e-06,-9.744354841743964e-07,-0.3455137672787581,0.6807114204610583,1.4613006866504464e-06,-0.32431777025861924,0.32465383371665246,-0.00015901975713505768,0.00029260269836622015,-0.002161876229796922,0.0008549045901950879,0.00011784242177417075,0.0024048324809390936,-0.0008490643156910863,-0.00012849134268983219,4.932364430665359e-05,1.5702089811235895e-05,-0.23704815533001236,0.7464448333749937,-3.1838462746946973e-06,-0.3447425221702978,4.9323503564799866e-05,1.5701994466335023e-05,-0.23707649145670623,0.7464227542902033,-3.1839427185076415e-06,-0.34471763877776307,0.8808802380601612,-0.0010482226284125595,0.000926851182975641,0.1229897328827736,-0.033500096089461806,-0.004136884836909438,-0.12233730353134753,0.03322392774691363,0.004109361413400792,-0.0002543417870768394,0.0003577416851872073,-0.17398901410075496,0.15927988470104992,-0.00036755556577361403,0.18936147039494244,-0.00025433820502485105,0.00035774052204118334,-0.17385237601195058,0.1593241442355975,-0.0003675544392365282,0.1893122291421605,-26.413289515735794,0.04234494316185651,0.011919935622974089,-0.15643836239449163,1.5106377113790599,0.0027514786401245848,0.15966911109201748,-1.5120780354322618,-0.0028368860699132287,-0.0020570825822054323,-0.012528399595813169,7.736304332467189,-28.82560297211155,0.001887920832012652,12.073744618399504,-0.002057118073277328,-0.012528428730648912,7.729408005660359,-28.8083886533041,0.0018879218479830797,12.064491462310873
0.08,0.22233095115480722,-6.843868493738156e-06,1.9494808847087717e-05,-0.25110517814701067,0.10041679090510283,4.056501309862568e-05,0.2511206611378585,-0.10041732591485908,-4.124630811655862e-05,5.400926865409517e-06,-7.816363653132092e-07,-0.3478983294304153,0.6881927032443419,1.3927176159810989e-06,-0.3277479305229728,5.400908024261497e-06,-7.816414873069278e-07,-0.34790191743092636,0.6881915804183838,1.3927058155417172e-06,-0.32774601542348264,0.3334626360972541,-0.0001695019834191833,0.00030187121019597656,-0.000931978900969186,0.0005199036293004698,7.647357340507638e-05,0.0011814594456256184,-0.00051682503822195,-8.739772855582428e-05,4.6780226435885195e-05,1.927950666310797e-05,-0.23878804547101992,0.7480376322220041,-6.859401932430838e-06,-0.3428489074663484,4.6780121514551354e-05,1.9279399686746857e-05,-0.23881501521682574,0.7480159957325593,-6.8594871108729235e-06,-0.3428245164863415,0.7501002662953482,-0.0006304731144992914,0.0008166629185573648,0.03400060276307881,-0.007959812789549492,-0.0011560042139640014,-0.03360502305747559,0.007929353249976012,0.0011401787732642221,-0.00017122919852852192,0.0002692145641853827,-0.10187390282743536,0.16385546830815656,-0.00033588845460030825,0.14074234463419089,-0.00017122584614526204,0.0002692131169563794,-0.10184538181343328,0.16398713889202554,-0.0003358874237449072,0.1406707871267372,-27.156312614661502,0.04568382311337463,0.011708420715968615,-0.3597633821057714,1.567809645371364,0.009603890787360127,0.36235952741839106,-1.568582268286281,-0.009661428884549525,-0.0018763247722269494,-0.012889412477054657,7.99238754729001,-29.15664047549799,0.00018430711629030931,11.998674434964515,-0.0018763671700173592,-0.012889445648425962,7.983724510640362,-29.136513065855095,0.00018430509147061662,11.988181332332863
0.09,0.2257405875424093,-8.601935639379919e-06,2.259518724090322e-05,-0.25111109787574404,0.10042119396011688,4.1214148411280046e-05,0.251129115230009,-0.1004217012299163,-4.200626752479044e-05,5.851606209915517e-06,-5.619198422635912e-07,-0.3502963972754083,0.6956894651133928,1.2905347511967598e-06,-0.33116234536317285,5.851586654792485e-06,-5.619261787438213e-07,-0.35030025212127597,0.6956881390895986,1.2905222020584972e-06,-0.3311601935096334,0.3409636387602076,-0.0001758067145641762,0.0003100378393815502,-0.0005919728733383978,0.0004403055014049748,6.491353126543637e-05,0.0008454092150508624,-0.00043753150572218983,-7.599594082318205e-05,4.5067934450599975e-05,2.1971652304961796e-05,-0.23980678449929427,0.7496761869050858,-1.0218286478433921e-05,-0.34144148402000646,4.5067863053098735e-05,2.197153085631065e-05,-0.23983346903496008,0.7496558671214796,-1.0218361348321995e-05,-0.3414178086150741,0.6327904154989596,-0.0002463243638896051,0.0007458557497605489,-0.049763905695199284,0.015056984943558005,0.0016492930423996355,0.04993961709678452,-0.014856181952340952,-0.001655069149101962,-0.00010220663529025842,0.000189297485015949,-0.033972501888172246,0.16839806788198075,-0.00031709442474436855,0.09630892970494642,-0.00010220352201883998,0.0001892957317650712,-0.0340433957533719,0.16861965772011445,-0.00031709346853858733,0.09621113909452106,-27.860767822188247,0.04891665316777507,0.011610543052259554,-0.5430518280201208,1.6183006891674645,0.015785842909148706,0.5451338797208825,-1.6184767647494183,-0.015820730215412856,-0.0017511597437533553,-0.013249936625203011,8.234054597669289,-29.48548198229303,-0.0015787707170696033,11.941085201744091,-0.0017512088567519016,-0.013249973382781739,8.223649115233806,-29.462420736345425,-0.0015787759408317386,11.92933591999979
